mjd,mag,mag_err,UL,filter,System,detected
51241.12,17.4968,0.0322,False,R,Vega,1
51266.06,18.869,0.0404,False,B,Vega,1
51266.07,17.7589,0.0366,False,R,Vega,1
51266.07,18.3313,0.0568,False,V,Vega,1
51266.08,17.7144,0.0382,False,I,Vega,1
51273.06,18.178,0.0359,False,R,Vega,1
51273.08,18.1429,0.0359,False,R,Vega,1
51273.08,18.4893,0.0394,False,V,Vega,1
51273.11,17.8929,0.0364,False,I,Vega,1
51281.2,19.0062,0.0564,False,V,Vega,1
51281.21,18.5599,0.0367,False,R,Vega,1
51281.23,19.789,0.0806,False,B,Vega,1
51284.2,18.1992,0.0322,False,I,Vega,1
51284.2,18.208,0.0334,False,I,Vega,1
51284.2,18.5292,0.0331,False,R,Vega,1
51284.2,18.5431,0.0337,False,R,Vega,1
51284.21,19.0195,0.0263,False,V,Vega,1
51284.21,19.0642,0.0278,False,V,Vega,1
51288.14,18.3027,0.0297,False,I,Vega,1
51288.15,18.624,0.0325,False,R,Vega,1
51288.16,19.0671,0.0178,False,V,Vega,1
51303.23,19.7363,0.0925,False,V,Vega,1
51303.24,19.2399,0.0645,False,R,Vega,1
51303.26,18.7998,0.0771,False,I,Vega,1
51304.22,19.7082,0.0646,False,V,Vega,1
51304.23,19.295,0.0521,False,R,Vega,1
51304.24,18.8407,0.0604,False,I,Vega,1
51309.95,21.3358,0.089,False,B,Vega,1
51309.97,21.1136,0.0537,False,B,Vega,1
51309.99,21.1533,0.0488,False,B,Vega,1
51310.0,21.1464,0.0486,False,B,Vega,1
51310.02,21.0775,0.0477,False,B,Vega,1
51312.06,19.7617,0.0463,False,R,Vega,1
51312.06,19.7802,0.0483,False,R,Vega,1
51312.06,19.744,0.0444,False,R,Vega,1
51312.07,19.6531,0.0468,False,R,Vega,1
51312.07,19.7127,0.0477,False,R,Vega,1
51312.08,19.7134,0.0474,False,R,Vega,1
51319.96,21.7145,0.1502,False,B,Vega,1
51319.97,21.5727,0.1875,False,B,Vega,1
51319.99,21.491,0.1486,False,B,Vega,1
51320.0,21.8232,0.2046,False,B,Vega,1
51320.02,21.9719,0.356,False,B,Vega,1
