mjd,mag,mag_err,UL,filter,System,detected
54129.43,17.8649,0.06,False,R,Vega,1
54129.43,17.9449,0.06,False,R,Vega,1
54129.44,17.8549,0.06,False,R,Vega,1
54129.45,17.9149,0.06,False,R,Vega,1
54159.45,17.5949,0.06,False,R,Vega,1
54159.47,17.4749,0.07,False,R,Vega,1
54170.37,17.7449,0.06,False,R,Vega,1
54170.37,17.7649,0.06,False,R,Vega,1
54170.38,17.8249,0.06,False,R,Vega,1
54179.46,17.8849,0.06,False,R,Vega,1
54179.47,17.9249,0.07,False,R,Vega,1
54179.47,17.9749,0.07,False,R,Vega,1
54179.48,17.9549,0.07,False,R,Vega,1
54196.45,18.1149,0.11,False,R,Vega,1
54196.47,18.0849,0.13,False,R,Vega,1
54208.31,18.2449,0.05,False,R,Vega,1
54208.35,18.2549,0.03,False,R,Vega,1
54212.24,18.2849,0.12,False,R,Vega,1
54213.1,17.9725,0.07,False,I,Vega,1
54213.1,18.2149,0.04,False,R,Vega,1
54213.1,18.4286,0.1,False,V,Vega,1
54213.1,18.7359,0.06,False,B,Vega,1
54213.5,17.9925,0.05,False,I,Vega,1
54213.5,18.2849,0.02,False,R,Vega,1
54213.5,18.3786,0.03,False,V,Vega,1
54213.5,18.7659,0.03,False,B,Vega,1
54219.17,18.3249,0.08,False,R,Vega,1
54219.17,18.4649,0.08,False,R,Vega,1
54221.18,18.4049,0.08,False,R,Vega,1
54221.19,18.5249,0.08,False,R,Vega,1
54221.19,18.7949,0.08,False,R,Vega,1
54222.8,17.9325,0.04,False,I,Vega,1
54222.8,18.2949,0.02,False,R,Vega,1
54222.8,18.5286,0.04,False,V,Vega,1
54222.8,18.9759,0.07,False,B,Vega,1
54224.23,18.3849,0.08,False,R,Vega,1
54224.23,18.4049,0.08,False,R,Vega,1
54224.23,18.4249,0.08,False,R,Vega,1
54225.5,17.9225,0.12,False,I,Vega,1
54225.5,18.3549,0.04,False,R,Vega,1
54225.5,18.5786,0.03,False,V,Vega,1
54225.5,18.9359,0.03,False,B,Vega,1
54227.22,18.4249,0.08,False,R,Vega,1
54227.22,18.4549,0.08,False,R,Vega,1
54227.22,18.4649,0.08,False,R,Vega,1
54229.2,18.3449,0.08,False,R,Vega,1
54229.2,18.3549,0.08,False,R,Vega,1
54232.5,18.0625,0.05,False,I,Vega,1
54232.5,18.4549,0.02,False,R,Vega,1
54232.5,18.6186,0.02,False,V,Vega,1
54232.5,19.1059,0.02,False,B,Vega,1
54233.27,18.5749,0.07,False,R,Vega,1
54233.5,18.5149,0.03,False,R,Vega,1
54233.5,18.7586,0.03,False,V,Vega,1
54233.5,19.1759,0.03,False,B,Vega,1
54234.16,18.4749,0.08,False,R,Vega,1
54234.16,18.5449,0.08,False,R,Vega,1
54234.19,18.4949,0.08,False,R,Vega,1
54234.2,18.5049,0.08,False,R,Vega,1
54234.2,18.4549,0.08,False,R,Vega,1
54234.2,18.5449,0.08,False,R,Vega,1
54234.2,18.5349,0.08,False,R,Vega,1
54234.21,18.4849,0.08,False,R,Vega,1
54234.21,18.4949,0.08,False,R,Vega,1
54234.21,18.5049,0.08,False,R,Vega,1
54234.21,18.5249,0.08,False,R,Vega,1
54234.21,18.5449,0.08,False,R,Vega,1
54234.22,18.4649,0.08,False,R,Vega,1
