mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55320.381,21.4,0.34,False,r,AB,1,r,6141.12
55331.441,19.1,0.08,False,r,AB,1,r,6141.12
55331.485,19.15,0.09,False,r,AB,1,r,6141.12
55332.19,19.36,0.18,False,i,AB,1,i,7457.89
55332.192,19.15,0.12,False,r,AB,1,r,6141.12
55332.195,19.35,0.18,False,i,AB,1,i,7457.89
55332.197,19.08,0.12,False,r,AB,1,r,6141.12
55333.22,19.32,0.17,False,i,AB,1,i,7457.89
55333.221,19.0,0.13,False,r,AB,1,r,6141.12
55334.57,18.7053,0.07,False,r,AB,1,r,6141.12
55336.438,18.74,0.08,False,r,AB,1,r,6141.12
55336.482,18.81,0.09,False,r,AB,1,r,6141.12
55341.434,18.54,0.08,False,r,AB,1,r,6141.12
55341.477,18.57,0.08,False,r,AB,1,r,6141.12
55342.33,18.3449,0.07,False,i,AB,1,i,7457.89
55342.34,18.3349,0.06,False,i,AB,1,i,7457.89
55347.195,18.33,0.07,False,r,AB,1,r,6141.12
55349.243,18.48,0.1,False,i,AB,1,i,7457.89
55349.245,18.28,0.08,False,r,AB,1,r,6141.12
55349.246,18.23,0.09,False,B,AB,1,B,4369.53
55349.251,18.49,0.11,False,i,AB,1,i,7457.89
55349.253,18.22,0.08,False,r,AB,1,r,6141.12
55349.266,18.33,0.09,False,B,AB,1,B,4369.53
55352.243,18.15,0.07,False,r,AB,1,r,6141.12
55352.288,18.43,0.09,False,i,AB,1,i,7457.89
55352.289,18.14,0.07,False,r,AB,1,r,6141.12
55352.291,18.14,0.08,False,B,AB,1,B,4369.53
55355.366,18.37,0.09,False,i,AB,1,i,7457.89
55355.367,18.09,0.07,False,r,AB,1,r,6141.12
55355.369,18.07,0.08,False,B,AB,1,B,4369.53
55356.29,18.3,0.09,False,i,AB,1,i,7457.89
55356.292,18.09,0.07,False,r,AB,1,r,6141.12
55356.293,18.1,0.08,False,B,AB,1,B,4369.53
55357.227,18.02,0.07,False,r,AB,1,r,6141.12
55357.282,18.03,0.07,False,r,AB,1,r,6141.12
55360.343,18.17,0.08,False,i,AB,1,i,7457.89
55360.345,17.95,0.07,False,r,AB,1,r,6141.12
55360.346,17.99,0.08,False,B,AB,1,B,4369.53
55362.234,17.93,0.07,False,r,AB,1,r,6141.12
55362.4,17.964,0.05,False,g,AB,1,g,4671.78
55363.361,18.15,0.09,False,i,AB,1,i,7457.89
55363.365,17.94,0.08,False,B,AB,1,B,4369.53
55366.45,17.8453,0.1,False,r,AB,1,r,6141.12
55367.277,17.88,0.07,False,r,AB,1,r,6141.12
55367.301,18.12,0.1,False,i,AB,1,i,7457.89
55367.302,17.9,0.07,False,r,AB,1,r,6141.12
55367.304,17.93,0.09,False,B,AB,1,B,4369.53
55367.32,17.86,0.07,False,r,AB,1,r,6141.12
55368.53,17.8649,0.05,False,i,AB,1,i,7457.89
55368.55,17.8749,0.05,False,i,AB,1,i,7457.89
55369.358,18.18,0.12,False,i,AB,1,i,7457.89
55369.359,17.86,0.08,False,r,AB,1,r,6141.12
55369.38,17.94,0.09,False,B,AB,1,B,4369.53
55372.277,17.89,0.08,False,r,AB,1,r,6141.12
55372.289,18.15,0.15,False,i,AB,1,i,7457.89
55372.29,17.88,0.1,False,r,AB,1,r,6141.12
55372.295,18.03,0.13,False,B,AB,1,B,4369.53
55375.368,17.94,0.09,False,r,AB,1,r,6141.12
55375.368,18.22,0.13,False,i,AB,1,i,7457.89
55375.37,18.02,0.13,False,B,AB,1,B,4369.53
55376.32,18.15,0.12,False,i,AB,1,i,7457.89
55376.321,17.96,0.08,False,r,AB,1,r,6141.12
55376.322,18.09,0.12,False,B,AB,1,B,4369.53
55377.331,17.94,0.07,False,r,AB,1,r,6141.12
55387.302,18.12,0.07,False,r,AB,1,r,6141.12
55390.31,20.5032,0.22,False,UVW1,AB,1,UVW1,2681.67
55390.31,21.233,0.24,False,UVW2,AB,1,UVW2,2083.95
55390.31,21.3634,0.27,False,UVM2,AB,1,UVM2,2245.03
55390.81,19.7328,0.12,False,u,AB,1,u,3608.04
55395.39,18.4135,0.05,False,i,AB,1,i,7457.89
55395.39,18.4348,0.08,False,r,AB,1,r,6141.12
55395.39,18.4704,0.14,False,z,AB,1,z,8922.78
55395.39,18.6569,0.05,False,g,AB,1,g,4671.78
55395.5,21.7134,0.44,False,UVM2,AB,1,UVM2,2245.03
55395.5,21.3032,0.29,False,UVW1,AB,1,UVW1,2681.67
55395.5,21.683,0.43,False,UVW2,AB,1,UVW2,2083.95
55396.0,20.4528,0.15,False,u,AB,1,u,3608.04
55398.237,18.78,0.09,False,r,AB,1,r,6141.12
55398.47,18.6848,0.09,False,r,AB,1,r,6141.12
55398.47,18.6935,0.08,False,i,AB,1,i,7457.89
55398.47,18.8004,0.1,False,z,AB,1,z,8922.78
55398.47,18.9669,0.08,False,g,AB,1,g,4671.78
55401.243,19.06,0.25,False,i,AB,1,i,7457.89
55401.244,18.8,0.16,False,r,AB,1,r,6141.12
55401.5,18.7635,0.08,False,i,AB,1,i,7457.89
55401.5,18.9148,0.09,False,r,AB,1,r,6141.12
55401.5,18.9904,0.1,False,z,AB,1,z,8922.78
55401.5,19.1669,0.08,False,g,AB,1,g,4671.78
55404.276,19.12,0.11,False,r,AB,1,r,6141.12
55404.322,18.91,0.12,False,r,AB,1,r,6141.12
55405.242,19.19,0.19,False,i,AB,1,i,7457.89
55405.39,18.8835,0.03,False,i,AB,1,i,7457.89
55405.39,18.9748,0.06,False,r,AB,1,r,6141.12
55405.39,19.0504,0.1,False,z,AB,1,z,8922.78
55405.39,19.3269,0.05,False,g,AB,1,g,4671.78
55406.183,19.11,0.12,False,r,AB,1,r,6141.12
55408.251,19.3,0.17,False,i,AB,1,i,7457.89
55409.4,18.9535,0.04,False,i,AB,1,i,7457.89
55409.4,19.0948,0.03,False,r,AB,1,r,6141.12
55409.4,19.1304,0.1,False,z,AB,1,z,8922.78
55409.4,19.4669,0.02,False,g,AB,1,g,4671.78
55410.184,19.24,0.13,False,r,AB,1,r,6141.12
55410.227,19.2,0.11,False,r,AB,1,r,6141.12
55410.275,19.0,0.25,False,r,AB,1,r,6141.12
55410.277,20.07,0.33,False,B,AB,1,B,4369.53
55411.295,19.38,0.19,False,i,AB,1,i,7457.89
55415.294,19.28,0.17,False,i,AB,1,i,7457.89
55415.296,19.44,0.14,False,r,AB,1,r,6141.12
55415.297,20.5,0.3,False,B,AB,1,B,4369.53
55416.177,19.36,0.12,False,r,AB,1,r,6141.12
55416.221,19.26,0.11,False,r,AB,1,r,6141.12
55419.182,19.37,0.12,False,r,AB,1,r,6141.12
55419.226,19.36,0.13,False,r,AB,1,r,6141.12
55421.27,19.46,0.16,False,i,AB,1,i,7457.89
55421.272,19.49,0.15,False,r,AB,1,r,6141.12
55421.274,20.48,0.3,False,B,AB,1,B,4369.53
55422.224,19.45,0.1,False,r,AB,1,r,6141.12
55423.39,19.1904,0.1,False,z,AB,1,z,8922.78
55423.39,19.2935,0.04,False,i,AB,1,i,7457.89
55423.39,19.3948,0.03,False,r,AB,1,r,6141.12
55423.39,19.8869,0.03,False,g,AB,1,g,4671.78
55426.42,19.2304,0.11,False,z,AB,1,z,8922.78
55426.42,19.3235,0.05,False,i,AB,1,i,7457.89
55426.42,19.4048,0.05,False,r,AB,1,r,6141.12
55426.42,19.9369,0.04,False,g,AB,1,g,4671.78
55428.87,19.2604,0.09,False,z,AB,1,z,8922.78
55428.87,19.3735,0.05,False,i,AB,1,i,7457.89
55428.87,19.4448,0.07,False,r,AB,1,r,6141.12
55428.87,20.0069,0.17,False,g,AB,1,g,4671.78
55429.43,19.2804,0.16,False,z,AB,1,z,8922.78
55429.43,19.3835,0.06,False,i,AB,1,i,7457.89
55429.43,19.4648,0.06,False,r,AB,1,r,6141.12
55429.43,20.0569,0.13,False,g,AB,1,g,4671.78
55433.38,19.2904,0.05,False,z,AB,1,z,8922.78
55433.38,19.4535,0.07,False,i,AB,1,i,7457.89
55433.38,19.5048,0.05,False,r,AB,1,r,6141.12
55433.38,20.1269,0.07,False,g,AB,1,g,4671.78
55436.4,19.3304,0.26,False,z,AB,1,z,8922.78
55436.4,19.4735,0.09,False,i,AB,1,i,7457.89
55436.4,19.5748,0.12,False,r,AB,1,r,6141.12
55436.4,20.2069,0.29,False,g,AB,1,g,4671.78
55439.82,19.6348,0.04,False,r,AB,1,r,6141.12
55439.82,20.2169,0.08,False,g,AB,1,g,4671.78
55439.82,19.3704,0.09,False,z,AB,1,z,8922.78
55439.82,19.4935,0.03,False,i,AB,1,i,7457.89
55441.37,19.4504,0.05,False,z,AB,1,z,8922.78
55441.37,19.5635,0.05,False,i,AB,1,i,7457.89
55441.37,19.6448,0.04,False,r,AB,1,r,6141.12
55441.37,20.2669,0.01,False,g,AB,1,g,4671.78
55445.37,19.5404,0.07,False,z,AB,1,z,8922.78
55445.37,19.6135,0.06,False,i,AB,1,i,7457.89
55445.37,19.6948,0.04,False,r,AB,1,r,6141.12
55445.37,20.3669,0.04,False,g,AB,1,g,4671.78
55447.8,19.6704,0.07,False,z,AB,1,z,8922.78
55447.8,19.6735,0.03,False,i,AB,1,i,7457.89
55447.8,19.7248,0.04,False,r,AB,1,r,6141.12
55447.8,20.3969,0.03,False,g,AB,1,g,4671.78
55448.38,19.7204,0.08,False,z,AB,1,z,8922.78
55448.38,19.7235,0.04,False,i,AB,1,i,7457.89
55448.38,19.7748,0.04,False,r,AB,1,r,6141.12
55448.38,20.4269,0.03,False,g,AB,1,g,4671.78
55453.77,19.8235,0.05,False,i,AB,1,i,7457.89
55453.77,19.8648,0.05,False,r,AB,1,r,6141.12
55453.77,19.9304,0.09,False,z,AB,1,z,8922.78
55453.77,20.5769,0.05,False,g,AB,1,g,4671.78
55460.36,20.0148,0.09,False,r,AB,1,r,6141.12
55460.36,20.1004,0.13,False,z,AB,1,z,8922.78
55460.36,20.7369,0.08,False,g,AB,1,g,4671.78
55615.21,23.6735,0.31,False,i,AB,1,i,7457.89
55616.23,23.7248,0.3,False,r,AB,1,r,6141.12
55679.56,21.714,,True,g,AB,0,g,4671.78
