mjd,mag,mag_err,UL,filter,System,detected
55648.439941,19.7953,0.1498,False,C,Vega,1
55648.47998,19.7542,0.1493,False,C,Vega,1
55648.520019,19.5645,0.137,False,C,Vega,1
55648.559814,19.2978,0.1215,False,C,Vega,1
55665.439941,19.1334,0.1128,False,C,Vega,1
55665.47998,18.8272,0.0982,False,C,Vega,1
55665.520019,18.9102,0.1019,False,C,Vega,1
55665.559814,19.0012,0.1062,False,C,Vega,1
55676.439941,19.4181,0.1283,False,C,Vega,1
55676.559814,19.3471,0.1242,False,C,Vega,1
55689.439941,19.2664,0.1198,False,C,Vega,1
55689.47998,19.2255,0.1176,False,C,Vega,1
55689.520019,19.4538,0.1304,False,C,Vega,1
55689.559814,19.0837,0.1103,False,C,Vega,1
55713.439941,19.5915,0.1387,False,C,Vega,1
55713.47998,20.406,0.2,False,C,Vega,1
55713.520019,19.9728,0.1647,False,C,Vega,1
55713.559814,20.1951,0.182,False,C,Vega,1
55721.439941,19.5882,0.1385,False,C,Vega,1
55721.47998,19.956,0.1635,False,C,Vega,1
55721.520019,19.7097,0.1463,False,C,Vega,1
55721.559814,19.8514,0.1559,False,C,Vega,1
