mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57598.329509,18.5604,0.0505,False,w,AB,1,w,5980.7
57598.33,18.5611,0.05,False,w,AB,1,w,5980.7
57598.341359,18.5537,0.046,False,w,AB,1,w,5980.7
57598.353184,18.522,0.0441,False,w,AB,1,w,5980.7
57598.364986,18.5854,0.0413,False,w,AB,1,w,5980.7
57604.8419,19.0489,0.301,False,UVW2,Vega,1,UVW2,2083.95
57604.8439,18.7885,0.315,False,UVM2,Vega,1,UVM2,2245.03
57604.8498,18.0065,0.081,False,UVW1,Vega,1,UVW1,2681.67
57610.2603,19.3149,0.155,False,UVW2,Vega,1,UVW2,2083.95
57610.2631,19.0575,0.159,False,UVM2,Vega,1,UVM2,2245.03
57610.2659,18.6785,0.107,False,UVW1,Vega,1,UVW1,2681.67
57612.347358,18.5071,0.0757,False,r,AB,1,r,6155.47
57612.3571,18.4979,0.0699,False,r,AB,1,r,6155.47
57612.376573,18.5111,0.0806,False,r,AB,1,r,6155.47
57614.9383,19.5829,0.229,False,UVW2,Vega,1,UVW2,2083.95
57614.9421,19.6245,0.273,False,UVM2,Vega,1,UVM2,2245.03
57614.9457,18.9745,0.155,False,UVW1,Vega,1,UVW1,2681.67
57620.5926,20.0689,0.315,False,UVW2,Vega,1,UVW2,2083.95
57620.5964,20.0665,,True,UVM2,Vega,0,UVM2,2245.03
57620.6001,19.5255,0.222,False,UVW1,Vega,1,UVW1,2681.67
57624.6815,19.7715,,True,UVW1,Vega,0,UVW1,2681.67
57624.7437,20.0339,,True,UVW2,Vega,0,UVW2,2083.95
57624.7453,19.6515,,True,UVM2,Vega,0,UVM2,2245.03
57628.3326,19.8939,,True,UVW2,Vega,0,UVW2,2083.95
57628.3348,19.6335,,True,UVM2,Vega,0,UVM2,2245.03
57628.3368,19.8605,,True,UVW1,Vega,0,UVW1,2681.67
57661.238246,20.9555,0.1899,False,w,AB,1,w,5980.7
57661.25148,20.98,0.1864,False,w,AB,1,w,5980.7
57661.277946,20.9726,0.2296,False,w,AB,1,w,5980.7
