mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57686.527,19.4033,0.025,False,w,AB,1,w,5980.7
57726.18,19.3065,0.105,False,r,AB,1,r,6198.96
57737.18,19.6081,0.222,False,g,AB,1,g,4735.89
57746.35,19.4216,0.177,False,i,AB,1,i,7645.77
57746.35,19.8091,0.205,False,g,AB,1,g,4735.89
57749.35,19.4985,0.081,False,r,AB,1,r,6198.96
57749.35,19.7501,0.176,False,g,AB,1,g,4735.89
57749.35,19.4625,0.096,False,r,AB,1,r,6198.96
57749.35,19.7921,0.162,False,g,AB,1,g,4735.89
57749.35,19.5556,0.107,False,i,AB,1,i,7645.77
57759.12,19.5505,0.104,False,r,AB,1,r,6198.96
57759.12,19.5606,0.121,False,i,AB,1,i,7645.77
57759.12,19.6075,0.098,False,r,AB,1,r,6198.96
57759.12,20.0361,0.184,False,g,AB,1,g,4735.89
57759.12,20.1831,0.177,False,g,AB,1,g,4735.89
57771.27,19.7405,0.088,False,r,AB,1,r,6198.96
57771.27,19.7496,0.11,False,i,AB,1,i,7645.77
57771.27,19.7526,0.111,False,i,AB,1,i,7645.77
57771.27,19.7765,0.082,False,r,AB,1,r,6198.96
57771.27,20.1101,0.095,False,g,AB,1,g,4735.89
57771.27,20.3191,0.148,False,g,AB,1,g,4735.89
57785.54,20.0395,0.034,False,r,AB,1,r,6198.96
57785.54,20.0785,0.045,False,r,AB,1,r,6198.96
57807.0999,20.3295,0.081,False,r,AB,1,r,6198.96
57956.89,22.4435,0.08,False,r,AB,1,r,6198.96
57956.89,22.7276,0.14,False,i,AB,1,i,7645.77
57956.89,22.7531,0.07,False,g,AB,1,g,4735.89
58014.31,22.4835,0.2,False,r,AB,1,r,6198.96
58014.31,23.1931,0.33,False,g,AB,1,g,4735.89
58046.79,22.6635,0.1,False,r,AB,1,r,6198.96
58046.79,22.651,0.22,False,z,AB,1,z,9554.53
58046.79,23.2431,0.1,False,g,AB,1,g,4735.89
58046.79,23.0976,0.13,False,i,AB,1,i,7645.77
58073.38,23.4635,0.12,False,r,AB,1,r,6198.96
58073.38,23.8231,0.12,False,g,AB,1,g,4735.89
58111.56,23.3176,0.21,False,i,AB,1,i,7645.77
58111.56,23.5435,0.15,False,r,AB,1,r,6198.96
58111.56,23.8731,0.19,False,g,AB,1,g,4735.89
58151.12,24.1178,0.05,False,F625W,AB,1,F625W,6266.2
58297.03,24.5078,0.05,False,F625W,AB,1,F625W,6266.2
58430.14,25.0235,,True,r,AB,0,r,6198.96
58670.86,26.0978,0.16,False,F625W,AB,1,F625W,6266.2
