mjd,mag,mag_err,UL,filter,System,detected
57896.903609,16.7425,0.0152,False,G,AB,1
57896.977599,16.7125,0.0151,False,G,AB,1
57906.32,14.1228,0.063,False,UVW1,Vega,1
57906.32,14.1761,0.083,False,UVW2,Vega,1
57906.32,14.4942,0.06,False,U,Vega,1
57906.32,15.8531,0.093,False,V,Vega,1
57906.32,15.9236,0.067,False,B,Vega,1
57906.33,13.9455,0.064,False,UVM2,Vega,1
57908.68,14.4062,0.059,False,U,Vega,1
57908.68,15.6986,0.062,False,B,Vega,1
57908.68,14.1378,0.063,False,UVW1,Vega,1
57908.69,13.9315,0.064,False,UVM2,Vega,1
57908.69,14.1841,0.083,False,UVW2,Vega,1
57908.69,15.7281,0.087,False,V,Vega,1
57912.06,14.2202,0.054,False,U,Vega,1
57912.08,13.6651,0.079,False,UVW2,Vega,1
57912.4,14.2212,0.054,False,U,Vega,1
57912.41,14.0181,0.089,False,UVW2,Vega,1
57912.74,14.0972,0.053,False,U,Vega,1
57912.75,13.9601,0.088,False,UVW2,Vega,1
57912.75,13.9971,0.088,False,UVW2,Vega,1
57914.52,13.7508,0.064,False,UVW1,Vega,1
57914.52,13.8841,0.082,False,UVW2,Vega,1
57914.52,13.9232,0.06,False,U,Vega,1
57914.52,15.3356,0.065,False,B,Vega,1
57914.53,13.5415,0.063,False,UVM2,Vega,1
57914.53,15.3541,0.093,False,V,Vega,1
57915.93,13.5635,0.062,False,UVM2,Vega,1
57915.95,13.6538,0.06,False,UVW1,Vega,1
57915.95,13.8582,0.055,False,U,Vega,1
57915.95,13.8651,0.08,False,UVW2,Vega,1
57915.95,15.1161,0.065,False,V,Vega,1
57915.95,15.2076,0.054,False,B,Vega,1
57919.21,13.6432,0.054,False,U,Vega,1
57919.21,13.4785,0.062,False,UVM2,Vega,1
57919.21,13.4998,0.06,False,UVW1,Vega,1
57919.21,15.0186,0.052,False,B,Vega,1
57919.21,15.0381,0.064,False,V,Vega,1
57919.21,13.8101,0.08,False,UVW2,Vega,1
57920.17,13.3505,0.062,False,UVM2,Vega,1
57920.26,13.3818,0.059,False,UVW1,Vega,1
57920.27,13.5552,0.053,False,U,Vega,1
57920.27,13.6511,0.079,False,UVW2,Vega,1
57920.27,14.9001,0.06,False,V,Vega,1
57920.27,14.9936,0.052,False,B,Vega,1
57922.19,13.3428,0.059,False,UVW1,Vega,1
57922.2,13.3115,0.061,False,UVM2,Vega,1
57922.2,13.4682,0.053,False,U,Vega,1
57922.2,14.7801,0.059,False,V,Vega,1
57922.2,14.8796,0.051,False,B,Vega,1
57924.19,13.4392,0.053,False,U,Vega,1
57924.19,14.7711,0.058,False,V,Vega,1
57924.19,13.3768,0.059,False,UVW1,Vega,1
57924.19,14.8086,0.05,False,B,Vega,1
57924.19,13.7681,0.08,False,UVW2,Vega,1
57924.2,13.3895,0.061,False,UVM2,Vega,1
57925.65,13.9081,0.082,False,UVW2,Vega,1
57925.66,14.0381,0.084,False,UVW2,Vega,1
57926.68,13.5905,0.063,False,UVM2,Vega,1
57926.71,13.4578,0.06,False,UVW1,Vega,1
57926.71,13.9741,0.081,False,UVW2,Vega,1
57926.71,13.4512,0.053,False,U,Vega,1
57926.71,14.7431,0.058,False,V,Vega,1
57926.71,14.9146,0.052,False,B,Vega,1
57928.7,13.5452,0.053,False,U,Vega,1
57928.7,13.5968,0.06,False,UVW1,Vega,1
57928.7,14.1521,0.083,False,UVW2,Vega,1
57928.7,14.8716,0.051,False,B,Vega,1
57928.71,14.7971,0.059,False,V,Vega,1
57928.74,13.7425,0.066,False,UVM2,Vega,1
58044.90363,16.8125,0.0155,False,G,AB,1
58044.97764,16.8125,0.0155,False,G,AB,1
58067.5,15.039,0.2,False,W2,Vega,1
58067.5,16.4585,0.26,False,W1,Vega,1
58075.96505,18.6425,0.0273,False,G,AB,1
58094.62749,18.1998,0.1187,False,orange,AB,1
58096.62787,18.4676,0.2201,False,orange,AB,1
58098.625926,18.4738,0.1097,False,orange,AB,1
58100.63669,18.6998,0.1868,False,orange,AB,1
58102.60813,18.6044,0.1738,False,orange,AB,1
58110.600902,18.7217,0.1918,False,orange,AB,1
58112.60586,18.8154,0.1271,False,orange,AB,1
58115.853219,18.7325,0.0282,False,G,AB,1
58115.92723,18.7325,0.0282,False,G,AB,1
58116.580235,18.5427,0.2791,False,orange,AB,1
58120.499807,18.9687,0.272,False,orange,AB,1
58122.572283,18.508,0.1795,False,orange,AB,1
58122.60728,18.6325,0.0271,False,G,AB,1
58122.681299,18.6125,0.0269,False,G,AB,1
58122.85747,18.7125,0.028,False,G,AB,1
58125.546477,18.5863,0.0769,False,i,AB,1
58125.546477,18.7168,0.0882,False,i,AB,1
58125.560318,18.5807,0.0402,False,i,AB,1
58125.560318,18.6106,0.0494,False,i,AB,1
58125.574151,18.6783,0.0747,False,i,AB,1
58125.574151,18.7486,0.0873,False,i,AB,1
58125.588116,18.6821,0.0696,False,i,AB,1
58125.588116,18.7225,0.0813,False,i,AB,1
58126.66477,18.6343,0.3238,False,orange,AB,1
58128.581325,18.5834,0.2954,False,orange,AB,1
58132.598028,18.3868,0.2464,False,orange,AB,1
58134.57625,18.5507,0.2006,False,orange,AB,1
58138.565759,18.4913,0.1929,False,orange,AB,1
58144.580968,18.6942,0.1534,False,orange,AB,1
58147.50394,18.4228,0.0565,False,i,AB,1
58147.50394,18.455,0.0608,False,i,AB,1
58147.516975,18.3113,0.0622,False,i,AB,1
58147.516975,18.4408,0.0641,False,i,AB,1
58147.52999,18.3433,0.049,False,i,AB,1
58147.52999,18.3538,0.0489,False,i,AB,1
58147.543002,18.3696,0.0468,False,i,AB,1
58147.543002,18.4755,0.0478,False,i,AB,1
58148.528047,18.1261,0.1303,False,orange,AB,1
58150.513909,18.473,0.1531,False,orange,AB,1
58152.55889,18.5921,0.1137,False,orange,AB,1
58154.53978,18.3329,0.1291,False,orange,AB,1
58156.554888,18.8142,0.3506,False,orange,AB,1
58160.660461,18.7695,0.2913,False,orange,AB,1
58162.535421,18.728,0.1929,False,orange,AB,1
58194.413618,19.7956,,True,cyan,AB,0
58196.434556,19.3355,,True,cyan,AB,0
58222.45557,19.1912,,True,orange,AB,0
58227.3,15.539,0.33,False,W2,Vega,1
58227.3,16.4485,0.26,False,W1,Vega,1
58248.324493,19.1066,,True,orange,AB,0
58250.313809,19.432,,True,orange,AB,0
58251.424072,19.5954,,True,cyan,AB,0
58252.35796,19.7807,,True,cyan,AB,0
58254.335666,19.1351,,True,orange,AB,0
58256.335392,20.0765,,True,cyan,AB,0
58260.323282,19.0535,,True,orange,AB,0
58272.279425,19.2728,,True,orange,AB,0
58284.291987,20.2,,True,cyan,AB,0
58286.276732,19.0332,,True,orange,AB,0
58290.26873,19.0807,,True,orange,AB,0
58300.261497,19.2972,,True,orange,AB,0
58302.280163,19.0524,,True,orange,AB,0
58433.1,15.479,0.3,False,W2,Vega,1
58433.1,16.5985,,True,W1,Vega,0
58589.3,15.599,,True,W2,Vega,0
58589.3,16.7985,,True,W1,Vega,0
58797.4,15.599,,True,W2,Vega,0
58797.4,16.7985,,True,W1,Vega,0
58954.9,15.599,,True,W2,Vega,0
58954.9,16.7985,,True,W1,Vega,0
