mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57883.428,18.9863,,True,orange,AB,0,orange,6629.82
57883.428,19.0314,,True,r,AB,0,r,6141.12
57883.443,19.0863,,True,orange,AB,0,orange,6629.82
57883.443,19.1314,,True,r,AB,0,r,6141.12
57883.459,18.8463,,True,orange,AB,0,orange,6629.82
57883.459,18.8914,,True,r,AB,0,r,6141.12
57883.478,18.7163,,True,orange,AB,0,orange,6629.82
57883.478,18.7614,,True,r,AB,0,r,6141.12
57884.365,19.5363,,True,orange,AB,0,orange,6629.82
57884.365,19.5814,,True,r,AB,0,r,6141.12
57884.401,19.3063,,True,orange,AB,0,orange,6629.82
57884.416,19.2763,,True,orange,AB,0,orange,6629.82
57884.416,19.3214,,True,r,AB,0,r,6141.12
57886.285,19.6463,,True,orange,AB,0,orange,6629.82
57886.285,19.6914,,True,r,AB,0,r,6141.12
57886.299,19.6163,,True,orange,AB,0,orange,6629.82
57886.299,19.6614,,True,r,AB,0,r,6141.12
57886.314,19.4863,,True,orange,AB,0,orange,6629.82
57886.314,19.5314,,True,r,AB,0,r,6141.12
57886.328,19.4863,,True,orange,AB,0,orange,6629.82
57886.328,19.5314,,True,r,AB,0,r,6141.12
57892.37,20.2663,,True,orange,AB,0,orange,6629.82
57892.37,20.3114,,True,r,AB,0,r,6141.12
57892.399,20.1863,,True,orange,AB,0,orange,6629.82
57892.399,20.2314,,True,r,AB,0,r,6141.12
57892.427,20.2063,,True,orange,AB,0,orange,6629.82
57893.299,20.1763,,True,orange,AB,0,orange,6629.82
57893.299,20.2214,,True,r,AB,0,r,6141.12
57893.317,20.1363,,True,orange,AB,0,orange,6629.82
57893.317,20.1814,,True,r,AB,0,r,6141.12
57893.35,19.6563,,True,orange,AB,0,orange,6629.82
57893.35,19.7014,,True,r,AB,0,r,6141.12
57896.373,19.9321,,True,g,AB,0,g,4671.78
57896.373,20.0004,,True,cyan,AB,0,cyan,5182.42
57897.289,20.0163,,True,orange,AB,0,orange,6629.82
57897.289,20.0614,,True,r,AB,0,r,6141.12
57897.306,19.9863,,True,orange,AB,0,orange,6629.82
57897.306,20.0314,,True,r,AB,0,r,6141.12
57897.323,20.0163,,True,orange,AB,0,orange,6629.82
57897.323,20.0614,,True,r,AB,0,r,6141.12
57897.34,20.0963,,True,orange,AB,0,orange,6629.82
57897.34,20.1414,,True,r,AB,0,r,6141.12
57898.332,20.1363,,True,orange,AB,0,orange,6629.82
57898.332,20.1814,,True,r,AB,0,r,6141.12
57900.346,20.2321,,True,g,AB,0,g,4671.78
57900.346,20.3004,,True,cyan,AB,0,cyan,5182.42
57900.381,20.2121,,True,g,AB,0,g,4671.78
57900.381,20.2804,,True,cyan,AB,0,cyan,5182.42
57900.416,20.2221,,True,g,AB,0,g,4671.78
57900.416,20.2904,,True,cyan,AB,0,cyan,5182.42
57902.268,20.2464,,True,orange,AB,0,orange,6629.82
57902.268,20.2914,,True,r,AB,0,r,6141.12
57902.301,20.0764,,True,orange,AB,0,orange,6629.82
57902.301,20.1214,,True,r,AB,0,r,6141.12
57902.318,20.0863,,True,orange,AB,0,orange,6629.82
57902.318,20.1314,,True,r,AB,0,r,6141.12
57904.286,19.5221,,True,g,AB,0,g,4671.78
57904.286,19.5904,,True,cyan,AB,0,cyan,5182.42
57905.257,19.7663,,True,orange,AB,0,orange,6629.82
57905.257,19.8114,,True,r,AB,0,r,6141.12
57905.271,19.6163,,True,orange,AB,0,orange,6629.82
57905.271,19.6614,,True,r,AB,0,r,6141.12
57906.257,19.3563,,True,orange,AB,0,orange,6629.82
57906.257,19.4014,,True,r,AB,0,r,6141.12
57908.326,17.7663,,True,orange,AB,0,orange,6629.82
57908.326,17.8114,,True,r,AB,0,r,6141.12
57908.394,17.8363,,True,orange,AB,0,orange,6629.82
57908.394,17.8814,,True,r,AB,0,r,6141.12
57908.6,15.8982,,True,W2,Vega,0,W2,46028.0
57908.6,17.4973,,True,W1,Vega,0,W1,33526.0
57909.274,18.5764,0.1199,False,orange,AB,1,orange,6629.82
57910.275,18.5563,0.1,False,orange,AB,1,orange,6629.82
57912.992,18.7846,0.1199,False,J,AB,1,J,12245.68
57912.992,19.1305,0.1899,False,H,AB,1,H,16329.48
57912.992,17.4991,0.05,False,g,AB,1,g,4671.78
57912.992,17.911,0.05,False,r,AB,1,r,6141.12
57912.992,18.2046,0.0399,False,i,AB,1,i,7604.39
57912.992,18.3228,0.0599,False,z,AB,1,z,8927.54
57912.992,19.514,,True,K,AB,0,K,21550.23
57913.276,18.0363,0.1,False,orange,AB,1,orange,6629.82
57914.026,17.841,0.05,False,r,AB,1,r,6141.12
57914.026,18.2528,0.05,False,z,AB,1,z,8927.54
57914.026,18.1246,0.0399,False,i,AB,1,i,7604.39
57914.026,19.194,,True,K,AB,0,K,21550.23
57914.026,18.8046,0.1099,False,J,AB,1,J,12245.68
57914.026,19.3005,0.18,False,H,AB,1,H,16329.48
57914.026,17.4591,0.0299,False,g,AB,1,g,4671.78
57914.267,17.8163,0.0799,False,orange,AB,1,orange,6629.82
57916.327,17.8963,0.05,False,orange,AB,1,orange,6629.82
57917.011,17.9846,0.0599,False,i,AB,1,i,7604.39
57917.011,17.681,0.0399,False,r,AB,1,r,6141.12
57917.011,18.8805,0.1299,False,H,AB,1,H,16329.48
57917.011,17.3391,0.0799,False,g,AB,1,g,4671.78
57917.011,18.5046,0.1,False,J,AB,1,J,12245.68
57917.011,19.174,0.27,False,K,AB,1,K,21550.23
57917.011,18.0628,0.0599,False,z,AB,1,z,8927.54
57919.32,17.7363,0.0599,False,orange,AB,1,orange,6629.82
57920.316,17.6363,0.0199,False,orange,AB,1,orange,6629.82
57923.327,17.6463,0.1599,False,orange,AB,1,orange,6629.82
57924.011,17.2591,0.0599,False,g,AB,1,g,4671.78
57924.011,17.491,0.0399,False,r,AB,1,r,6141.12
57924.011,17.7828,0.0599,False,z,AB,1,z,8927.54
57924.011,18.3646,0.1,False,J,AB,1,J,12245.68
57924.011,18.5805,0.1299,False,H,AB,1,H,16329.48
57924.303,17.5263,0.0399,False,orange,AB,1,orange,6629.82
57927.304,17.5764,0.0299,False,orange,AB,1,orange,6629.82
57927.322,17.5963,0.05,False,orange,AB,1,orange,6629.82
