mjd,mag,mag_err,UL,filter,System,detected
58205.152343,18.5063,,True,g,AB,0
58217.160156,19.7435,,True,r,AB,0
58223.164062,20.1396,,True,r,AB,0
58223.183593,20.7475,,True,r,AB,0
58227.1875,19.1563,,True,g,AB,0
58232.152343,18.7364,,True,g,AB,0
58238.164062,19.4449,,True,g,AB,0
58249.15625,18.8779,,True,r,AB,0
58263.167968,20.2395,,True,r,AB,0
58369.496093,18.4207,0.1651,False,g,AB,1
58372.515625,18.5735,0.0822,False,r,AB,1
58375.46875,18.5334,0.1313,False,g,AB,1
58378.496093,18.5806,0.1254,False,g,AB,1
58378.507812,18.581,0.0501,False,r,AB,1
58379.46,18.34,0.07,False,r,AB,1
58379.47,18.3,0.05,False,r,AB,1
58379.47,18.32,0.05,False,r,AB,1
58379.47,18.32,0.05,False,r,AB,1
58379.47,18.33,0.06,False,r,AB,1
58379.47,18.43,0.14,False,r,AB,1
58379.48,18.36,0.05,False,r,AB,1
58379.48,18.27,0.05,False,r,AB,1
58379.48,18.39,0.09,False,r,AB,1
58379.48,18.41,0.08,False,r,AB,1
58379.48,18.35,0.07,False,r,AB,1
58379.49,18.33,0.05,False,r,AB,1
58379.49,18.33,0.06,False,r,AB,1
58379.49,18.39,0.04,False,r,AB,1
58379.49,18.43,0.09,False,r,AB,1
58379.5,18.35,0.1,False,r,AB,1
58379.5,18.39,0.04,False,r,AB,1
58379.5,18.28,0.13,False,r,AB,1
58379.5,18.34,0.09,False,r,AB,1
58379.51,18.38,0.05,False,r,AB,1
58380.46,18.4,0.12,False,r,AB,1
58382.48,18.39,0.09,False,r,AB,1
58382.51,18.44,0.04,False,r,AB,1
58382.51,18.62,0.18,False,g,AB,1
58383.457031,18.6231,0.08,False,g,AB,1
58383.5,18.39,0.04,False,r,AB,1
58383.5,18.42,0.04,False,i,AB,1
58383.5,18.65,0.21,False,g,AB,1
58383.51,19.57,0.18,False,u,AB,1
58384.21,18.4,0.08,False,r,AB,1
58384.21,18.45,0.09,False,i,AB,1
58384.21,18.55,0.09,False,g,AB,1
58384.457031,18.5347,0.1545,False,g,AB,1
58384.457031,18.9007,0.1333,False,g,AB,1
58384.48,18.62,0.22,False,g,AB,1
58384.49,19.99,,True,u,AB,0
58384.51,18.42,0.04,False,r,AB,1
58384.51,18.44,0.07,False,i,AB,1
58384.51,18.61,0.23,False,g,AB,1
58384.52,19.66,0.11,False,u,AB,1
58384.52,18.39,0.08,False,r,AB,1
58384.52,18.64,0.23,False,g,AB,1
58384.53,19.68,0.12,False,u,AB,1
58386.19,18.29,0.12,False,r,AB,1
58386.19,18.51,0.18,False,g,AB,1
58386.19,18.73,0.18,False,i,AB,1
58386.19,18.84,0.25,False,z,AB,1
58386.445312,18.4914,0.0631,False,r,AB,1
58392.26,18.57,0.09,False,g,AB,1
58392.26,18.58,0.11,False,z,AB,1
58392.26,18.39,0.08,False,r,AB,1
58392.26,18.48,0.1,False,i,AB,1
58413.4,18.44,0.06,False,r,AB,1
58413.4,18.51,0.22,False,i,AB,1
58413.4,18.83,0.18,False,g,AB,1
58414.4,18.94,0.18,False,g,AB,1
58414.41,18.4,0.11,False,i,AB,1
58414.42,18.79,,True,i,AB,0
58415.26,18.53,0.07,False,r,AB,1
58415.26,18.56,0.08,False,i,AB,1
58415.26,18.68,0.1,False,z,AB,1
58415.26,18.82,0.11,False,g,AB,1
58423.519531,18.7759,0.0467,False,r,AB,1
58424.25,18.6,0.07,False,r,AB,1
58424.25,18.6,0.11,False,z,AB,1
58424.25,18.66,0.07,False,i,AB,1
58424.25,19.08,0.07,False,g,AB,1
58424.492187,18.7353,0.0388,False,r,AB,1
58426.433593,18.6895,0.0611,False,r,AB,1
58428.488281,18.7368,0.0238,False,r,AB,1
58429.390625,18.8088,0.0595,False,r,AB,1
58429.453125,19.1149,0.1374,False,g,AB,1
58429.507812,18.7243,0.0609,False,r,AB,1
58430.371093,19.3769,0.1351,False,g,AB,1
58430.375,19.1799,0.1222,False,g,AB,1
58432.386718,18.6893,0.0857,False,r,AB,1
58432.507812,18.8061,0.0604,False,r,AB,1
58435.519531,18.7728,0.0656,False,r,AB,1
58438.2,18.79,0.07,False,i,AB,1
58438.2,18.83,0.07,False,r,AB,1
58438.2,18.97,0.18,False,z,AB,1
58438.2,19.38,0.08,False,g,AB,1
58438.425781,19.3225,0.1368,False,g,AB,1
58441.4375,18.9225,0.051,False,r,AB,1
58442.34375,18.6814,0.1178,False,r,AB,1
58443.328125,19.7494,0.1224,False,g,AB,1
58447.417968,18.8609,0.0581,False,r,AB,1
58450.394531,19.0169,0.0788,False,r,AB,1
58455.496093,18.9411,0.0584,False,r,AB,1
58458.05,19.05,0.08,False,r,AB,1
58458.05,19.1,0.09,False,i,AB,1
58458.05,20.7,,True,g,AB,0
58458.06,19.03,,True,z,AB,0
58461.386718,19.1345,0.0396,False,r,AB,1
58461.507812,19.1069,0.0928,False,r,AB,1
58464.316406,19.9347,0.1748,False,g,AB,1
58465.386718,19.2165,0.0498,False,r,AB,1
58465.390625,19.1628,0.0503,False,r,AB,1
58466.563716,19.2017,0.024,False,w,AB,1
58466.577318,19.2228,0.0439,False,w,AB,1
58468.0,19.02,0.19,False,z,AB,1
58468.0,19.3,0.18,False,i,AB,1
58468.0,20.23,0.19,False,g,AB,1
58468.0,20.24,,True,r,AB,0
58471.277343,19.2618,0.0729,False,r,AB,1
58471.492187,19.257,0.0492,False,r,AB,1
58478.99,18.93,0.1,False,i,AB,1
58478.99,19.11,0.13,False,z,AB,1
58478.99,19.12,0.09,False,r,AB,1
58478.99,20.2,0.2,False,g,AB,1
58480.425781,19.32,0.0964,False,r,AB,1
58480.464843,20.0406,0.1811,False,g,AB,1
58481.425781,19.4572,0.0479,False,r,AB,1
58481.429687,19.391,0.0677,False,r,AB,1
58485.564966,19.4348,0.0239,False,w,AB,1
58485.576775,19.4374,0.0181,False,w,AB,1
58485.588551,19.3871,0.04,False,w,AB,1
58485.600751,19.4265,0.0321,False,w,AB,1
58486.453125,19.4991,0.0613,False,r,AB,1
58486.532821,19.4683,0.0257,False,w,AB,1
58486.545078,19.4219,0.0241,False,w,AB,1
58486.557343,19.4291,0.0246,False,w,AB,1
58486.569589,19.4555,0.0266,False,w,AB,1
58490.214843,19.5199,0.0774,False,r,AB,1
58492.13,19.3,0.08,False,i,AB,1
58492.13,19.39,0.09,False,r,AB,1
58492.13,20.59,0.14,False,g,AB,1
58493.246093,20.4608,0.1837,False,g,AB,1
58493.355639,19.4976,0.0356,False,w,AB,1
58493.367444,19.4934,0.0252,False,w,AB,1
58493.379281,19.558,0.0465,False,w,AB,1
58493.391266,19.5296,0.0478,False,w,AB,1
58494.308593,19.4864,0.1564,False,r,AB,1
58497.524436,19.521,0.0225,False,w,AB,1
58497.536322,19.511,0.0193,False,w,AB,1
58497.548149,19.5271,0.0191,False,w,AB,1
58497.559945,19.5059,0.0178,False,w,AB,1
58508.195312,20.6046,0.2901,False,g,AB,1
58508.285156,19.5581,0.0518,False,r,AB,1
58508.285156,19.7845,0.0654,False,r,AB,1
58508.478785,19.3668,0.0362,False,i,AB,1
58508.492333,19.3832,0.0364,False,i,AB,1
58508.505958,19.3917,0.0503,False,i,AB,1
58508.519602,19.3924,0.0635,False,i,AB,1
58509.96,20.51,0.28,False,g,AB,1
58518.260495,19.809,0.039,False,w,AB,1
58518.273464,19.7676,0.057,False,w,AB,1
58518.286377,19.8362,0.0391,False,w,AB,1
58518.299239,19.7882,0.044,False,w,AB,1
58524.92,19.8,0.09,False,i,AB,1
58524.92,20.04,0.1,False,r,AB,1
58524.92,21.18,0.15,False,g,AB,1
58534.230468,19.4377,0.3002,False,r,AB,1
58540.89,20.0,0.09,False,i,AB,1
58540.89,20.02,0.07,False,r,AB,1
58540.89,21.26,0.1,False,g,AB,1
58556.242187,20.2998,0.3079,False,g,AB,1
58560.320312,19.8986,0.2334,False,r,AB,1
58564.85,20.1,0.07,False,r,AB,1
58593.242187,20.2367,0.1143,False,r,AB,1
58597.226562,20.3738,0.0672,False,r,AB,1
58601.207031,20.519,0.1344,False,r,AB,1
58602.1875,20.968,0.3245,False,g,AB,1
58607.210937,20.2043,0.3606,False,r,AB,1
58607.214843,20.5839,0.0818,False,r,AB,1
58762.48,21.97,0.18,False,r,AB,1
58819.15,21.98,0.23,False,i,AB,1
58819.15,22.0,0.17,False,r,AB,1
