mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58380.414062,20.1413,,True,g,AB,0,g,4746.48
58380.4375,19.7642,,True,r,AB,0,r,6366.38
58382.375,20.0991,,True,r,AB,0,r,6366.38
58382.382812,20.0648,,True,g,AB,0,g,4746.48
58383.378906,19.6661,,True,r,AB,0,r,6366.38
58383.433593,19.996,,True,g,AB,0,g,4746.48
58384.4375,19.069,,True,g,AB,0,g,4746.48
58386.398437,19.2742,,True,r,AB,0,r,6366.38
58388.410156,19.5453,,True,g,AB,0,g,4746.48
58388.480468,19.6569,,True,r,AB,0,r,6366.38
58391.486048,19.8222,,True,orange,AB,0,orange,6629.82
58393.47984,19.995,,True,orange,AB,0,orange,6629.82
58401.469236,20.4428,,True,cyan,AB,0,cyan,5182.42
58405.545648,20.1125,,True,cyan,AB,0,cyan,5182.42
58409.520607,19.1513,,True,orange,AB,0,orange,6629.82
58413.439344,19.8188,,True,orange,AB,0,orange,6629.82
58422.334386,19.3478,0.2197,False,r,AB,1,r,6366.38
58422.335937,19.5413,0.1962,False,r,AB,1,r,6366.38
58423.512224,19.0402,0.1623,False,orange,AB,1,orange,6629.82
58425.34375,19.3703,0.0536,False,g,AB,1,g,4746.48
58427.49509,19.0105,0.1589,False,orange,AB,1,orange,6629.82
58429.48936,19.175,0.1052,False,cyan,AB,1,cyan,5182.42
58431.236574,18.9898,0.2733,False,g,AB,1,g,4746.48
58431.289363,18.8107,0.1475,False,r,AB,1,r,6366.38
58431.481091,19.1519,0.1809,False,orange,AB,1,orange,6629.82
58434.283078,19.0594,0.1831,False,g,AB,1,g,4746.48
58434.312627,18.965,0.2136,False,r,AB,1,r,6366.38
58435.451579,18.9855,0.2418,False,orange,AB,1,orange,6629.82
58437.292968,19.1391,0.0706,False,r,AB,1,r,6366.38
58437.293101,18.896,0.1118,False,r,AB,1,r,6366.38
58439.328125,19.1944,0.133,False,r,AB,1,r,6366.38
58441.309039,19.008,0.1994,False,r,AB,1,r,6366.38
58447.445246,19.1323,0.2536,False,orange,AB,1,orange,6629.82
58449.440067,19.7108,0.3525,False,orange,AB,1,orange,6629.82
58451.433751,19.2223,0.1942,False,orange,AB,1,orange,6629.82
58453.445997,19.8427,0.3476,False,orange,AB,1,orange,6629.82
58455.387054,19.6605,0.1988,False,orange,AB,1,orange,6629.82
58459.368062,19.0429,,True,orange,AB,0,orange,6629.82
58463.357324,19.3485,,True,orange,AB,0,orange,6629.82
58464.238281,19.3866,,True,g,AB,0,g,4746.48
58464.273437,19.3648,,True,r,AB,0,r,6366.38
58465.3461,19.4315,,True,orange,AB,0,orange,6629.82
58467.350423,19.2294,,True,orange,AB,0,orange,6629.82
58468.25,19.7994,,True,r,AB,0,r,6366.38
58469.368808,19.7005,0.3097,False,orange,AB,1,orange,6629.82
58482.1875,18.9591,,True,r,AB,0,r,6366.38
58485.343141,20.5407,,True,cyan,AB,0,cyan,5182.42
58486.105468,19.5284,,True,r,AB,0,r,6366.38
58487.175781,20.0675,,True,g,AB,0,g,4746.48
58487.326761,19.7485,,True,orange,AB,0,orange,6629.82
58491.175781,19.4734,,True,g,AB,0,g,4746.48
58491.21875,19.8313,,True,r,AB,0,r,6366.38
58491.301984,19.4985,,True,orange,AB,0,orange,6629.82
58493.109375,19.959,,True,r,AB,0,r,6366.38
58493.167968,19.2063,,True,g,AB,0,g,4746.48
58493.303372,20.3069,,True,cyan,AB,0,cyan,5182.42
58494.105468,20.1179,,True,r,AB,0,r,6366.38
