mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58384.36,19.0,,True,g,AB,0,g,4671.78
58384.36,19.09,,True,g,AB,0,g,4671.78
58385.42,19.19,,True,g,AB,0,g,4671.78
58386.37,19.48,,True,r,AB,0,r,6141.12
58386.37,19.57,,True,r,AB,0,r,6141.12
58387.44,19.55,,True,r,AB,0,r,6141.12
58388.38,18.92,,True,g,AB,0,g,4671.78
58388.41,19.24,,True,g,AB,0,g,4671.78
58395.612144,19.1586,,True,cyan,AB,0,cyan,5182.42
58396.60409,18.4915,,True,orange,AB,0,orange,6629.82
58397.600927,19.1447,,True,orange,AB,0,orange,6629.82
58398.604475,18.5689,,True,cyan,AB,0,cyan,5182.42
58399.602435,19.2219,,True,cyan,AB,0,cyan,5182.42
58401.587639,19.0057,,True,orange,AB,0,orange,6629.82
58402.597608,19.2984,,True,cyan,AB,0,cyan,5182.42
58403.59211,19.1749,,True,cyan,AB,0,cyan,5182.42
58406.567653,18.9974,,True,orange,AB,0,orange,6629.82
58407.559212,19.1516,,True,orange,AB,0,orange,6629.82
58409.55479,19.0473,,True,orange,AB,0,orange,6629.82
58410.533166,18.3911,,True,orange,AB,0,orange,6629.82
58413.537901,18.2281,0.2161,False,orange,AB,1,orange,6629.82
58419.549307,18.1282,0.275,False,orange,AB,1,orange,6629.82
58422.43,17.49,0.05,False,g,AB,1,g,4671.78
58423.35,17.53,0.04,False,r,AB,1,r,6141.12
58423.35,17.69,0.04,False,r,AB,1,r,6141.12
58423.44,17.33,0.05,False,g,AB,1,g,4671.78
58423.53218,17.6268,0.0914,False,orange,AB,1,orange,6629.82
58424.3,17.4,0.06,False,r,AB,1,r,6141.12
58424.53925,17.5198,0.0668,False,orange,AB,1,orange,6629.82
58425.3,17.22,0.03,False,r,AB,1,r,6141.12
58425.3,17.28,0.03,False,r,AB,1,r,6141.12
58425.35,16.8,0.02,False,g,AB,1,g,4671.78
58425.35,16.85,0.02,False,g,AB,1,g,4671.78
58426.12,16.5558,0.01,False,g,AB,1,g,4671.78
58426.12,16.6758,0.02,False,V,AB,1,V,5467.57
58426.12,16.7549,0.01,False,B,AB,1,B,4369.53
58426.12,16.8321,0.01,False,r,AB,1,r,6141.12
58426.12,16.9588,0.02,False,i,AB,1,i,7457.89
58426.33,16.63,0.02,False,g,AB,1,g,4671.78
58426.34,16.64,0.01,False,g,AB,1,g,4671.78
58427.15,16.4749,0.02,False,B,AB,1,B,4369.53
58427.15,16.6458,0.01,False,V,AB,1,V,5467.57
58427.17,16.8421,0.01,False,r,AB,1,r,6141.12
58427.17,17.0588,0.01,False,i,AB,1,i,7457.89
58427.533725,16.5551,0.0299,False,cyan,AB,1,cyan,5182.42
58428.31,16.3349,0.02,False,B,AB,1,B,4369.53
58428.31,16.4658,0.01,False,V,AB,1,V,5467.57
58428.33,16.3758,0.01,False,g,AB,1,g,4671.78
58428.33,16.6621,0.01,False,r,AB,1,r,6141.12
58428.33,16.8988,0.01,False,i,AB,1,i,7457.89
58428.520395,16.7857,0.0468,False,orange,AB,1,orange,6629.82
58429.29,16.2149,0.04,False,B,AB,1,B,4369.53
58429.29,16.3358,0.01,False,V,AB,1,V,5467.57
58429.32,16.6,0.01,False,r,AB,1,r,6141.12
