mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58204.292968,18.4994,,True,g,AB,0,g,4671.78
58207.191406,19.388,,True,g,AB,0,g,4671.78
58207.230468,19.6804,,True,g,AB,0,g,4671.78
58210.195312,19.4778,,True,g,AB,0,g,4671.78
58214.175781,18.3966,,True,r,AB,0,r,6141.12
58217.160156,19.7021,,True,r,AB,0,r,6141.12
58223.164062,20.3627,,True,r,AB,0,r,6141.12
58223.183593,20.3851,,True,r,AB,0,r,6141.12
58227.1875,20.0173,,True,g,AB,0,g,4671.78
58235.199218,19.7698,,True,g,AB,0,g,4671.78
58243.15625,19.9378,,True,r,AB,0,r,6141.12
58249.15625,19.2586,,True,r,AB,0,r,6141.12
58249.1875,19.7854,,True,g,AB,0,g,4671.78
58261.29361,18.3604,,True,orange,AB,0,orange,6629.82
58263.167968,20.5167,,True,r,AB,0,r,6141.12
58263.295445,16.8811,,True,orange,AB,0,orange,6629.82
58265.289177,18.1163,,True,orange,AB,0,orange,6629.82
58360.515625,19.1199,0.1098,False,r,AB,1,r,6141.12
58363.48,19.2,0.11,False,r,AB,1,r,6141.12
58363.5,19.1,,True,g,AB,0,g,4671.78
58363.503906,19.0609,0.1155,False,g,AB,1,g,4671.78
58368.47,19.14,0.05,False,r,AB,1,r,6141.12
58368.51,19.1,0.16,False,g,AB,1,g,4671.78
58371.47,19.13,0.06,False,r,AB,1,r,6141.12
58371.51,19.14,0.2,False,g,AB,1,g,4671.78
58374.47,19.06,0.18,False,g,AB,1,g,4671.78
58374.52,19.1,0.06,False,r,AB,1,r,6141.12
58377.46,19.15,0.06,False,r,AB,1,r,6141.12
58377.51,19.22,0.16,False,g,AB,1,g,4671.78
58380.47,19.32,0.06,False,r,AB,1,r,6141.12
58380.51,19.36,0.16,False,g,AB,1,g,4671.78
58383.47,19.41,0.21,False,g,AB,1,g,4671.78
58386.45,19.54,0.17,False,r,AB,1,r,6141.12
58386.51,19.16,,True,g,AB,0,g,4671.78
58389.48,19.49,,True,g,AB,0,g,4671.78
58389.52,19.35,0.06,False,r,AB,1,r,6141.12
58397.48,19.69,0.18,False,g,AB,1,g,4671.78
58397.53,19.46,0.06,False,r,AB,1,r,6141.12
58414.38,20.12,0.26,False,g,AB,1,g,4671.78
58414.39,19.56,0.09,False,r,AB,1,r,6141.12
58414.39,19.55,0.1,False,i,AB,1,i,7457.89
58414.39,20.05,0.16,False,g,AB,1,g,4671.78
58414.39,19.76,0.17,False,i,AB,1,i,7457.89
58415.642614,19.0599,0.3069,False,orange,AB,1,orange,6629.82
58417.23,19.61,0.12,False,r,AB,1,r,6141.12
58417.23,19.79,0.13,False,i,AB,1,i,7457.89
58417.23,19.87,0.12,False,g,AB,1,g,4671.78
58417.34,19.54,0.23,False,r,AB,1,r,6141.12
58418.36,19.72,0.1,False,i,AB,1,i,7457.89
58418.36,19.78,0.07,False,r,AB,1,r,6141.12
58418.36,19.98,0.12,False,g,AB,1,g,4671.78
58423.44,19.49,,True,g,AB,0,g,4671.78
58423.52,19.83,0.1,False,r,AB,1,r,6141.12
58424.48,19.84,0.03,False,r,AB,1,r,6141.12
58426.43,19.91,0.08,False,r,AB,1,r,6141.12
58426.46,20.43,,True,g,AB,0,g,4671.78
58428.48,19.8,0.03,False,r,AB,1,r,6141.12
58429.51,19.92,0.08,False,r,AB,1,r,6141.12
58430.37,20.6,,True,g,AB,0,g,4671.78
58431.27,19.87,0.1,False,i,AB,1,i,7457.89
58431.27,19.89,0.08,False,r,AB,1,r,6141.12
58431.27,20.5,0.09,False,g,AB,1,g,4671.78
58432.37,20.3,0.13,False,r,AB,1,r,6141.12
58432.45,20.36,,True,g,AB,0,g,4671.78
58432.51,20.15,0.1,False,r,AB,1,r,6141.12
58435.39,19.96,0.18,False,r,AB,1,r,6141.12
58435.5,20.25,0.23,False,r,AB,1,r,6141.12
58436.34,20.3,,True,r,AB,0,r,6141.12
58437.48,20.18,,True,g,AB,0,g,4671.78
58438.42,20.11,,True,g,AB,0,g,4671.78
58438.44,20.42,,True,g,AB,0,g,4671.78
58438.5,20.05,0.09,False,r,AB,1,r,6141.12
58439.34,19.97,0.1,False,r,AB,1,r,6141.12
58439.43,20.43,,True,g,AB,0,g,4671.78
58441.36,20.08,0.12,False,r,AB,1,r,6141.12
58441.44,20.4,0.13,False,r,AB,1,r,6141.12
58441.48,20.6,,True,g,AB,0,g,4671.78
58441.629619,19.594,,True,orange,AB,0,orange,6629.82
58443.29,19.15,,True,g,AB,0,g,4671.78
58443.37,20.09,0.13,False,r,AB,1,r,6141.12
58447.31,19.9,,True,r,AB,0,r,6141.12
58447.44,20.56,,True,r,AB,0,r,6141.12
58450.39,20.15,0.16,False,r,AB,1,r,6141.12
58450.46,19.97,,True,g,AB,0,g,4671.78
58455.45,20.39,0.18,False,r,AB,1,r,6141.12
58455.5,20.38,0.16,False,r,AB,1,r,6141.12
58455.562908,20.0207,,True,cyan,AB,0,cyan,5182.42
58458.08,19.96,0.24,False,i,AB,1,i,7457.89
58458.08,20.05,,True,g,AB,0,g,4671.78
58458.08,20.2,,True,r,AB,0,r,6141.12
58459.543682,19.7529,,True,cyan,AB,0,cyan,5182.42
58461.38,20.26,0.04,False,r,AB,1,r,6141.12
58461.51,20.38,0.22,False,r,AB,1,r,6141.12
58464.06,20.26,0.1,False,i,AB,1,i,7457.89
58464.06,20.38,0.08,False,r,AB,1,r,6141.12
58464.3,20.51,0.22,False,r,AB,1,r,6141.12
58464.32,20.27,,True,g,AB,0,g,4671.78
58465.38,20.3,0.05,False,r,AB,1,r,6141.12
58467.12,20.13,0.13,False,i,AB,1,i,7457.89
58471.28,20.86,,True,r,AB,0,r,6141.12
58471.48,20.36,0.05,False,r,AB,1,r,6141.12
58474.29,20.4,,True,r,AB,0,r,6141.12
58478.17,20.57,,True,r,AB,0,r,6141.12
58478.18,20.3,0.27,False,i,AB,1,i,7457.89
58479.487129,19.8525,,True,orange,AB,0,orange,6629.82
58480.44,20.29,0.15,False,r,AB,1,r,6141.12
58480.47,19.41,,True,g,AB,0,g,4671.78
58481.43,20.52,0.16,False,r,AB,1,r,6141.12
58487.494739,20.2389,,True,cyan,AB,0,cyan,5182.42
58489.473371,19.849,,True,orange,AB,0,orange,6629.82
58491.486532,20.0711,,True,cyan,AB,0,cyan,5182.42
58494.3,21.05,0.08,False,r,AB,1,r,6141.12
58495.03,20.99,0.1,False,r,AB,1,r,6141.12
58495.03,21.51,0.13,False,g,AB,1,g,4671.78
58495.04,21.05,0.11,False,i,AB,1,i,7457.89
58497.462682,19.7874,,True,orange,AB,0,orange,6629.82
58499.429163,19.8709,,True,orange,AB,0,orange,6629.82
58507.434702,19.8565,,True,orange,AB,0,orange,6629.82
58516.99,21.14,0.1,False,i,AB,1,i,7457.89
58516.99,21.55,0.12,False,r,AB,1,r,6141.12
58516.99,21.75,0.15,False,g,AB,1,g,4671.78
58519.437995,20.2682,,True,cyan,AB,0,cyan,5182.42
58523.424593,20.0851,,True,cyan,AB,0,cyan,5182.42
58537.384131,19.7289,,True,orange,AB,0,orange,6629.82
58539.11,22.24,0.19,False,r,AB,1,r,6141.12
58539.12,22.3,0.21,False,i,AB,1,i,7457.89
58539.13,22.78,0.27,False,g,AB,1,g,4671.78
58545.371377,19.9826,,True,orange,AB,0,orange,6629.82
58545.86,22.55,,True,g,AB,0,g,4671.78
58545.87,21.9,0.25,False,r,AB,1,r,6141.12
58545.87,22.16,,True,i,AB,0,i,7457.89
58557.314829,19.8237,,True,orange,AB,0,orange,6629.82
58565.335803,19.7426,,True,orange,AB,0,orange,6629.82
58569.32648,19.9623,,True,orange,AB,0,orange,6629.82
58571.324837,19.9919,,True,orange,AB,0,orange,6629.82
58573.318239,19.8806,,True,orange,AB,0,orange,6629.82
58575.335821,20.1065,,True,cyan,AB,0,cyan,5182.42
58579.33432,20.7705,,True,cyan,AB,0,cyan,5182.42
58581.306918,19.7724,,True,orange,AB,0,orange,6629.82
58595.270601,19.9562,,True,orange,AB,0,orange,6629.82
58597.23,20.61,,True,r,AB,0,r,6141.12
58597.23,20.81,,True,r,AB,0,r,6141.12
58597.23,20.86,,True,r,AB,0,r,6141.12
58597.278767,19.7673,,True,orange,AB,0,orange,6629.82
58599.280988,19.9245,,True,orange,AB,0,orange,6629.82
58600.14,22.28,0.28,False,r,AB,1,r,6141.12
58600.15,22.88,,True,g,AB,0,g,4671.78
58601.22,21.07,,True,r,AB,0,r,6141.12
58601.22,21.22,,True,r,AB,0,r,6141.12
58603.301926,20.2244,,True,cyan,AB,0,cyan,5182.42
58605.283491,19.8255,,True,orange,AB,0,orange,6629.82
58607.22,20.01,,True,r,AB,0,r,6141.12
58607.291498,20.4641,,True,cyan,AB,0,cyan,5182.42
58609.292132,19.7835,,True,orange,AB,0,orange,6629.82
58611.265431,20.2962,,True,cyan,AB,0,cyan,5182.42
58615.277256,19.8528,,True,orange,AB,0,orange,6629.82
58618.19,20.37,,True,r,AB,0,r,6141.12
58618.19,20.46,,True,r,AB,0,r,6141.12
58632.16,19.99,,True,r,AB,0,r,6141.12
58632.17,19.97,,True,r,AB,0,r,6141.12
58632.17,20.22,,True,r,AB,0,r,6141.12
58632.17,20.29,,True,r,AB,0,r,6141.12
