mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58422.52,21.02,,True,r,AB,0,r,6155.47
58424.54,21.19,,True,r,AB,0,r,6155.47
58424.55,21.25,,True,r,AB,0,r,6155.47
58425.49,21.04,,True,r,AB,0,r,6155.47
58425.52,21.46,,True,g,AB,0,g,4671.78
58426.47,21.92,,True,g,AB,0,g,4671.78
58426.52,21.7,,True,r,AB,0,r,6155.47
58427.48,21.25,,True,r,AB,0,r,6155.47
58427.48,21.3,,True,r,AB,0,r,6155.47
58427.53,21.55,,True,g,AB,0,g,4671.78
58427.53,21.72,,True,g,AB,0,g,4671.78
58428.5,21.42,,True,r,AB,0,r,6155.47
58428.54,21.88,,True,g,AB,0,g,4671.78
58429.48,21.93,,True,g,AB,0,g,4671.78
58429.54,21.67,,True,r,AB,0,r,6155.47
58430.49,21.82,,True,r,AB,0,r,6155.47
58430.5,21.55,,True,r,AB,0,r,6155.47
58430.54,22.13,,True,g,AB,0,g,4671.78
58430.54,22.2,,True,g,AB,0,g,4671.78
58430.55,21.74,,True,g,AB,0,g,4671.78
58431.5,21.24,,True,g,AB,0,g,4671.78
58431.53,20.97,,True,r,AB,0,r,6155.47
58432.5,21.78,,True,g,AB,0,g,4671.78
58432.54,21.52,,True,r,AB,0,r,6155.47
58434.47,20.86,,True,r,AB,0,r,6155.47
58434.48,20.99,,True,r,AB,0,r,6155.47
58434.54,21.3,,True,g,AB,0,g,4671.78
58437.51,21.66,,True,g,AB,0,g,4671.78
58437.51,21.74,,True,g,AB,0,g,4671.78
58437.52,21.44,,True,r,AB,0,r,6155.47
58437.53,21.69,,True,r,AB,0,r,6155.47
58438.47,21.9,,True,g,AB,0,g,4671.78
58438.54,21.86,,True,r,AB,0,r,6155.47
58439.38,21.33,,True,r,AB,0,r,6155.47
58439.48,21.76,,True,g,AB,0,g,4671.78
58440.5,22.02,,True,g,AB,0,g,4671.78
58440.5,22.12,,True,g,AB,0,g,4671.78
58440.54,21.8,,True,r,AB,0,r,6155.47
58440.54,21.87,,True,r,AB,0,r,6155.47
58441.5,21.78,,True,g,AB,0,g,4671.78
58441.52,20.89,,True,r,AB,0,r,6155.47
58442.49,20.2,,True,g,AB,0,g,4671.78
58443.44,21.27,,True,r,AB,0,r,6155.47
58443.44,21.32,,True,r,AB,0,r,6155.47
58443.54,22.07,,True,g,AB,0,g,4671.78
58443.54,22.08,,True,g,AB,0,g,4671.78
58447.46,20.67,,True,r,AB,0,r,6155.47
58447.46,20.78,,True,r,AB,0,r,6155.47
58447.54,20.5,,True,r,AB,0,r,6155.47
58447.54,20.76,,True,r,AB,0,r,6155.47
58448.46,20.74,,True,r,AB,0,r,6155.47
58448.54,21.02,,True,r,AB,0,r,6155.47
58449.51,21.12,,True,r,AB,0,r,6155.47
58455.48,21.62,,True,r,AB,0,r,6155.47
58455.48,21.66,,True,r,AB,0,r,6155.47
58455.51,20.96,,True,r,AB,0,r,6155.47
58455.52,20.58,,True,r,AB,0,r,6155.47
58461.45,21.4,,True,g,AB,0,g,4671.78
58464.47,21.93,,True,g,AB,0,g,4671.78
58464.53,21.9,,True,r,AB,0,r,6155.47
58467.45,19.39,,True,g,AB,0,g,4671.78
58471.53,21.56,,True,r,AB,0,r,6155.47
58472.41,21.42,,True,r,AB,0,r,6155.47
58476.46,21.07,,True,r,AB,0,r,6155.47
58480.45,21.1,,True,r,AB,0,r,6155.47
58480.49,21.02,,True,g,AB,0,g,4671.78
58481.44,21.35,,True,r,AB,0,r,6155.47
58482.49,21.46,,True,g,AB,0,g,4671.78
58487.560899,20.5292,,True,cyan,AB,0,cyan,5182.42
58489.553699,20.0972,,True,orange,AB,0,orange,6629.82
58491.557484,20.5188,,True,cyan,AB,0,cyan,5182.42
58493.532682,20.0185,,True,orange,AB,0,orange,6629.82
58495.538251,20.1781,,True,orange,AB,0,orange,6629.82
58499.495692,19.8866,,True,orange,AB,0,orange,6629.82
58501.466374,19.8503,,True,orange,AB,0,orange,6629.82
58502.42,20.36,,True,r,AB,0,r,6155.47
58502.44,20.64,,True,r,AB,0,r,6155.47
58503.33,19.99,,True,r,AB,0,r,6155.47
58503.39,20.06,,True,r,AB,0,r,6155.47
58503.4,20.84,,True,r,AB,0,r,6155.47
58503.42,20.67,,True,r,AB,0,r,6155.47
58503.44,20.44,,True,r,AB,0,r,6155.47
58503.45,20.15,,True,r,AB,0,r,6155.47
58507.503732,20.2726,,True,orange,AB,0,orange,6629.82
58509.284699,19.8243,,True,r,AB,0,r,6155.47
58509.513796,19.3838,,True,g,AB,0,g,4671.78
58512.415648,19.753,,True,g,AB,0,g,4671.78
58517.486949,19.891,,True,orange,AB,0,orange,6629.82
58519.506493,20.5592,,True,cyan,AB,0,cyan,5182.42
58522.407696,20.6451,,True,g,AB,0,g,4671.78
58522.428263,20.5491,,True,g,AB,0,g,4671.78
58523.495806,20.363,,True,cyan,AB,0,cyan,5182.42
58526.425011,19.6902,,True,g,AB,0,g,4671.78
58534.275034,18.6411,,True,g,AB,0,g,4671.78
58534.357557,18.7057,,True,r,AB,0,r,6155.47
58537.456437,19.6602,0.3242,False,orange,AB,1,orange,6629.82
58538.236608,17.1508,,True,r,AB,0,r,6155.47
58538.23699,17.1471,,True,r,AB,0,r,6155.47
58538.28,19.13,0.21,False,g,AB,1,g,4671.78
58538.280995,19.1374,0.2116,False,g,AB,1,g,4671.78
58538.38,19.83,,True,i,AB,0,i,7457.89
58541.257638,19.0472,0.1577,False,g,AB,1,g,4671.78
58541.26,19.04,0.16,False,g,AB,1,g,4671.78
