mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58502.43,20.21,,True,r,AB,0,r,6141.12
58503.36,19.84,,True,r,AB,0,r,6141.12
58503.37,20.08,,True,r,AB,0,r,6141.12
58503.41,20.27,,True,r,AB,0,r,6141.12
58503.43,20.48,,True,r,AB,0,r,6141.12
58503.44,20.4,,True,r,AB,0,r,6141.12
58503.46,19.98,,True,r,AB,0,r,6141.12
58507.28,20.74,,True,r,AB,0,r,6141.12
58507.47,19.87,,True,g,AB,0,g,4671.78
58510.27,20.61,,True,r,AB,0,r,6141.12
58510.496228,19.8897,,True,orange,AB,0,orange,6629.82
58511.42,21.35,,True,r,AB,0,r,6141.12
58512.49113,19.8935,,True,orange,AB,0,orange,6629.82
58513.38,19.43,,True,g,AB,0,g,4671.78
58513.42,21.02,,True,r,AB,0,r,6141.12
58516.49816,19.8457,,True,orange,AB,0,orange,6629.82
58518.498992,21.17,,True,cyan,AB,0,cyan,5182.42
58520.487945,20.2143,,True,orange,AB,0,orange,6629.82
58523.21,21.31,,True,r,AB,0,r,6141.12
58523.25,21.61,,True,r,AB,0,r,6141.12
58523.26,21.42,,True,r,AB,0,r,6141.12
58523.26,21.46,,True,r,AB,0,r,6141.12
58523.26,21.63,,True,r,AB,0,r,6141.12
58523.27,21.49,,True,r,AB,0,r,6141.12
58523.27,21.5,,True,r,AB,0,r,6141.12
58523.27,21.63,,True,r,AB,0,r,6141.12
58523.27,21.65,,True,r,AB,0,r,6141.12
58523.28,21.58,,True,r,AB,0,r,6141.12
58523.28,21.52,,True,r,AB,0,r,6141.12
58523.28,21.55,,True,r,AB,0,r,6141.12
58523.29,21.45,,True,r,AB,0,r,6141.12
58523.29,21.59,,True,r,AB,0,r,6141.12
58523.29,21.63,,True,r,AB,0,r,6141.12
58523.29,21.66,,True,r,AB,0,r,6141.12
58523.3,21.55,,True,r,AB,0,r,6141.12
58523.3,21.57,,True,r,AB,0,r,6141.12
58523.3,21.61,,True,r,AB,0,r,6141.12
58523.31,21.49,,True,r,AB,0,r,6141.12
58523.31,21.54,,True,r,AB,0,r,6141.12
58523.32,21.53,,True,r,AB,0,r,6141.12
58523.32,21.63,,True,r,AB,0,r,6141.12
58523.32,21.31,,True,r,AB,0,r,6141.12
58523.32,21.46,,True,r,AB,0,r,6141.12
58523.33,21.32,,True,r,AB,0,r,6141.12
58523.33,21.53,,True,r,AB,0,r,6141.12
58523.33,21.57,,True,r,AB,0,r,6141.12
58523.34,21.53,,True,r,AB,0,r,6141.12
58523.34,21.62,,True,r,AB,0,r,6141.12
58523.34,21.68,,True,r,AB,0,r,6141.12
58523.35,21.52,,True,r,AB,0,r,6141.12
58523.35,21.56,,True,r,AB,0,r,6141.12
58523.35,21.58,,True,r,AB,0,r,6141.12
58523.35,21.64,,True,r,AB,0,r,6141.12
58523.36,21.51,,True,r,AB,0,r,6141.12
58523.36,21.66,,True,r,AB,0,r,6141.12
58523.36,21.5,,True,r,AB,0,r,6141.12
58523.37,21.58,,True,r,AB,0,r,6141.12
58523.37,21.33,,True,r,AB,0,r,6141.12
58523.37,21.55,,True,r,AB,0,r,6141.12
58523.38,21.22,,True,r,AB,0,r,6141.12
58523.38,21.24,,True,r,AB,0,r,6141.12
58523.38,21.36,,True,r,AB,0,r,6141.12
58523.38,21.53,,True,r,AB,0,r,6141.12
58523.39,21.28,,True,r,AB,0,r,6141.12
58523.39,21.32,,True,r,AB,0,r,6141.12
58523.39,21.57,,True,r,AB,0,r,6141.12
58523.4,20.34,,True,r,AB,0,r,6141.12
58523.4,20.53,,True,r,AB,0,r,6141.12
58523.4,21.22,,True,r,AB,0,r,6141.12
58523.4,21.29,,True,r,AB,0,r,6141.12
