mjd,mag,mag_err,UL,filter,System,detected
58519.63183,20.6515,,True,cyan,AB,0
58529.565038,19.6241,,True,orange,AB,0
58537.584221,19.1882,,True,orange,AB,0
58541.588906,19.9843,,True,orange,AB,0
58545.568264,20.4242,,True,orange,AB,0
58549.567879,19.9283,,True,orange,AB,0
58557.514935,20.0637,,True,orange,AB,0
58561.548981,19.655,,True,orange,AB,0
58565.52693,19.6679,,True,orange,AB,0
58567.539589,19.9268,,True,orange,AB,0
58569.517599,19.7891,,True,orange,AB,0
58571.510612,20.4252,,True,orange,AB,0
58572.34,21.04,,True,g,AB,0
58572.36,20.59,,True,r,AB,0
58573.516055,19.7621,,True,orange,AB,0
58575.35,20.72,,True,g,AB,0
58575.42,21.51,,True,r,AB,0
58575.528996,20.4751,,True,cyan,AB,0
58577.514517,19.6747,,True,orange,AB,0
58579.523579,20.4205,,True,cyan,AB,0
58580.39,21.28,,True,r,AB,0
58580.42,21.17,,True,g,AB,0
58581.39,20.78,,True,i,AB,0
58581.51296,19.8901,,True,orange,AB,0
58583.33,21.14,,True,r,AB,0
58583.38,21.29,,True,g,AB,0
58583.478074,20.59,,True,cyan,AB,0
58585.325842,20.141,,True,orange,AB,0
58586.3,20.65,,True,i,AB,0
58586.32,21.1,,True,r,AB,0
58586.4,21.45,,True,g,AB,0
58587.474883,19.2665,,True,orange,AB,0
58589.451554,19.7721,,True,orange,AB,0
58591.38,20.06,,True,r,AB,0
58594.29,20.32,,True,g,AB,0
58594.3,19.99,,True,i,AB,0
58594.36,20.34,,True,r,AB,0
58595.472681,19.7984,,True,orange,AB,0
58596.36,20.71,,True,i,AB,0
58597.3,21.41,,True,g,AB,0
58597.35,21.09,,True,r,AB,0
58597.465895,19.6371,,True,orange,AB,0
58598.478204,20.229,,True,orange,AB,0
58599.3,20.9,0.09,False,g,AB,1
58599.464165,19.5967,,True,orange,AB,0
58602.3,20.83,0.21,False,r,AB,1
58603.474053,19.7784,,True,cyan,AB,0
58605.456826,19.7944,,True,orange,AB,0
58606.27,20.22,0.12,False,r,AB,1
58606.38,20.17,0.1,False,g,AB,1
58607.28,20.63,0.25,False,i,AB,1
58607.483411,20.0614,0.2579,False,cyan,AB,1
58609.444232,19.4405,,True,orange,AB,0
58611.555867,19.6358,0.1931,False,cyan,AB,1
58612.23,19.93,0.08,False,r,AB,1
58612.29,19.87,0.06,False,g,AB,1
58612.32,20.19,0.18,False,i,AB,1
58613.378843,19.5144,,True,orange,AB,0
58615.356084,19.8338,0.2088,False,orange,AB,1
58616.25,19.75,0.14,False,g,AB,1
58616.3,19.85,0.13,False,r,AB,1
58616.33,19.85,0.16,False,i,AB,1
58617.414348,19.4738,,True,orange,AB,0
58619.27,19.63,0.24,False,g,AB,1
58619.32,19.76,,True,r,AB,0
58623.373922,19.0609,,True,orange,AB,0
58627.531744,19.9059,0.3517,False,orange,AB,1
58628.33,19.75,0.09,False,r,AB,1
58629.39084,19.8872,0.2267,False,orange,AB,1
58631.311134,19.8977,0.3019,False,orange,AB,1
58633.26,19.72,0.06,False,g,AB,1
58633.3,19.68,0.08,False,r,AB,1
58633.3,19.72,0.16,False,r,AB,1
58633.389424,19.8968,0.3102,False,orange,AB,1
58634.3,19.67,0.07,False,r,AB,1
58635.18,19.63,0.13,False,i,AB,1
58635.384399,19.7411,0.1613,False,cyan,AB,1
58636.21,19.58,0.07,False,r,AB,1
58636.28,19.68,0.06,False,g,AB,1
58638.25,19.59,0.07,False,r,AB,1
58639.21,19.69,0.12,False,i,AB,1
58639.28,19.66,0.07,False,r,AB,1
58639.34056,19.6816,0.1717,False,cyan,AB,1
58641.322065,19.6918,0.2569,False,orange,AB,1
58642.18,19.84,0.1,False,g,AB,1
58642.26,19.69,0.07,False,r,AB,1
58642.3,19.87,0.06,False,g,AB,1
58643.21,19.85,0.18,False,i,AB,1
58643.384102,19.937,0.3201,False,orange,AB,1
58645.23,19.72,0.13,False,g,AB,1
58645.28,19.8,0.14,False,r,AB,1
58645.297836,19.2119,,True,orange,AB,0
58647.343976,19.0806,,True,orange,AB,0
58648.21,19.67,0.21,False,r,AB,1
58648.28,20.17,,True,i,AB,0
58648.32,20.24,,True,g,AB,0
58649.416124,19.3973,,True,orange,AB,0
58651.19,20.27,,True,g,AB,0
58651.25,19.81,0.19,False,r,AB,1
58654.19,19.88,0.08,False,r,AB,1
