mjd,mag,mag_err,UL,filter,System,detected
58582.5,20.57,,True,r,AB,0
58582.51,20.54,,True,r,AB,0
58582.51,20.76,,True,r,AB,0
58582.52,20.67,,True,r,AB,0
58588.5,20.72,,True,r,AB,0
58588.5,20.86,,True,r,AB,0
58588.51,20.37,,True,r,AB,0
58588.51,20.58,,True,r,AB,0
58589.62024,19.4639,,True,orange,AB,0
58591.5,20.0,,True,r,AB,0
58591.5,20.12,,True,r,AB,0
58591.51,20.2,,True,r,AB,0
58607.48,21.51,,True,g,AB,0
58607.5,21.02,,True,r,AB,0
58627.60366,19.6736,,True,orange,AB,0
58631.601759,19.4813,,True,orange,AB,0
58633.596075,19.4402,,True,orange,AB,0
58634.43,20.23,0.11,False,r,AB,1
58634.47,20.12,0.09,False,g,AB,1
58635.579728,19.967,0.2316,False,cyan,AB,1
58637.43,19.77,0.06,False,r,AB,1
58637.43,19.87,0.11,False,r,AB,1
58637.47,19.73,0.07,False,g,AB,1
58637.591315,19.3173,,True,orange,AB,0
58639.48,19.67,0.11,False,i,AB,1
58640.45,19.34,0.05,False,g,AB,1
58640.47,19.5,0.06,False,r,AB,1
58641.571624,19.5738,0.262,False,orange,AB,1
58643.45,19.14,0.05,False,g,AB,1
58643.47,19.14,0.05,False,r,AB,1
58643.559743,19.5189,0.2243,False,orange,AB,1
58645.599905,19.4937,0.3045,False,orange,AB,1
58646.42,18.83,0.03,False,g,AB,1
58646.47,18.98,0.04,False,r,AB,1
58647.547252,19.2032,0.2399,False,orange,AB,1
58649.32,19.14,0.18,False,i,AB,1
58649.47,18.69,0.04,False,g,AB,1
58649.589093,19.4006,0.2323,False,orange,AB,1
58650.4,18.88,0.09,False,r,AB,1
58652.44,18.71,0.06,False,r,AB,1
58652.46,18.59,0.07,False,g,AB,1
58653.31,18.69,0.11,False,r,AB,1
58653.47,18.82,0.08,False,i,AB,1
58653.591705,18.8038,0.1685,False,orange,AB,1
58655.43,18.68,0.06,False,r,AB,1
58655.43,18.73,0.07,False,r,AB,1
58655.46,18.66,0.07,False,r,AB,1
58655.47,18.55,0.06,False,g,AB,1
58658.4,18.46,0.03,False,r,AB,1
58658.42,18.52,0.05,False,i,AB,1
58658.47,18.36,0.03,False,g,AB,1
58659.530501,18.5099,0.1381,False,orange,AB,1
58661.43,18.41,0.03,False,r,AB,1
58661.48,18.28,0.03,False,g,AB,1
58662.34,18.44,0.04,False,i,AB,1
58662.48,18.34,0.03,False,r,AB,1
58662.48,18.36,0.03,False,r,AB,1
58663.581967,18.3499,0.0578,False,cyan,AB,1
58665.27,18.36,0.04,False,r,AB,1
58665.32,18.32,0.04,False,r,AB,1
58665.44,18.39,0.06,False,r,AB,1
