mjd,mag,mag_err,UL,filter,System,detected
58450.29337,19.5894,,True,orange,AB,0
58452.292838,19.8241,,True,orange,AB,0
58454.28177,18.8967,,True,orange,AB,0
58456.271561,20.5861,,True,cyan,AB,0
58458.285605,18.8985,,True,orange,AB,0
58460.269609,20.2005,,True,cyan,AB,0
58462.284622,18.9514,,True,orange,AB,0
58492.244752,19.8003,,True,cyan,AB,0
58540.53125,20.4104,,True,r,AB,0
58540.972656,20.0572,,True,g,AB,0
58547.550781,19.4584,,True,i,AB,0
58554.647255,19.3716,,True,orange,AB,0
58557.945312,19.6369,,True,r,AB,0
58558.226562,21.2211,0.4986,False,g,AB,1
58561.386718,20.5384,0.4791,False,r,AB,1
58561.453125,17.0009,,True,i,AB,0
58561.523437,19.5296,,True,g,AB,0
58568.441406,19.8572,,True,g,AB,0
58568.507812,20.4555,0.364,False,r,AB,1
58568.641032,18.9819,,True,orange,AB,0
58572.635026,19.5892,,True,orange,AB,0
58573.34375,19.4225,,True,i,AB,0
58573.359375,19.3901,,True,g,AB,0
58573.9375,20.2658,0.2134,False,r,AB,1
58581.859375,20.9327,0.3319,False,g,AB,1
58582.410156,20.4739,0.464,False,r,AB,1
58582.633748,18.8917,,True,orange,AB,0
58585.40625,19.8164,0.1361,False,r,AB,1
58587.347656,14.0056,,True,i,AB,0
58588.382812,19.9662,0.1926,False,r,AB,1
58591.910156,19.5958,0.3214,False,r,AB,1
58593.371093,19.8439,0.3443,False,g,AB,1
58594.616873,18.7467,0.2957,False,orange,AB,1
58596.371093,20.1706,0.3537,False,i,AB,1
58597.433593,19.7743,0.3863,False,r,AB,1
58604.615541,19.1072,,True,cyan,AB,0
58606.324218,19.6863,0.1237,False,r,AB,1
58606.476562,19.9557,0.1081,False,g,AB,1
58607.285156,19.7538,0.1998,False,i,AB,1
58612.611998,19.8623,0.2642,False,cyan,AB,1
58616.347656,19.3952,0.1484,False,i,AB,1
58616.590905,19.0465,,True,orange,AB,0
58617.347656,19.6842,0.1425,False,r,AB,1
58617.394531,20.2098,0.2311,False,g,AB,1
58622.397254,18.7047,0.2473,False,orange,AB,1
58626.581276,19.7042,0.28,False,orange,AB,1
58627.445312,19.68,0.1816,False,i,AB,1
58628.449218,19.6697,0.1221,False,g,AB,1
58630.59917,19.6997,0.3257,False,orange,AB,1
58634.34375,19.3371,0.2943,False,r,AB,1
58634.34375,19.34,0.2871,False,r,AB,1
58634.431845,19.5154,0.2855,False,orange,AB,1
58634.457031,19.5954,0.0872,False,g,AB,1
58634.457031,19.6242,0.1102,False,g,AB,1
58636.308593,19.4106,0.1465,False,i,AB,1
58636.556874,19.7038,0.1521,False,cyan,AB,1
58637.324218,19.2252,0.1969,False,r,AB,1
58637.324218,19.294,0.0866,False,r,AB,1
58637.449218,19.4201,0.0611,False,g,AB,1
58637.449218,19.4732,0.1012,False,g,AB,1
58640.265625,19.219,0.0825,False,r,AB,1
58640.285156,19.2514,0.111,False,r,AB,1
58640.304687,19.2388,0.3784,False,i,AB,1
58640.347656,19.4309,0.0726,False,g,AB,1
