mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58606.335737,19.304,,True,cyan,AB,0,cyan,5182.42
58610.343544,20.1301,,True,cyan,AB,0,cyan,5182.42
58612.280023,19.7193,,True,orange,AB,0,orange,6629.82
58614.300135,19.6079,,True,orange,AB,0,orange,6629.82
58618.323081,19.282,,True,orange,AB,0,orange,6629.82
58620.278924,19.3246,,True,orange,AB,0,orange,6629.82
58626.297168,19.7716,,True,orange,AB,0,orange,6629.82
58628.252297,19.6852,,True,orange,AB,0,orange,6629.82
58630.252813,19.7711,,True,orange,AB,0,orange,6629.82
58632.26606,19.7115,,True,orange,AB,0,orange,6629.82
58634.256862,19.5617,,True,cyan,AB,0,cyan,5182.42
58636.253666,19.2395,,True,orange,AB,0,orange,6629.82
58642.255349,19.2294,,True,cyan,AB,0,cyan,5182.42
58642.467997,21.2043,,True,G,AB,0,G,5850.88
58648.262349,19.1161,,True,orange,AB,0,orange,6629.82
58650.260894,18.9737,,True,orange,AB,0,orange,6629.82
58656.264744,19.4241,,True,orange,AB,0,orange,6629.82
58764.622349,19.7431,,True,orange,AB,0,orange,6629.82
58765.52,20.29,,True,r,AB,0,r,6141.12
58765.53,19.9,,True,r,AB,0,r,6141.12
58765.53,20.24,,True,r,AB,0,r,6141.12
58765.54,19.22,,True,r,AB,0,r,6141.12
58767.52,20.26,,True,r,AB,0,r,6141.12
58767.53,19.53,,True,r,AB,0,r,6141.12
58767.53,19.95,,True,r,AB,0,r,6141.12
58767.54,19.06,,True,r,AB,0,r,6141.12
58769.53,19.91,,True,r,AB,0,r,6141.12
58769.53,19.89,,True,r,AB,0,r,6141.12
58769.54,19.67,,True,r,AB,0,r,6141.12
58771.53,19.3,,True,r,AB,0,r,6141.12
58771.53,19.39,,True,r,AB,0,r,6141.12
58771.54,19.2,,True,r,AB,0,r,6141.12
58771.54,19.3,,True,r,AB,0,r,6141.12
58772.614024,19.3179,,True,orange,AB,0,orange,6629.82
58776.52,18.77,0.18,False,r,AB,1,r,6141.12
58776.52,18.78,0.1,False,r,AB,1,r,6141.12
58776.837619,18.9043,0.0339,False,G,AB,1,G,5850.88
58780.634288,18.5974,0.1335,False,orange,AB,1,orange,6629.82
58784.635812,18.2821,0.0942,False,orange,AB,1,orange,6629.82
58785.52,18.15,0.04,False,r,AB,1,r,6141.12
58787.45,17.96,0.15,False,r,AB,1,r,6141.12
58788.631293,18.1215,0.0795,False,orange,AB,1,orange,6629.82
58789.5,17.92,0.03,False,g,AB,1,g,4793.46
58789.53,17.99,0.03,False,r,AB,1,r,6141.12
58790.593273,17.9437,0.0558,False,cyan,AB,1,cyan,5182.42
58792.5,17.84,0.03,False,r,AB,1,r,6141.12
58792.54,17.77,0.07,False,g,AB,1,g,4793.46
58792.54,17.76,0.03,False,g,AB,1,g,4793.46
58792.607095,17.98,0.0695,False,orange,AB,1,orange,6629.82
58794.618442,17.7657,0.0438,False,cyan,AB,1,cyan,5182.42
58796.539528,17.6673,0.0885,False,orange,AB,1,orange,6629.82
58797.44,17.36,0.09,False,r,AB,1,r,6141.12
58798.545345,17.779,0.0836,False,orange,AB,1,orange,6629.82
58799.48,17.5,0.03,False,r,AB,1,r,6141.12
58800.12256,17.5043,0.02,False,G,AB,1,G,5850.88
