mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58758.527673,19.7218,,True,r,AB,0,r,6141.12
58761.506828,20.0557,,True,r,AB,0,r,6141.12
58764.492592,20.1988,,True,r,AB,0,r,6141.12
58764.516076,20.3981,,True,g,AB,0,g,4671.78
58767.490451,19.9065,,True,g,AB,0,g,4671.78
58770.493252,19.3511,,True,r,AB,0,r,6141.12
58770.53559,19.2117,,True,g,AB,0,g,4671.78
58774.587184,19.8105,,True,orange,AB,0,orange,6629.82
58776.506608,19.5579,,True,r,AB,0,r,6141.12
58776.538564,19.25,,True,g,AB,0,g,4671.78
58779.508842,20.041,,True,g,AB,0,g,4671.78
58785.5139,20.3279,,True,r,AB,0,r,6141.12
58788.515729,19.8534,0.1719,False,g,AB,1,g,4671.78
58788.533912,20.2665,,True,r,AB,0,r,6141.12
58790.550125,19.3708,,True,orange,AB,0,orange,6629.82
58791.513576,19.9652,0.2011,False,r,AB,1,r,6141.12
58792.564337,19.9685,0.1532,False,cyan,AB,1,cyan,5182.42
58794.534953,19.6539,0.1064,False,r,AB,1,r,6141.12
58796.619985,19.5397,0.069,False,cyan,AB,1,cyan,5182.42
58798.541863,19.3807,0.1523,False,r,AB,1,r,6141.12
58798.57672,19.2021,,True,orange,AB,0,orange,6629.82
58800.515695,19.2707,0.1981,False,orange,AB,1,orange,6629.82
58801.530555,17.3462,,True,r,AB,0,r,6141.12
58802.614455,19.6953,0.294,False,orange,AB,1,orange,6629.82
58804.478831,19.5653,0.3417,False,g,AB,1,g,4671.78
58804.486446,19.3029,,True,g,AB,0,g,4671.78
58804.53125,19.6438,0.0958,False,g,AB,1,g,4671.78
58804.535156,19.5224,0.0868,False,r,AB,1,r,6141.12
58804.539062,19.6433,0.1338,False,i,AB,1,i,7457.89
58804.551018,19.5146,,True,r,AB,0,r,6141.12
58804.638412,19.2331,0.2441,False,orange,AB,1,orange,6629.82
58814.50809,19.5933,0.1543,False,g,AB,1,g,4671.78
58814.583104,19.4368,0.2016,False,orange,AB,1,orange,6629.82
58816.5284,19.5728,0.1031,False,cyan,AB,1,cyan,5182.42
58820.555127,15.9344,,True,g,AB,0,g,4671.78
58822.498979,19.3905,0.2064,False,orange,AB,1,orange,6629.82
58823.512951,17.6372,,True,g,AB,0,g,4671.78
58824.602381,19.4233,0.1832,False,orange,AB,1,orange,6629.82
58826.567748,19.3859,0.1989,False,orange,AB,1,orange,6629.82
58828.429097,19.4576,0.1669,False,r,AB,1,r,6141.12
58828.568383,19.258,,True,orange,AB,0,orange,6629.82
58829.480468,19.9099,0.0942,False,g,AB,1,g,4671.78
58829.484375,19.5526,0.0551,False,r,AB,1,r,6141.12
58829.488281,19.4829,0.0712,False,i,AB,1,i,7457.89
58831.452719,19.652,0.2519,False,r,AB,1,r,6141.12
58832.476562,19.977,0.0988,False,g,AB,1,g,4671.78
58832.480468,21.1812,,True,r,AB,0,r,6141.12
58832.484375,19.5339,0.0781,False,i,AB,1,i,7457.89
58833.452407,19.4823,0.1714,False,r,AB,1,r,6141.12
58835.476307,19.9317,0.3686,False,r,AB,1,r,6141.12
58836.557875,19.6019,0.2401,False,orange,AB,1,orange,6629.82
58838.471423,18.9094,,True,g,AB,0,g,4671.78
58838.498406,19.1076,,True,orange,AB,0,orange,6629.82
58838.512326,19.7539,0.2359,False,r,AB,1,r,6141.12
58846.429826,19.7228,0.1256,False,r,AB,1,r,6141.12
58846.46802,19.8342,0.153,False,r,AB,1,r,6141.12
58846.507592,20.2226,0.1472,False,g,AB,1,g,4671.78
58846.541997,19.1009,,True,orange,AB,0,orange,6629.82
58849.440902,19.6724,0.1146,False,r,AB,1,r,6141.12
58849.491469,20.2809,0.1608,False,g,AB,1,g,4671.78
58850.498305,20.0623,0.3562,False,orange,AB,1,orange,6629.82
58851.456215,19.8251,0.1419,False,r,AB,1,r,6141.12
58852.453495,20.0367,0.132,False,r,AB,1,r,6141.12
58852.513032,20.3646,0.2151,False,g,AB,1,g,4671.78
58853.514548,20.3504,0.1959,False,g,AB,1,g,4671.78
58854.538865,19.8546,,True,g,AB,0,g,4671.78
58855.517442,20.5708,0.2582,False,g,AB,1,g,4671.78
58855.534016,19.907,0.1909,False,r,AB,1,r,6141.12
58859.287604,19.2257,,True,r,AB,0,r,6141.12
58860.304375,19.0953,,True,r,AB,0,r,6141.12
58860.360046,19.3084,,True,r,AB,0,r,6141.12
58864.322152,20.1715,0.2102,False,r,AB,1,r,6141.12
58864.424213,20.4184,,True,g,AB,0,g,4671.78
58866.517002,19.9405,0.14,False,i,AB,1,i,7457.89
58866.532104,20.0074,0.3489,False,orange,AB,1,orange,6629.82
58867.369282,20.1499,0.197,False,r,AB,1,r,6141.12
58867.405416,20.4459,,True,g,AB,0,g,4671.78
58868.534106,20.2692,0.1584,False,cyan,AB,1,cyan,5182.42
58870.477974,19.4737,,True,orange,AB,0,orange,6629.82
58871.317071,20.2798,0.173,False,r,AB,1,r,6141.12
58871.327789,20.1395,0.2212,False,r,AB,1,r,6141.12
58871.413252,20.5464,0.2566,False,g,AB,1,g,4671.78
58871.41596,20.5191,0.2572,False,g,AB,1,g,4671.78
58872.265625,20.6818,0.0756,False,g,AB,1,g,4671.78
58872.269531,20.2801,0.0543,False,r,AB,1,r,6141.12
58872.273437,19.9248,0.0815,False,i,AB,1,i,7457.89
58872.477513,20.6453,0.2587,False,cyan,AB,1,cyan,5182.42
58872.496093,22.7169,,True,g,AB,0,g,4671.78
58872.5,20.2735,0.059,False,r,AB,1,r,6141.12
58872.503906,20.0912,0.0855,False,i,AB,1,i,7457.89
58873.304571,20.2088,0.1803,False,r,AB,1,r,6141.12
58873.35184,20.7388,0.2653,False,g,AB,1,g,4671.78
58874.30287,20.2347,0.1667,False,r,AB,1,r,6141.12
