mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59125.62721,19.4565,,True,orange,AB,0,orange,6629.82
59127.626301,19.372,,True,orange,AB,0,orange,6629.82
59136.505925,20.2037,,True,r,AB,0,r,6141.12
59139.506053,19.9794,,True,r,AB,0,r,6141.12
59141.47309,20.1602,,True,g,AB,0,g,4677.22
59141.511319,20.2522,,True,r,AB,0,r,6141.12
59141.617983,19.6846,,True,orange,AB,0,orange,6629.82
59143.488206,20.7332,0.2946,False,r,AB,1,r,6141.12
59143.519919,20.5294,,True,g,AB,0,g,4677.22
59145.477187,20.3936,,True,g,AB,0,g,4677.22
59145.508009,20.7594,0.3654,False,r,AB,1,r,6141.12
59149.503946,20.1233,,True,g,AB,0,g,4677.22
59150.434259,19.11,,True,g,AB,0,g,4677.22
59150.528518,20.4652,0.2998,False,r,AB,1,r,6141.12
59151.451967,19.1002,,True,r,AB,0,r,6141.12
59151.476504,19.2897,,True,g,AB,0,g,4677.22
59152.483796,19.5579,,True,r,AB,0,r,6141.12
59152.539282,19.8911,,True,g,AB,0,g,4677.22
59153.631642,19.2168,,True,orange,AB,0,orange,6629.82
59155.497199,19.9166,,True,r,AB,0,r,6141.12
59155.508472,19.6109,,True,g,AB,0,g,4677.22
59156.486666,19.4782,,True,g,AB,0,g,4677.22
59156.537361,19.9304,,True,r,AB,0,r,6141.12
59157.588179,19.4844,,True,orange,AB,0,orange,6629.82
59158.485694,19.4011,,True,g,AB,0,g,4677.22
59158.538472,17.54,,True,r,AB,0,r,6141.12
59165.496319,19.6715,0.1669,False,r,AB,1,r,6141.12
59165.523055,19.8591,0.1421,False,g,AB,1,g,4677.22
59168.485509,19.7999,0.2071,False,g,AB,1,g,4677.22
59168.524965,19.4841,0.1634,False,r,AB,1,r,6141.12
59169.609004,19.584,0.03,False,w,AB,1,w,5980.7
59170.481932,19.8115,0.1624,False,g,AB,1,g,4677.22
59170.527129,19.4749,0.1359,False,r,AB,1,r,6141.12
59174.550069,19.4734,0.2461,False,r,AB,1,r,6141.12
59176.50243,19.7502,0.144,False,g,AB,1,g,4677.22
59176.541469,19.4744,0.1186,False,r,AB,1,r,6141.12
59179.482824,19.7891,0.1849,False,g,AB,1,g,4677.22
59179.615383,19.7444,0.2635,False,orange,AB,1,orange,6629.82
59181.483935,19.4776,0.174,False,r,AB,1,r,6141.12
59181.523252,19.8205,0.2197,False,g,AB,1,g,4677.22
59182.52641,19.6367,0.3013,False,orange,AB,1,orange,6629.82
59183.503576,16.9773,,True,r,AB,0,r,6141.12
59183.527707,19.4265,0.3216,False,orange,AB,1,orange,6629.82
59185.471319,19.4631,0.1686,False,r,AB,1,r,6141.12
59185.485729,19.6908,0.272,False,g,AB,1,g,4677.22
59185.546986,19.9134,0.3433,False,orange,AB,1,orange,6629.82
59187.477395,19.5424,0.307,False,r,AB,1,r,6141.12
59191.54515,19.5023,0.2228,False,orange,AB,1,orange,6629.82
59192.486944,16.0965,,True,r,AB,0,r,6141.12
59192.541249,19.3811,0.3214,False,g,AB,1,g,4677.22
59193.577174,19.8186,0.2464,False,orange,AB,1,orange,6629.82
59194.441944,19.6016,0.1487,False,g,AB,1,g,4677.22
