mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58799.54,19.95,,True,r,AB,0,r,6366.38
58799.54,20.02,,True,r,AB,0,r,6366.38
58799.55,19.83,,True,r,AB,0,r,6366.38
58799.55,19.92,,True,r,AB,0,r,6366.38
58800.53,19.93,,True,r,AB,0,r,6366.38
58801.54,18.94,,True,r,AB,0,r,6366.38
58803.54,20.31,,True,r,AB,0,r,6366.38
58803.54,20.37,,True,r,AB,0,r,6366.38
58803.55,20.22,,True,r,AB,0,r,6366.38
58803.55,20.26,,True,r,AB,0,r,6366.38
58803.55,20.26,,True,r,AB,0,r,6366.38
58803.55,20.29,,True,r,AB,0,r,6366.38
58803.56,20.11,,True,r,AB,0,r,6366.38
58803.56,20.17,,True,r,AB,0,r,6366.38
58805.54,20.22,,True,g,AB,0,g,4746.48
58805.54,20.36,,True,r,AB,0,r,6366.38
58805.54,20.46,,True,r,AB,0,r,6366.38
58805.55,19.78,,True,r,AB,0,r,6366.38
58805.55,19.81,,True,r,AB,0,r,6366.38
58805.55,20.08,,True,r,AB,0,r,6366.38
58811.55,20.66,,True,r,AB,0,r,6366.38
58811.56,20.39,,True,r,AB,0,r,6366.38
58811.56,20.71,,True,r,AB,0,r,6366.38
58813.644619,19.879,,True,orange,AB,0,orange,6629.82
58815.646926,19.9528,,True,cyan,AB,0,cyan,5182.42
58821.617548,20.0032,,True,orange,AB,0,orange,6629.82
58827.650216,19.7774,,True,orange,AB,0,orange,6629.82
58828.55,19.86,,True,g,AB,0,g,4746.48
58828.57,20.73,,True,r,AB,0,r,6366.38
58829.586267,19.7125,,True,orange,AB,0,orange,6629.82
58830.57,20.54,,True,g,AB,0,g,4746.48
58833.49,19.94,,True,r,AB,0,r,6366.38
58833.653271,19.7622,,True,orange,AB,0,orange,6629.82
58835.55,20.59,,True,g,AB,0,g,4746.48
58837.56004,19.8306,,True,orange,AB,0,orange,6629.82
58838.48,19.0,,True,g,AB,0,g,4746.48
58838.5,19.66,,True,g,AB,0,g,4746.48
58838.55,19.0,,True,r,AB,0,r,6366.38
58838.55,19.08,,True,r,AB,0,r,6366.38
58841.614539,19.955,,True,orange,AB,0,orange,6629.82
58845.545546,19.8703,,True,orange,AB,0,orange,6629.82
58846.55,21.5,,True,g,AB,0,g,4746.48
58846.55,21.61,,True,g,AB,0,g,4746.48
58846.57,21.06,,True,r,AB,0,r,6366.38
58846.57,21.25,,True,r,AB,0,r,6366.38
58850.49,21.0,,True,r,AB,0,r,6366.38
58850.52,20.96,,True,r,AB,0,r,6366.38
58850.54,21.31,,True,g,AB,0,g,4746.48
58850.54,21.35,,True,g,AB,0,g,4746.48
58850.56,21.14,,True,g,AB,0,g,4746.48
58850.58,20.55,,True,g,AB,0,g,4746.48
58853.52,21.51,,True,g,AB,0,g,4746.48
