mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58800.43,20.54,,True,r,AB,0,r,6141.12
58800.43,20.56,,True,r,AB,0,r,6141.12
58800.44,20.78,,True,r,AB,0,r,6141.12
58801.42,19.77,,True,r,AB,0,r,6141.12
58801.42,19.78,,True,r,AB,0,r,6141.12
58802.54,20.56,,True,g,AB,0,g,4671.78
58806.47,20.87,,True,g,AB,0,g,4671.78
58806.49,20.81,,True,r,AB,0,r,6141.12
58812.43,21.58,,True,g,AB,0,g,4671.78
58823.44,19.56,,True,g,AB,0,g,4671.78
58827.31,20.25,,True,r,AB,0,r,6141.12
58827.31,20.36,,True,r,AB,0,r,6141.12
58827.31,20.4,,True,r,AB,0,r,6141.12
58827.42,20.77,,True,r,AB,0,r,6141.12
58828.31,20.62,,True,r,AB,0,r,6141.12
58828.31,20.49,,True,r,AB,0,r,6141.12
58828.31,20.62,,True,r,AB,0,r,6141.12
58833.4,20.49,,True,r,AB,0,r,6141.12
58833.41,20.4,,True,r,AB,0,r,6141.12
58833.42,20.19,,True,r,AB,0,r,6141.12
58833.44,20.38,,True,r,AB,0,r,6141.12
58833.44,20.45,,True,r,AB,0,r,6141.12
58833.52,19.7,,True,g,AB,0,g,4671.78
58833.52,20.05,,True,g,AB,0,g,4671.78
58835.52,20.85,,True,g,AB,0,g,4671.78
58836.5,21.38,,True,r,AB,0,r,6141.12
58836.5,21.38,,True,r,AB,0,r,6141.12
58837.49,20.97,,True,g,AB,0,g,4671.78
58837.538834,20.0468,,True,orange,AB,0,orange,6629.82
58838.44,20.43,,True,g,AB,0,g,4671.78
58841.524366,20.0952,,True,orange,AB,0,orange,6629.82
58845.458103,20.1349,,True,orange,AB,0,orange,6629.82
58846.29,21.31,,True,r,AB,0,r,6141.12
58846.472227,20.1343,,True,orange,AB,0,orange,6629.82
58846.48,21.3,,True,g,AB,0,g,4671.78
58849.47,21.28,,True,g,AB,0,g,4671.78
58849.534261,20.083,,True,orange,AB,0,orange,6629.82
58850.457814,19.9429,,True,orange,AB,0,orange,6629.82
58850.47,20.96,,True,r,AB,0,r,6141.12
58851.47,21.36,,True,r,AB,0,r,6141.12
58852.43,21.66,,True,r,AB,0,r,6141.12
58852.46,21.63,,True,g,AB,0,g,4671.78
58853.43,21.59,,True,r,AB,0,r,6141.12
58853.46,21.63,,True,g,AB,0,g,4671.78
58854.47,20.58,,True,r,AB,0,r,6141.12
58855.31,20.74,,True,r,AB,0,r,6141.12
58855.34,20.69,,True,r,AB,0,r,6141.12
58855.46,20.94,,True,g,AB,0,g,4671.78
58856.3,20.91,,True,r,AB,0,r,6141.12
58860.27,19.98,,True,r,AB,0,r,6141.12
58860.27,20.02,,True,r,AB,0,r,6141.12
58861.33,20.11,,True,r,AB,0,r,6141.12
58861.35,20.27,,True,g,AB,0,g,4671.78
58862.3,20.87,,True,r,AB,0,r,6141.12
58862.3,20.97,,True,r,AB,0,r,6141.12
58862.32,21.01,,True,r,AB,0,r,6141.12
58862.32,21.03,,True,r,AB,0,r,6141.12
58862.43,20.13,,True,g,AB,0,g,4671.78
58863.35,21.05,,True,r,AB,0,r,6141.12
58864.21,21.7,,True,g,AB,0,g,4671.78
58864.23,21.56,,True,r,AB,0,r,6141.12
58866.34,21.36,,True,r,AB,0,r,6141.12
58867.39,21.48,,True,g,AB,0,g,4671.78
58867.50808,20.4284,,True,cyan,AB,0,cyan,5182.42
58868.401874,20.3376,,True,cyan,AB,0,cyan,5182.42
58869.423165,19.9489,,True,orange,AB,0,orange,6629.82
58871.26,21.26,,True,r,AB,0,r,6141.12
58871.26,21.28,,True,r,AB,0,r,6141.12
58871.26,21.48,,True,r,AB,0,r,6141.12
58871.374121,20.2517,,True,cyan,AB,0,cyan,5182.42
58873.21,21.48,,True,r,AB,0,r,6141.12
58873.21,21.58,,True,r,AB,0,r,6141.12
58873.23,21.59,,True,r,AB,0,r,6141.12
58873.448081,19.8748,,True,orange,AB,0,orange,6629.82
58874.25,20.64,,True,r,AB,0,r,6141.12
58874.25,20.82,,True,r,AB,0,r,6141.12
58874.27,21.75,,True,r,AB,0,r,6141.12
58875.469817,20.4483,,True,cyan,AB,0,cyan,5182.42
58876.22,21.31,,True,g,AB,0,g,4671.78
58876.22,21.38,,True,g,AB,0,g,4671.78
58876.23,21.63,,True,g,AB,0,g,4671.78
58876.26,21.7,,True,r,AB,0,r,6141.12
58876.510198,20.0849,,True,cyan,AB,0,cyan,5182.42
58877.25,21.34,,True,g,AB,0,g,4671.78
58877.28,21.16,,True,r,AB,0,r,6141.12
58877.398836,19.9267,,True,orange,AB,0,orange,6629.82
58878.24,20.84,,True,g,AB,0,g,4671.78
58878.31,21.14,,True,r,AB,0,r,6141.12
58879.17,20.97,,True,g,AB,0,g,4671.78
58879.17,21.03,,True,g,AB,0,g,4671.78
58879.19,20.9,,True,g,AB,0,g,4671.78
58879.24,21.0,,True,g,AB,0,g,4671.78
58879.31,20.83,,True,r,AB,0,r,6141.12
58880.21,21.25,,True,r,AB,0,r,6141.12
58880.26,21.36,,True,g,AB,0,g,4671.78
58880.413258,19.9087,,True,orange,AB,0,orange,6629.82
58881.2,20.9,,True,g,AB,0,g,4671.78
58881.2,21.01,,True,g,AB,0,g,4671.78
58881.2,21.03,,True,g,AB,0,g,4671.78
58881.24,21.13,,True,g,AB,0,g,4671.78
58881.26,21.3,,True,r,AB,0,r,6141.12
58881.29,21.42,,True,r,AB,0,r,6141.12
58881.386056,19.9149,,True,orange,AB,0,orange,6629.82
58882.17,20.7,,True,r,AB,0,r,6141.12
58883.25,20.57,,True,r,AB,0,r,6141.12
58883.420266,19.9034,,True,orange,AB,0,orange,6629.82
58884.18,20.14,,True,r,AB,0,r,6141.12
58884.22,20.43,,True,r,AB,0,r,6141.12
58884.27,20.36,,True,g,AB,0,g,4671.78
58884.458986,19.9309,,True,orange,AB,0,orange,6629.82
58885.21,19.84,,True,r,AB,0,r,6141.12
58885.27,19.99,,True,g,AB,0,g,4671.78
58888.26,19.87,,True,g,AB,0,g,4671.78
58890.16,20.22,,True,r,AB,0,r,6141.12
58890.31,20.3,,True,g,AB,0,g,4671.78
58890.31,20.32,,True,g,AB,0,g,4671.78
58890.31,20.38,,True,g,AB,0,g,4671.78
58890.31,20.46,,True,g,AB,0,g,4671.78
58891.2,21.37,,True,g,AB,0,g,4671.78
58891.26,21.24,,True,r,AB,0,r,6141.12
58892.26,20.87,0.24,False,r,AB,1,r,6141.12
58893.2,20.76,0.16,False,g,AB,1,g,4671.78
58893.27,20.96,0.22,False,r,AB,1,r,6141.12
58894.2,21.49,,True,g,AB,0,g,4671.78
58894.22,20.82,0.19,False,r,AB,1,r,6141.12
58894.388952,19.7,,True,orange,AB,0,orange,6629.82
58895.23,20.72,0.17,False,g,AB,1,g,4671.78
58895.27,20.94,0.22,False,r,AB,1,r,6141.12
58896.22,20.58,0.13,False,g,AB,1,g,4671.78
58896.26,20.49,0.15,False,r,AB,1,r,6141.12
58898.23,20.34,0.1,False,g,AB,1,g,4671.78
58898.24,20.33,0.1,False,g,AB,1,g,4671.78
58898.24,20.33,0.1,False,g,AB,1,g,4671.78
58898.3,20.31,0.11,False,r,AB,1,r,6141.12
58898.3,20.55,0.19,False,r,AB,1,r,6141.12
58899.22,20.36,0.1,False,g,AB,1,g,4671.78
58899.24,20.31,0.12,False,r,AB,1,r,6141.12
58899.31,20.52,0.14,False,r,AB,1,r,6141.12
58900.17,20.76,,True,r,AB,0,r,6141.12
58900.19,19.51,,True,r,AB,0,r,6141.12
58900.28,19.97,0.09,False,g,AB,1,g,4671.78
58900.3,20.22,0.11,False,g,AB,1,g,4671.78
58900.3,20.23,0.13,False,g,AB,1,g,4671.78
58900.3,20.38,0.15,False,g,AB,1,g,4671.78
58902.38059,19.4858,,True,orange,AB,0,orange,6629.82
58903.18,20.0,0.1,False,r,AB,1,r,6141.12
58903.21,19.96,0.09,False,r,AB,1,r,6141.12
58903.22,20.06,0.1,False,r,AB,1,r,6141.12
58903.27,19.89,0.07,False,g,AB,1,g,4671.78
58903.364908,19.8905,0.2876,False,cyan,AB,1,cyan,5182.42
58904.16,19.96,0.09,False,g,AB,1,g,4671.78
58904.16,19.7,0.07,False,g,AB,1,g,4671.78
58904.16,19.84,0.08,False,g,AB,1,g,4671.78
58904.19,19.96,0.1,False,r,AB,1,r,6141.12
58904.27,19.72,0.07,False,g,AB,1,g,4671.78
58905.16,19.75,0.12,False,g,AB,1,g,4671.78
58905.19,20.05,0.17,False,r,AB,1,r,6141.12
58905.452263,19.9402,0.321,False,orange,AB,1,orange,6629.82
58906.22,19.72,0.1,False,r,AB,1,r,6141.12
58906.22,19.92,0.13,False,r,AB,1,r,6141.12
58906.26,19.6,0.08,False,g,AB,1,g,4671.78
58906.26,19.7,0.09,False,g,AB,1,g,4671.78
58909.12,19.87,,True,r,AB,0,r,6141.12
58909.15,19.52,,True,r,AB,0,r,6141.12
58909.23,19.64,0.26,False,g,AB,1,g,4671.78
58911.318066,19.5062,0.2289,False,orange,AB,1,orange,6629.82
58912.15,19.14,0.08,False,g,AB,1,g,4671.78
58912.16,19.29,0.09,False,g,AB,1,g,4671.78
58912.19,19.42,0.09,False,r,AB,1,r,6141.12
58912.21,19.33,0.08,False,r,AB,1,r,6141.12
58913.19,19.2,0.13,False,r,AB,1,r,6141.12
58913.26,19.15,0.1,False,g,AB,1,g,4671.78
58917.22,19.14,0.25,False,g,AB,1,g,4671.78
58917.413501,19.4045,0.3028,False,orange,AB,1,orange,6629.82
58918.391702,19.5375,0.2669,False,orange,AB,1,orange,6629.82
58919.318161,19.1761,0.1995,False,orange,AB,1,orange,6629.82
58920.354991,19.3312,0.2299,False,orange,AB,1,orange,6629.82
58932.296,18.7497,0.03,False,w,AB,1,w,5980.7
58932.390714,18.824,0.0875,False,cyan,AB,1,cyan,5182.42
58933.34042,18.911,0.1258,False,orange,AB,1,orange,6629.82
58937.36783,18.9058,0.1511,False,orange,AB,1,orange,6629.82
58938.17,18.85,0.04,False,r,AB,1,r,6141.12
58939.17,18.75,0.04,False,r,AB,1,r,6141.12
58939.28,18.49,0.09,False,g,AB,1,g,4671.78
58940.16,18.73,0.23,False,g,AB,1,g,4671.78
58940.19,18.54,0.06,False,g,AB,1,g,4671.78
58940.19,18.57,0.04,False,g,AB,1,g,4671.78
58940.19,18.62,0.04,False,g,AB,1,g,4671.78
58940.2,18.47,0.15,False,r,AB,1,r,6141.12
58940.2,18.55,0.15,False,r,AB,1,r,6141.12
58944.18,18.65,0.07,False,r,AB,1,r,6141.12
58944.18,18.68,0.07,False,r,AB,1,r,6141.12
58945.87,18.55,0.07,False,g,AB,1,g,4671.78
58945.88,18.67,0.09,False,r,AB,1,r,6141.12
58945.88,18.88,0.09,False,i,AB,1,i,7589.41
58945.88,19.14,0.13,False,z,AB,1,z,8970.57
