mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58900.27,21.52,,True,r,AB,0,r,6366.38
58900.32,21.31,,True,g,AB,0,g,4746.48
58901.433773,19.9306,,True,orange,AB,0,orange,6629.82
58903.3,21.74,,True,g,AB,0,g,4746.48
58903.32,21.74,,True,g,AB,0,g,4746.48
58903.32,21.79,,True,g,AB,0,g,4746.48
58903.39,21.73,,True,r,AB,0,r,6366.38
58903.423379,20.5646,,True,cyan,AB,0,cyan,5182.42
58904.25,21.4,,True,r,AB,0,r,6366.38
58904.28,21.48,,True,g,AB,0,g,4746.48
58904.29,21.52,,True,g,AB,0,g,4746.48
58904.33,21.08,,True,i,AB,0,i,7829.03
58905.24,21.13,,True,r,AB,0,r,6366.38
58905.27,21.27,,True,g,AB,0,g,4746.48
58905.476262,20.2328,,True,orange,AB,0,orange,6629.82
58906.25,20.9,,True,r,AB,0,r,6366.38
58906.31,21.39,,True,g,AB,0,g,4746.48
58906.33604,19.4655,,True,orange,AB,0,orange,6629.82
58908.31,20.47,,True,g,AB,0,g,4746.48
58909.28,21.09,,True,g,AB,0,g,4746.48
58909.32,21.48,,True,r,AB,0,r,6366.38
58911.22,20.44,,True,r,AB,0,r,6366.38
58911.4,21.28,,True,g,AB,0,g,4746.48
58911.455997,19.7508,,True,orange,AB,0,orange,6629.82
58912.29,20.98,,True,g,AB,0,g,4746.48
58912.4,21.19,,True,r,AB,0,r,6366.38
58913.24,20.81,,True,r,AB,0,r,6366.38
58913.28,20.88,,True,g,AB,0,g,4746.48
58913.455161,20.1252,,True,orange,AB,0,orange,6629.82
58914.23,19.44,,True,g,AB,0,g,4746.48
58915.21,20.26,,True,g,AB,0,g,4746.48
58915.37,20.63,,True,r,AB,0,r,6366.38
58919.431415,19.0385,,True,orange,AB,0,orange,6629.82
58925.48834,19.7415,,True,orange,AB,0,orange,6629.82
58931.462953,20.5418,,True,cyan,AB,0,cyan,5182.42
58933.390343,19.9605,,True,orange,AB,0,orange,6629.82
58937.496079,19.693,,True,orange,AB,0,orange,6629.82
58939.21,21.35,,True,r,AB,0,r,6366.38
58939.21,21.42,,True,r,AB,0,r,6366.38
58939.22,21.17,,True,r,AB,0,r,6366.38
58939.32,20.88,,True,g,AB,0,g,4746.48
58941.25,20.86,,True,g,AB,0,g,4746.48
58941.381411,19.0117,,True,orange,AB,0,orange,6629.82
58947.479219,19.1696,,True,orange,AB,0,orange,6629.82
58948.358281,19.6044,,True,orange,AB,0,orange,6629.82
58953.411856,19.5736,,True,orange,AB,0,orange,6629.82
58954.23,21.24,0.26,False,r,AB,1,r,6366.38
58954.28,21.41,,True,g,AB,0,g,4746.48
58957.329863,19.539,,True,orange,AB,0,orange,6629.82
58959.324109,20.116,,True,cyan,AB,0,cyan,5182.42
58961.432613,19.6198,,True,orange,AB,0,orange,6629.82
58962.25,20.65,0.15,False,g,AB,1,g,4746.48
58962.27,20.24,0.11,False,r,AB,1,r,6366.38
58964.21,20.4,0.12,False,g,AB,1,g,4746.48
58964.21,20.46,0.12,False,g,AB,1,g,4746.48
58964.21,20.53,0.15,False,g,AB,1,g,4746.48
58965.24,20.32,0.11,False,g,AB,1,g,4746.48
58965.340755,19.5388,,True,orange,AB,0,orange,6629.82
58967.24,20.25,0.13,False,g,AB,1,g,4746.48
58967.24,20.35,0.14,False,g,AB,1,g,4746.48
58967.24,20.04,0.11,False,g,AB,1,g,4746.48
58967.337552,19.5701,,True,orange,AB,0,orange,6629.82
58968.23,20.03,0.1,False,g,AB,1,g,4746.48
58968.27,19.96,0.1,False,g,AB,1,g,4746.48
58968.27,20.16,0.1,False,g,AB,1,g,4746.48
58969.329132,19.4993,,True,orange,AB,0,orange,6629.82
58971.27,20.06,0.24,False,g,AB,1,g,4746.48
58971.27,20.12,0.24,False,g,AB,1,g,4746.48
58973.17,20.47,,True,r,AB,0,r,6366.38
58973.25,20.14,0.26,False,g,AB,1,g,4746.48
58973.25,19.79,0.19,False,g,AB,1,g,4746.48
58973.25,19.98,0.24,False,g,AB,1,g,4746.48
58975.305408,19.0969,,True,orange,AB,0,orange,6629.82
58976.19,19.77,0.17,False,g,AB,1,g,4746.48
58976.25,19.83,0.17,False,r,AB,1,r,6366.38
58977.375626,19.3672,,True,orange,AB,0,orange,6629.82
58979.23,19.78,0.07,False,g,AB,1,g,4746.48
58979.371356,20.0048,0.3263,False,orange,AB,1,orange,6629.82
58981.330814,19.8803,0.3034,False,orange,AB,1,orange,6629.82
58983.312178,20.0408,0.2185,False,cyan,AB,1,cyan,5182.42
58985.19,19.81,0.07,False,g,AB,1,g,4746.48
58985.21,19.87,0.09,False,r,AB,1,r,6366.38
58985.327872,20.0707,0.3271,False,orange,AB,1,orange,6629.82
58986.21,19.74,0.06,False,g,AB,1,g,4746.48
58986.21,19.78,0.07,False,g,AB,1,g,4746.48
58987.348409,20.0674,0.251,False,cyan,AB,1,cyan,5182.42
58989.299328,20.0573,0.3508,False,orange,AB,1,orange,6629.82
58991.17,19.66,0.07,False,g,AB,1,g,4746.48
58991.284676,19.8648,0.2107,False,cyan,AB,1,cyan,5182.42
58993.352178,20.1009,0.3184,False,orange,AB,1,orange,6629.82
58995.19,19.63,0.06,False,g,AB,1,g,4746.48
58995.19,19.72,0.06,False,g,AB,1,g,4746.48
58995.23,19.73,0.08,False,r,AB,1,r,6366.38
58995.344582,20.1169,0.2965,False,cyan,AB,1,cyan,5182.42
58997.275327,19.4386,,True,orange,AB,0,orange,6629.82
58999.259717,19.6645,0.2852,False,orange,AB,1,orange,6629.82
59001.23,20.04,0.26,False,r,AB,1,r,6366.38
59001.340245,19.6251,0.2739,False,orange,AB,1,orange,6629.82
59004.25,19.77,0.18,False,r,AB,1,r,6366.38
59005.263641,19.5392,0.2382,False,orange,AB,1,orange,6629.82
59007.267258,19.9144,0.3549,False,orange,AB,1,orange,6629.82
59008.297553,19.59,,True,cyan,AB,0,cyan,5182.42
59009.323843,19.4266,0.2451,False,orange,AB,1,orange,6629.82
59011.24,20.0,0.15,False,r,AB,1,r,6366.38
59013.287292,19.9625,0.2732,False,orange,AB,1,orange,6629.82
59014.2,19.61,0.07,False,g,AB,1,g,4746.48
59014.22,19.82,0.11,False,r,AB,1,r,6366.38
59017.265478,19.9124,0.2807,False,orange,AB,1,orange,6629.82
59018.23,20.0,0.15,False,r,AB,1,r,6366.38
59021.22,19.62,0.08,False,g,AB,1,g,4746.48
59021.24,19.91,0.14,False,r,AB,1,r,6366.38
59024.22,19.86,0.22,False,r,AB,1,r,6366.38
59033.261235,19.6077,0.2087,False,orange,AB,1,orange,6629.82
59038.17,19.85,0.16,False,r,AB,1,r,6366.38
59038.18,19.93,0.17,False,r,AB,1,r,6366.38
59038.18,20.04,0.16,False,r,AB,1,r,6366.38
59038.19,20.12,0.18,False,r,AB,1,r,6366.38
59040.18,20.21,0.26,False,r,AB,1,r,6366.38
59040.19,19.48,,True,r,AB,0,r,6366.38
59040.19,20.47,,True,r,AB,0,r,6366.38
59041.264426,19.5139,,True,orange,AB,0,orange,6629.82
59042.18,20.23,0.23,False,r,AB,1,r,6366.38
59042.18,20.32,0.26,False,r,AB,1,r,6366.38
59042.18,20.57,,True,r,AB,0,r,6366.38
59042.19,19.87,0.19,False,r,AB,1,r,6366.38
59043.282047,19.4276,,True,cyan,AB,0,cyan,5182.42
59044.17,20.01,0.24,False,r,AB,1,r,6366.38
59044.18,20.25,0.26,False,r,AB,1,r,6366.38
59044.18,20.62,,True,r,AB,0,r,6366.38
59044.19,20.23,0.25,False,r,AB,1,r,6366.38
59046.17,20.07,0.25,False,r,AB,1,r,6366.38
59046.17,20.1,,True,r,AB,0,r,6366.38
59046.18,19.89,0.2,False,r,AB,1,r,6366.38
59046.18,20.07,0.24,False,r,AB,1,r,6366.38
59048.17,20.17,,True,r,AB,0,r,6366.38
59048.17,20.2,0.27,False,r,AB,1,r,6366.38
59048.18,19.81,0.16,False,r,AB,1,r,6366.38
59048.18,20.05,0.18,False,r,AB,1,r,6366.38
59050.17,19.74,,True,r,AB,0,r,6366.38
59050.17,20.03,,True,r,AB,0,r,6366.38
59050.18,19.88,0.26,False,r,AB,1,r,6366.38
59050.18,20.41,,True,r,AB,0,r,6366.38
59129.51,20.72,,True,r,AB,0,r,6366.38
59129.52,20.64,,True,r,AB,0,r,6366.38
59129.52,20.77,,True,r,AB,0,r,6366.38
59129.53,20.41,,True,r,AB,0,r,6366.38
59129.53,20.56,,True,r,AB,0,r,6366.38
59131.52,19.51,,True,r,AB,0,r,6366.38
59131.52,20.24,,True,r,AB,0,r,6366.38
59131.53,20.18,,True,r,AB,0,r,6366.38
59131.53,20.36,,True,r,AB,0,r,6366.38
59131.535156,20.1113,,True,r,AB,0,r,6366.38
59131.54,20.07,,True,r,AB,0,r,6366.38
59135.52,20.98,,True,r,AB,0,r,6366.38
59135.53,20.57,,True,r,AB,0,r,6366.38
59135.53,20.76,,True,r,AB,0,r,6366.38
59135.53125,21.0682,0.1867,False,r,AB,1,r,6366.38
59135.54,20.1,,True,r,AB,0,r,6366.38
59137.53,20.68,,True,r,AB,0,r,6366.38
59137.53,20.99,,True,r,AB,0,r,6366.38
59137.53125,20.8846,0.1476,False,r,AB,1,r,6366.38
59137.54,20.19,,True,r,AB,0,r,6366.38
59139.52,20.87,,True,r,AB,0,r,6366.38
59139.527343,21.1932,0.1548,False,r,AB,1,r,6366.38
59139.53,20.75,,True,r,AB,0,r,6366.38
59139.53,20.86,,True,r,AB,0,r,6366.38
59142.5,20.92,0.26,False,g,AB,1,g,4746.48
59142.535156,20.6721,,True,r,AB,0,r,6366.38
59142.54,21.08,,True,r,AB,0,r,6366.38
59144.51,21.17,0.26,False,g,AB,1,g,4746.48
59144.539062,21.3125,0.1466,False,r,AB,1,r,6366.38
59144.54,21.1,,True,r,AB,0,r,6366.38
59150.52,20.64,0.2,False,g,AB,1,g,4746.48
59150.546875,19.8007,,True,r,AB,0,r,6366.38
59152.476562,19.6371,,True,r,AB,0,r,6366.38
59155.488281,20.5044,0.2837,False,r,AB,1,r,6366.38
59157.492187,20.6929,0.1952,False,r,AB,1,r,6366.38
59157.63498,19.9295,,True,orange,AB,0,orange,6629.82
59159.492187,20.6508,0.2353,False,r,AB,1,r,6366.38
59159.52,20.59,0.27,False,g,AB,1,g,4746.48
59165.433593,20.9976,0.2134,False,r,AB,1,r,6366.38
59165.52,20.79,0.2,False,g,AB,1,g,4746.48
59170.49,21.09,0.25,False,g,AB,1,g,4746.48
59170.546875,21.3074,0.1873,False,r,AB,1,r,6366.38
59181.414062,19.8929,,True,r,AB,0,r,6366.38
59182.449218,20.8905,0.1363,False,r,AB,1,r,6366.38
59185.527343,21.2689,0.2528,False,r,AB,1,r,6366.38
59192.5,21.4482,0.1647,False,r,AB,1,r,6366.38
59198.51,21.16,0.25,False,g,AB,1,g,4746.48
59205.43,21.0,0.26,False,g,AB,1,g,4746.48
59224.578125,21.65,0.156,False,r,AB,1,r,6366.38
