mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58973.606704,19.4753,,True,orange,AB,0,orange,6629.82
58975.60266,19.2193,,True,orange,AB,0,orange,6629.82
58989.602577,19.3917,,True,orange,AB,0,orange,6629.82
58997.575711,19.7288,0.3417,False,orange,AB,1,orange,6629.82
59007.600168,19.0394,,True,orange,AB,0,orange,6629.82
59017.603009,19.4571,0.2336,False,orange,AB,1,orange,6629.82
59018.388854,19.3195,0.1406,False,g,AB,1,g,4746.48
59018.467951,19.2602,0.0935,False,r,AB,1,r,6366.38
59021.561978,19.5989,0.2608,False,orange,AB,1,orange,6629.82
59023.559699,18.9631,0.2868,False,cyan,AB,1,cyan,5182.42
59024.38199,19.3572,0.1564,False,g,AB,1,g,4746.48
59024.474571,19.3004,0.1118,False,r,AB,1,r,6366.38
59025.595792,19.667,0.275,False,orange,AB,1,orange,6629.82
59027.370648,19.509,0.1992,False,g,AB,1,g,4746.48
59027.572702,19.4659,0.0855,False,cyan,AB,1,cyan,5182.42
59029.57466,19.4816,0.2559,False,orange,AB,1,orange,6629.82
59030.384641,19.6585,0.182,False,g,AB,1,g,4746.48
59030.4678,19.3507,0.1066,False,r,AB,1,r,6366.38
59031.565124,19.589,0.0987,False,cyan,AB,1,cyan,5182.42
59032.48309,19.9236,,True,g,AB,0,g,4746.48
59033.577629,19.1913,,True,orange,AB,0,orange,6629.82
59034.381539,19.4589,0.1717,False,r,AB,1,r,6366.38
59034.462395,19.8695,0.2457,False,g,AB,1,g,4746.48
59035.585885,19.5156,0.2883,False,orange,AB,1,orange,6629.82
59037.351377,19.2194,,True,g,AB,0,g,4746.48
59037.456088,19.4241,0.2213,False,r,AB,1,r,6366.38
59037.539114,19.3042,,True,orange,AB,0,orange,6629.82
59038.48596,19.435,,True,g,AB,0,g,4746.48
59039.526621,19.6523,0.3073,False,orange,AB,1,orange,6629.82
59040.380729,19.6679,0.1613,False,r,AB,1,r,6366.38
59040.478437,19.8,,True,g,AB,0,g,4746.48
59041.568041,19.6402,0.278,False,orange,AB,1,orange,6629.82
59043.360335,20.1074,0.2367,False,g,AB,1,g,4746.48
59043.459907,19.7559,0.1248,False,r,AB,1,r,6366.38
59043.568529,19.3276,,True,orange,AB,0,orange,6629.82
59044.474201,19.728,0.1484,False,r,AB,1,r,6366.38
59046.417661,19.7799,0.1292,False,r,AB,1,r,6366.38
59046.463229,20.3965,0.2357,False,g,AB,1,g,4746.48
59047.533568,20.1466,0.2194,False,cyan,AB,1,cyan,5182.42
59048.486157,20.3318,0.3,False,g,AB,1,g,4746.48
59049.42052,19.9468,0.1289,False,r,AB,1,r,6366.38
59049.458506,20.4856,0.2386,False,g,AB,1,g,4746.48
59051.530149,20.9666,0.3247,False,cyan,AB,1,cyan,5182.42
59052.404513,20.0377,0.1538,False,r,AB,1,r,6366.38
59052.461284,20.8456,,True,g,AB,0,g,4746.48
59052.487673,20.5695,0.3499,False,g,AB,1,g,4746.48
59053.407094,20.8669,0.3262,False,g,AB,1,g,4746.48
59053.51168,19.3814,,True,orange,AB,0,orange,6629.82
59054.389097,20.0039,0.1487,False,r,AB,1,r,6366.38
59054.495833,19.6847,,True,g,AB,0,g,4746.48
59055.405254,20.9723,0.3292,False,g,AB,1,g,4746.48
59055.450601,20.3063,0.2104,False,r,AB,1,r,6366.38
59056.495729,19.9776,0.1672,False,r,AB,1,r,6366.38
59059.415347,21.0197,0.3961,False,g,AB,1,g,4746.48
59059.417685,21.2076,0.342,False,g,AB,1,g,4746.48
59059.440729,20.1471,0.1992,False,r,AB,1,r,6366.38
59059.549288,20.4949,0.2207,False,cyan,AB,1,cyan,5182.42
59060.430127,20.2853,0.1678,False,r,AB,1,r,6366.38
59061.340983,20.0863,,True,r,AB,0,r,6366.38
59061.488027,19.5322,,True,orange,AB,0,orange,6629.82
59062.46228,20.2688,0.1883,False,r,AB,1,r,6366.38
59063.367777,19.5902,,True,r,AB,0,r,6366.38
59063.43552,19.5344,,True,g,AB,0,g,4746.48
59064.350347,19.31,,True,r,AB,0,r,6366.38
59065.254004,18.5333,,True,g,AB,0,g,4746.48
59065.395555,19.3665,,True,r,AB,0,r,6366.38
59065.420497,19.3952,,True,r,AB,0,r,6366.38
59065.509559,19.4884,,True,orange,AB,0,orange,6629.82
59066.372256,19.3119,,True,g,AB,0,g,4746.48
59067.437546,19.6903,,True,r,AB,0,r,6366.38
59069.35618,19.9018,,True,g,AB,0,g,4746.48
59069.419178,20.2762,0.2171,False,r,AB,1,r,6366.38
59069.50612,19.5092,,True,orange,AB,0,orange,6629.82
59071.473146,19.5503,,True,orange,AB,0,orange,6629.82
59073.549188,19.4084,,True,orange,AB,0,orange,6629.82
59075.536076,19.9651,,True,orange,AB,0,orange,6629.82
59077.533336,19.6724,,True,orange,AB,0,orange,6629.82
59079.482558,20.7685,0.259,False,cyan,AB,1,cyan,5182.42
59083.44082,20.8182,,True,cyan,AB,0,cyan,5182.42
59085.437272,19.7598,,True,orange,AB,0,orange,6629.82
59087.472756,20.5615,,True,cyan,AB,0,cyan,5182.42
59089.542792,20.0179,,True,orange,AB,0,orange,6629.82
59093.422665,19.7313,,True,orange,AB,0,orange,6629.82
59101.406646,19.9854,,True,orange,AB,0,orange,6629.82
59103.501213,19.3791,,True,orange,AB,0,orange,6629.82
59105.460986,19.6531,,True,orange,AB,0,orange,6629.82
59107.470361,20.9842,,True,cyan,AB,0,cyan,5182.42
59109.355029,19.6461,,True,orange,AB,0,orange,6629.82
59111.392032,19.9527,,True,cyan,AB,0,cyan,5182.42
