mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58957.6258,19.5052,,True,orange,AB,0,orange,6629.82
58989.595502,20.0674,,True,orange,AB,0,orange,6629.82
58997.576339,20.0811,,True,orange,AB,0,orange,6629.82
58999.555225,20.1426,,True,cyan,AB,0,cyan,5182.42
59002.445312,20.4207,,True,g,AB,0,g,4671.78
59003.603849,18.9774,,True,orange,AB,0,orange,6629.82
59005.556487,19.5316,,True,orange,AB,0,orange,6629.82
59007.574985,19.7084,,True,orange,AB,0,orange,6629.82
59009.594918,19.1329,,True,orange,AB,0,orange,6629.82
59010.597035,19.9731,,True,orange,AB,0,orange,6629.82
59013.596815,20.3275,,True,orange,AB,0,orange,6629.82
59014.394531,20.5699,,True,g,AB,0,g,4671.78
59014.472656,20.8901,,True,r,AB,0,r,6141.12
59017.581906,19.7318,,True,orange,AB,0,orange,6629.82
59018.394531,20.6558,,True,g,AB,0,g,4671.78
59018.46875,20.9542,,True,r,AB,0,r,6141.12
59021.54527,19.8144,,True,orange,AB,0,orange,6629.82
59022.390625,20.585,,True,g,AB,0,g,4671.78
59022.476562,20.6874,,True,r,AB,0,r,6141.12
59025.339843,20.5411,,True,g,AB,0,g,4671.78
59025.583131,20.0879,,True,orange,AB,0,orange,6629.82
59027.44295,20.165,0.3359,False,cyan,AB,1,cyan,5182.42
59028.476562,20.7252,,True,r,AB,0,r,6141.12
59029.561192,19.914,,True,orange,AB,0,orange,6629.82
59031.34375,20.0775,,True,g,AB,0,g,4671.78
59031.441406,20.9079,,True,r,AB,0,r,6141.12
59031.554407,19.673,,True,cyan,AB,0,cyan,5182.42
59032.484375,20.3257,,True,g,AB,0,g,4671.78
59033.570719,19.5831,,True,orange,AB,0,orange,6629.82
59034.378906,20.228,,True,r,AB,0,r,6141.12
59034.464843,20.2213,,True,g,AB,0,g,4671.78
59035.567478,19.6087,,True,orange,AB,0,orange,6629.82
59037.511861,19.3832,,True,orange,AB,0,orange,6629.82
59039.388261,19.2032,,True,orange,AB,0,orange,6629.82
59040.382812,20.3241,0.1928,False,r,AB,1,r,6141.12
59040.480468,20.2874,0.0914,False,g,AB,1,g,4671.78
59041.581271,19.381,,True,orange,AB,0,orange,6629.82
59043.371093,20.5723,0.1179,False,g,AB,1,g,4671.78
59043.382812,20.3514,0.0848,False,r,AB,1,r,6141.12
59043.612029,19.327,,True,orange,AB,0,orange,6629.82
59044.476562,20.1511,0.0888,False,r,AB,1,r,6141.12
59046.410156,20.1624,0.1918,False,r,AB,1,r,6141.12
59046.460937,20.057,0.177,False,g,AB,1,g,4671.78
59047.5239,19.6267,0.1873,False,cyan,AB,1,cyan,5182.42
59048.40625,20.186,0.0928,False,r,AB,1,r,6141.12
59048.472656,20.0905,0.0553,False,g,AB,1,g,4671.78
59049.40625,20.2032,0.2185,False,r,AB,1,r,6141.12
59050.410156,19.9714,0.0728,False,g,AB,1,g,4671.78
59050.441406,19.9963,0.0763,False,r,AB,1,r,6141.12
59051.394531,19.9523,0.0689,False,r,AB,1,r,6141.12
59051.453125,19.832,0.1035,False,g,AB,1,g,4671.78
59051.474,19.9933,0.04,False,w,AB,1,w,5980.7
59051.490514,19.6331,0.1801,False,cyan,AB,1,cyan,5182.42
59052.40625,19.9702,0.1692,False,r,AB,1,r,6141.12
59052.464843,19.8623,0.1868,False,g,AB,1,g,4671.78
59053.390625,19.1576,0.3563,False,g,AB,1,g,4671.78
59053.505356,19.638,0.2347,False,orange,AB,1,orange,6629.82
59054.390625,19.9642,0.1854,False,r,AB,1,r,6141.12
59054.476562,20.0759,0.078,False,g,AB,1,g,4671.78
59055.40625,19.8356,0.0657,False,g,AB,1,g,4671.78
59055.453125,19.8751,0.0762,False,r,AB,1,r,6141.12
59056.429687,19.9066,0.068,False,g,AB,1,g,4671.78
59056.4375,20.0393,0.0938,False,r,AB,1,r,6141.12
59057.402343,19.8791,0.0918,False,g,AB,1,g,4671.78
59057.414062,19.809,0.0947,False,r,AB,1,r,6141.12
59059.410156,19.8948,0.0665,False,g,AB,1,g,4671.78
59059.417968,19.8811,0.0581,False,r,AB,1,r,6141.12
59059.575834,19.4211,0.1303,False,cyan,AB,1,cyan,5182.42
59060.347656,19.8099,0.2059,False,g,AB,1,g,4671.78
59060.425781,19.8073,0.0717,False,r,AB,1,r,6141.12
59061.375,19.8707,0.0702,False,r,AB,1,r,6141.12
59061.464843,19.7731,0.0889,False,g,AB,1,g,4671.78
59061.480118,19.8216,0.2924,False,orange,AB,1,orange,6629.82
59062.464843,19.8133,0.1016,False,r,AB,1,r,6141.12
59063.371093,19.5771,0.132,False,r,AB,1,r,6141.12
59063.453125,19.6985,0.1018,False,g,AB,1,g,4671.78
59064.390625,19.8364,0.0565,False,r,AB,1,r,6141.12
59064.472656,19.6406,0.127,False,g,AB,1,g,4671.78
59065.253906,19.4813,,True,g,AB,0,g,4671.78
59065.40625,19.6445,0.0989,False,r,AB,1,r,6141.12
59065.538656,19.8288,0.3402,False,orange,AB,1,orange,6629.82
59066.375,19.6997,0.073,False,g,AB,1,g,4671.78
59066.445312,19.4791,0.1956,False,r,AB,1,r,6141.12
59067.378906,19.9773,0.1,False,g,AB,1,g,4671.78
59067.421875,19.724,0.1764,False,r,AB,1,r,6141.12
59068.386718,19.5363,0.1174,False,r,AB,1,r,6141.12
59068.480468,19.8129,0.09,False,g,AB,1,g,4671.78
59068.582,19.7885,0.26,False,i,AB,1,i,7457.89
59069.339843,19.5659,0.1214,False,g,AB,1,g,4671.78
59069.429687,19.57,0.1013,False,r,AB,1,r,6141.12
59069.485859,19.548,0.2519,False,orange,AB,1,orange,6629.82
59070.332031,19.5644,0.1153,False,g,AB,1,g,4671.78
59071.355468,19.6248,0.0464,False,r,AB,1,r,6141.12
59071.417968,19.6736,0.0737,False,g,AB,1,g,4671.78
59071.453464,19.6921,0.2033,False,orange,AB,1,orange,6629.82
59072.398437,19.6382,0.0737,False,g,AB,1,g,4671.78
59072.464843,19.4824,0.074,False,r,AB,1,r,6141.12
59073.335937,19.6065,0.077,False,g,AB,1,g,4671.78
59073.445312,19.6282,0.115,False,r,AB,1,r,6141.12
59073.522173,19.5444,0.1561,False,orange,AB,1,orange,6629.82
59075.328125,19.6213,0.2044,False,r,AB,1,r,6141.12
59075.363281,19.6694,0.0721,False,g,AB,1,g,4671.78
59075.515469,19.5932,0.2294,False,orange,AB,1,orange,6629.82
59076.359375,19.6328,0.182,False,r,AB,1,r,6141.12
59076.508869,19.3385,0.1389,False,cyan,AB,1,cyan,5182.42
59077.300781,19.551,0.0965,False,r,AB,1,r,6141.12
59077.40625,19.6575,0.0864,False,g,AB,1,g,4671.78
59077.518127,19.3243,0.1281,False,orange,AB,1,orange,6629.82
59078.324218,19.544,0.1438,False,r,AB,1,r,6141.12
59079.335937,19.6189,0.0745,False,g,AB,1,g,4671.78
59079.375,19.5083,0.0841,False,r,AB,1,r,6141.12
59079.399615,19.3347,0.1823,False,cyan,AB,1,cyan,5182.42
59080.355468,19.5543,0.0926,False,r,AB,1,r,6141.12
59080.421875,19.556,0.0675,False,g,AB,1,g,4671.78
59081.3125,19.687,0.0718,False,g,AB,1,g,4671.78
59081.375,19.4412,0.069,False,r,AB,1,r,6141.12
59082.265625,19.5264,0.2142,False,r,AB,1,r,6141.12
59082.316406,19.4895,0.067,False,g,AB,1,g,4671.78
59083.408854,19.2318,0.1306,False,cyan,AB,1,cyan,5182.42
59084.304687,19.4679,0.0605,False,r,AB,1,r,6141.12
59084.398437,19.6573,0.0819,False,g,AB,1,g,4671.78
59085.332031,19.4376,0.101,False,r,AB,1,r,6141.12
59085.363281,19.6139,0.061,False,g,AB,1,g,4671.78
59085.388603,19.4498,0.2517,False,orange,AB,1,orange,6629.82
59086.296875,19.6417,0.1486,False,g,AB,1,g,4671.78
59086.335937,19.5104,0.0742,False,r,AB,1,r,6141.12
59087.335937,19.6427,0.0606,False,g,AB,1,g,4671.78
59087.34375,19.5013,0.0562,False,r,AB,1,r,6141.12
59087.54751,19.2265,0.1528,False,cyan,AB,1,cyan,5182.42
59088.328125,19.759,0.096,False,g,AB,1,g,4671.78
59088.398437,19.5393,0.0687,False,r,AB,1,r,6141.12
59088.439873,19.6811,0.2637,False,orange,AB,1,orange,6629.82
59089.339843,19.9662,0.0806,False,g,AB,1,g,4671.78
59089.433593,19.5432,0.0816,False,r,AB,1,r,6141.12
59089.465479,19.5502,0.1915,False,orange,AB,1,orange,6629.82
59090.363281,19.7874,0.0684,False,g,AB,1,g,4671.78
59090.457031,19.6678,0.0847,False,r,AB,1,r,6141.12
59091.378906,19.9818,0.0992,False,g,AB,1,g,4671.78
59091.46875,19.7728,0.08,False,r,AB,1,r,6141.12
59092.304687,19.8931,0.0876,False,g,AB,1,g,4671.78
59093.351562,19.679,0.0552,False,r,AB,1,r,6141.12
59093.370867,19.2762,,True,orange,AB,0,orange,6629.82
59093.402343,19.65,0.0469,False,g,AB,1,g,4671.78
59094.222656,19.099,,True,g,AB,0,g,4671.78
59094.410156,19.8642,0.177,False,r,AB,1,r,6141.12
59095.316406,19.7523,,True,g,AB,0,g,4671.78
59095.398437,19.7959,,True,r,AB,0,r,6141.12
59095.48951,19.3847,0.2592,False,orange,AB,1,orange,6629.82
59096.175781,19.7753,,True,g,AB,0,g,4671.78
59096.328125,19.8596,0.0837,False,r,AB,1,r,6141.12
59097.328125,20.3955,,True,g,AB,0,g,4671.78
59097.339843,19.7468,0.0847,False,r,AB,1,r,6141.12
59097.371093,19.7017,0.2068,False,i,AB,1,i,7457.89
59098.230468,20.1844,0.1279,False,g,AB,1,g,4671.78
59098.339843,19.9162,0.0764,False,r,AB,1,r,6141.12
59099.285156,19.9753,0.181,False,r,AB,1,r,6141.12
59099.390625,20.5301,0.06,False,g,AB,1,g,4671.78
59101.460221,19.9434,0.3073,False,orange,AB,1,orange,6629.82
59103.493923,20.0167,0.3523,False,orange,AB,1,orange,6629.82
59104.472656,19.9503,0.0793,False,i,AB,1,i,7457.89
59105.437903,19.3126,,True,orange,AB,0,orange,6629.82
59106.01,19.94,0.07,False,i,AB,1,i,7457.89
59106.01,20.18,0.08,False,r,AB,1,r,6141.12
59106.02,19.95,0.13,False,z,AB,1,z,8970.57
59106.02,20.76,0.09,False,g,AB,1,g,4671.78
59106.3125,20.6631,0.1553,False,g,AB,1,g,4671.78
59106.332031,20.1409,0.2376,False,r,AB,1,r,6141.12
59107.285156,20.3197,0.0912,False,r,AB,1,r,6141.12
59107.355468,20.9026,0.1403,False,g,AB,1,g,4671.78
59107.463381,19.8481,0.2342,False,cyan,AB,1,cyan,5182.42
59108.320312,20.8844,0.1152,False,g,AB,1,g,4671.78
59108.328125,20.2511,0.1685,False,i,AB,1,i,7457.89
59108.382812,20.1293,0.2302,False,r,AB,1,r,6141.12
59109.28125,20.2687,0.0796,False,r,AB,1,r,6141.12
59109.383186,19.311,,True,orange,AB,0,orange,6629.82
59110.191406,20.189,,True,i,AB,0,i,7457.89
59110.292968,20.3838,0.1096,False,r,AB,1,r,6141.12
59110.339843,20.8135,0.1224,False,g,AB,1,g,4671.78
59111.339843,20.2969,0.1115,False,r,AB,1,r,6141.12
59111.347656,21.0881,0.1348,False,g,AB,1,g,4671.78
59111.476199,20.0018,0.3238,False,cyan,AB,1,cyan,5182.42
59112.269531,21.0288,0.116,False,g,AB,1,g,4671.78
59112.308593,20.3616,0.1813,False,r,AB,1,r,6141.12
59113.285156,20.3491,0.0931,False,r,AB,1,r,6141.12
59113.308593,21.0333,0.1071,False,g,AB,1,g,4671.78
59114.296875,21.0557,0.0959,False,g,AB,1,g,4671.78
59114.351562,20.2794,0.248,False,r,AB,1,r,6141.12
59114.363281,19.8466,0.1877,False,i,AB,1,i,7457.89
59115.253906,21.0478,0.1432,False,g,AB,1,g,4671.78
59115.316406,20.3448,0.0936,False,r,AB,1,r,6141.12
59115.47839,19.9207,0.1824,False,cyan,AB,1,cyan,5182.42
59116.28125,21.1986,0.0976,False,g,AB,1,g,4671.78
59116.335937,20.3823,0.0831,False,r,AB,1,r,6141.12
59117.273437,20.5029,0.1075,False,r,AB,1,r,6141.12
59117.304687,21.1954,0.1276,False,g,AB,1,g,4671.78
59117.397416,19.3709,,True,orange,AB,0,orange,6629.82
59118.285156,20.5185,0.1068,False,r,AB,1,r,6141.12
59118.332031,20.9885,0.053,False,g,AB,1,g,4671.78
59119.296875,21.3326,0.1495,False,g,AB,1,g,4671.78
59119.316406,20.0277,0.3198,False,i,AB,1,i,7457.89
59119.328125,20.4615,0.0936,False,r,AB,1,r,6141.12
59120.191406,20.6323,0.1289,False,r,AB,1,r,6141.12
59120.367187,20.7291,,True,g,AB,0,g,4671.78
59121.265625,20.5892,0.2171,False,r,AB,1,r,6141.12
59121.304687,20.9031,0.1727,False,g,AB,1,g,4671.78
59121.39384,19.3349,,True,orange,AB,0,orange,6629.82
59122.199218,20.6006,0.095,False,r,AB,1,r,6141.12
59122.242187,20.2882,0.1173,False,g,AB,1,g,4671.78
59123.164062,20.6152,0.1224,False,g,AB,1,g,4671.78
59123.332031,20.2281,0.1668,False,r,AB,1,r,6141.12
59124.140625,20.1311,,True,g,AB,0,g,4671.78
59124.304687,20.5212,0.2324,False,r,AB,1,r,6141.12
59125.21875,20.5689,,True,g,AB,0,g,4671.78
59125.25,20.5921,0.138,False,r,AB,1,r,6141.12
59125.409915,19.7184,,True,orange,AB,0,orange,6629.82
59126.273437,20.5803,,True,g,AB,0,g,4671.78
59126.3125,20.4885,0.2451,False,r,AB,1,r,6141.12
59127.242187,20.7005,0.3899,False,r,AB,1,r,6141.12
59127.355468,19.1532,,True,i,AB,0,i,7457.89
59128.285156,20.387,0.1206,False,r,AB,1,r,6141.12
59128.285156,20.6416,,True,g,AB,0,g,4671.78
59129.230468,20.378,0.0677,False,r,AB,1,r,6141.12
59129.3125,20.8724,,True,g,AB,0,g,4671.78
59129.438035,19.1921,,True,orange,AB,0,orange,6629.82
59130.222656,20.391,0.0813,False,r,AB,1,r,6141.12
59130.332031,21.2637,0.5133,False,g,AB,1,g,4671.78
59131.25,20.6153,0.0882,False,r,AB,1,r,6141.12
59131.28125,21.1895,0.0878,False,g,AB,1,g,4671.78
59131.426159,19.3165,,True,orange,AB,0,orange,6629.82
59133.459749,19.3722,,True,orange,AB,0,orange,6629.82
59134.210937,20.4488,0.1109,False,r,AB,1,r,6141.12
59134.242187,21.0786,0.1126,False,g,AB,1,g,4671.78
59135.234375,21.2043,0.1129,False,g,AB,1,g,4671.78
59135.3125,20.4699,0.0636,False,r,AB,1,r,6141.12
59136.171875,20.3724,0.1068,False,r,AB,1,r,6141.12
59136.308593,21.0924,0.1173,False,g,AB,1,g,4671.78
59137.242187,20.4068,0.238,False,r,AB,1,r,6141.12
59137.242187,20.9862,0.113,False,g,AB,1,g,4671.78
59137.363459,19.4174,,True,orange,AB,0,orange,6629.82
59138.25,20.5436,0.1219,False,r,AB,1,r,6141.12
59138.261718,20.7422,0.1261,False,g,AB,1,g,4671.78
59139.210937,20.9651,0.1465,False,g,AB,1,g,4671.78
59139.253906,20.4818,0.2396,False,r,AB,1,r,6141.12
59139.407483,19.5277,,True,cyan,AB,0,cyan,5182.42
59140.207031,20.4605,0.0601,False,r,AB,1,r,6141.12
59140.214843,21.3075,0.1399,False,g,AB,1,g,4671.78
59141.175781,20.5845,0.0879,False,r,AB,1,r,6141.12
59141.246093,21.123,0.1171,False,g,AB,1,g,4671.78
59141.335788,19.3154,,True,orange,AB,0,orange,6629.82
59142.125,21.0136,0.2407,False,g,AB,1,g,4671.78
59143.226562,20.4833,0.0963,False,r,AB,1,r,6141.12
59143.257812,21.1328,0.3188,False,g,AB,1,g,4671.78
59143.341962,20.126,0.3355,False,cyan,AB,1,cyan,5182.42
59144.230468,20.1791,0.111,False,r,AB,1,r,6141.12
59144.234375,21.2505,0.1044,False,g,AB,1,g,4671.78
59144.343886,19.4355,,True,orange,AB,0,orange,6629.82
59145.230468,20.3313,0.0797,False,r,AB,1,r,6141.12
59145.261718,20.9928,0.0606,False,g,AB,1,g,4671.78
59145.379678,19.2603,,True,orange,AB,0,orange,6629.82
59146.167968,20.3669,0.2178,False,r,AB,1,r,6141.12
59147.370162,19.4712,,True,orange,AB,0,orange,6629.82
59149.164062,20.1904,0.1668,False,r,AB,1,r,6141.12
59149.277343,20.0184,,True,g,AB,0,g,4671.78
59150.179687,20.3303,,True,g,AB,0,g,4671.78
59150.292968,20.1269,0.1968,False,r,AB,1,r,6141.12
59151.21875,20.3474,0.1214,False,r,AB,1,r,6141.12
59151.234375,20.3682,,True,g,AB,0,g,4671.78
59152.300781,20.5395,0.2741,False,r,AB,1,r,6141.12
59152.304687,20.0976,,True,g,AB,0,g,4671.78
59153.195312,20.4686,0.0885,False,r,AB,1,r,6141.12
59153.207031,20.5053,0.154,False,g,AB,1,g,4671.78
59153.363095,19.1567,,True,orange,AB,0,orange,6629.82
59154.199218,20.1821,0.0723,False,r,AB,1,r,6141.12
59154.292968,20.2414,,True,g,AB,0,g,4671.78
59155.21875,20.8685,0.1831,False,g,AB,1,g,4671.78
59155.238281,20.1861,0.192,False,r,AB,1,r,6141.12
59156.214843,20.3131,0.0652,False,r,AB,1,r,6141.12
59156.359375,19.4613,,True,g,AB,0,g,4671.78
59156.86,19.84,0.21,False,z,AB,1,z,8970.57
59156.86,20.22,0.11,False,i,AB,1,i,7457.89
59156.86,20.31,0.15,False,r,AB,1,r,6141.12
59156.86,20.81,0.16,False,g,AB,1,g,4671.78
59157.230468,20.3586,0.107,False,r,AB,1,r,6141.12
59157.289062,20.9948,0.1411,False,g,AB,1,g,4671.78
59157.375121,19.5612,,True,orange,AB,0,orange,6629.82
59158.238281,20.7255,0.176,False,g,AB,1,g,4671.78
59158.25,20.4955,0.0855,False,r,AB,1,r,6141.12
59161.375278,20.3733,0.3392,False,orange,AB,1,orange,6629.82
59163.411328,20.1791,0.243,False,cyan,AB,1,cyan,5182.42
59163.456707,19.8571,,True,orange,AB,0,orange,6629.82
59164.199218,20.4535,0.0629,False,r,AB,1,r,6141.12
59164.222656,21.1178,0.2337,False,g,AB,1,g,4671.78
59165.171875,20.3664,0.1531,False,r,AB,1,r,6141.12
59165.179687,21.0212,0.1138,False,g,AB,1,g,4671.78
59165.326399,19.3619,,True,orange,AB,0,orange,6629.82
59167.175781,19.7551,,True,g,AB,0,g,4671.78
59167.199218,20.3909,0.1995,False,r,AB,1,r,6141.12
59168.128906,20.5622,0.0928,False,r,AB,1,r,6141.12
59168.207031,21.4303,0.138,False,g,AB,1,g,4671.78
59169.183593,20.4459,0.1342,False,r,AB,1,r,6141.12
59169.210937,21.3475,0.1393,False,g,AB,1,g,4671.78
59169.324111,19.4231,,True,orange,AB,0,orange,6629.82
59169.92,20.75,0.17,False,r,AB,1,r,6141.12
59170.121093,20.7285,0.1263,False,r,AB,1,r,6141.12
59170.203125,21.5259,0.1694,False,g,AB,1,g,4671.78
