mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59049.60809,20.0447,,True,cyan,AB,0,cyan,5182.42
59055.609027,19.7135,,True,orange,AB,0,orange,6629.82
59059.609862,19.8772,,True,orange,AB,0,orange,6629.82
59061.612008,19.8618,,True,orange,AB,0,orange,6629.82
59063.582609,19.6362,,True,orange,AB,0,orange,6629.82
59069.617396,19.4846,,True,orange,AB,0,orange,6629.82
59071.616735,19.8053,,True,orange,AB,0,orange,6629.82
59073.616054,19.8844,,True,orange,AB,0,orange,6629.82
59075.046,21.4657,,True,G,AB,0,G,5850.88
59075.613517,19.7135,,True,orange,AB,0,orange,6629.82
59077.598829,20.7343,,True,cyan,AB,0,cyan,5182.42
59083.567146,19.7945,,True,orange,AB,0,orange,6629.82
59091.556283,19.5579,,True,orange,AB,0,orange,6629.82
59093.557776,19.4293,,True,orange,AB,0,orange,6629.82
59095.530876,19.5787,,True,orange,AB,0,orange,6629.82
59097.575441,19.4409,,True,orange,AB,0,orange,6629.82
59099.531613,19.83,,True,orange,AB,0,orange,6629.82
59101.576778,19.9109,,True,orange,AB,0,orange,6629.82
59103.560271,19.6999,,True,orange,AB,0,orange,6629.82
59105.56607,19.5624,,True,orange,AB,0,orange,6629.82
59107.551517,19.6695,,True,orange,AB,0,orange,6629.82
59109.564827,19.7887,0.2,False,cyan,AB,1,cyan,5182.42
59113.549485,19.1383,0.1187,False,cyan,AB,1,cyan,5182.42
59115.506185,19.0138,0.1391,False,orange,AB,1,orange,6629.82
59116.532639,18.6457,0.0274,False,G,AB,1,G,5850.88
59116.606639,18.6857,0.0278,False,G,AB,1,G,5850.88
59117.530187,18.7147,0.0773,False,cyan,AB,1,cyan,5182.42
59119.485219,18.6732,0.1167,False,orange,AB,1,orange,6629.82
59121.469518,18.5624,0.1219,False,orange,AB,1,orange,6629.82
59123.47799,18.4658,0.1194,False,orange,AB,1,orange,6629.82
59125.571327,18.3685,0.1136,False,orange,AB,1,orange,6629.82
59127.503908,18.4726,0.1148,False,orange,AB,1,orange,6629.82
59127.542,18.3958,0.14,False,i,AB,1,i,7457.89
59129.516816,18.308,0.087,False,orange,AB,1,orange,6629.82
59131.490631,18.4688,0.0917,False,orange,AB,1,orange,6629.82
59133.560932,18.4061,0.0878,False,orange,AB,1,orange,6629.82
59133.61473,18.2657,0.0237,False,G,AB,1,G,5850.88
59133.790889,18.2657,0.0237,False,G,AB,1,G,5850.88
59133.864899,18.2657,0.0237,False,G,AB,1,G,5850.88
59134.04106,18.2257,0.0234,False,G,AB,1,G,5850.88
59135.467821,18.4241,0.107,False,orange,AB,1,orange,6629.82
59137.538305,18.2788,0.0533,False,cyan,AB,1,cyan,5182.42
59139.462713,18.5726,0.1149,False,orange,AB,1,orange,6629.82
59141.585545,18.4359,0.0837,False,cyan,AB,1,cyan,5182.42
59145.450954,18.5505,0.0639,False,cyan,AB,1,cyan,5182.42
59147.43027,18.6415,0.1101,False,orange,AB,1,orange,6629.82
59157.46903,18.4447,0.1087,False,orange,AB,1,orange,6629.82
59160.464843,18.4726,0.0886,False,g,AB,1,g,4671.78
59160.46875,18.5388,0.0449,False,r,AB,1,r,6141.12
59160.472656,18.7137,0.0516,False,i,AB,1,i,7457.89
59161.487242,18.6901,0.1267,False,orange,AB,1,orange,6629.82
59162.433593,18.4869,0.0832,False,g,AB,1,g,4671.78
59162.441406,18.7314,0.0543,False,i,AB,1,i,7457.89
59162.441406,18.5234,0.0481,False,r,AB,1,r,6141.12
59163.41,18.4858,0.02,False,g,AB,1,g,4671.78
59163.465645,18.5439,0.1151,False,orange,AB,1,orange,6629.82
59166.429687,18.665,0.0664,False,g,AB,1,g,4671.78
