mjd,mag,mag_err,UL,filter,System,detected
59051.549136,20.6504,,True,cyan,AB,0
59052.610073,19.3202,,True,orange,AB,0
59053.606549,20.0325,,True,orange,AB,0
59058.513333,20.6933,,True,cyan,AB,0
59061.518837,19.8153,,True,orange,AB,0
59062.451966,19.5155,,True,orange,AB,0
59064.519237,19.5349,,True,orange,AB,0
59073.582506,19.8857,,True,orange,AB,0
59074.579272,19.8328,,True,orange,AB,0
59077.530165,19.9396,,True,orange,AB,0
59078.467418,20.8341,,True,cyan,AB,0
59080.447474,19.8852,,True,orange,AB,0
59082.349931,20.5692,,True,cyan,AB,0
59083.48589,20.7528,,True,cyan,AB,0
59084.427372,19.9009,,True,orange,AB,0
59087.494657,20.5075,,True,cyan,AB,0
59088.442425,19.7966,,True,orange,AB,0
59089.535618,19.8796,,True,orange,AB,0
59090.513667,20.1599,,True,orange,AB,0
59092.397494,19.1897,,True,orange,AB,0
59098.570509,19.3722,,True,orange,AB,0
59100.419604,19.8636,,True,orange,AB,0
59101.508344,19.891,,True,orange,AB,0
59103.518517,19.8072,,True,orange,AB,0
59105.471496,19.7745,,True,orange,AB,0
59106.324218,19.8436,,True,g,AB,0
59106.371093,20.3772,,True,r,AB,0
59106.508223,20.772,,True,cyan,AB,0
59107.347656,20.2706,,True,g,AB,0
59108.34375,19.8067,,True,i,AB,0
59108.34375,19.8582,,True,i,AB,0
59108.390625,20.3782,,True,r,AB,0
59109.320312,20.1928,,True,g,AB,0
59109.390625,20.2217,,True,r,AB,0
59109.421344,19.8398,,True,orange,AB,0
59110.367187,20.2931,,True,r,AB,0
59110.377094,20.9315,,True,cyan,AB,0
59111.367187,20.5495,,True,g,AB,0
59112.332031,20.5519,,True,g,AB,0
59112.339843,21.3407,0.1104,False,r,AB,1
59112.386657,19.8846,,True,orange,AB,0
59113.304687,20.217,,True,r,AB,0
59113.458527,19.6988,,True,orange,AB,0
59114.320312,20.5658,,True,g,AB,0
59114.474192,20.31,,True,cyan,AB,0
59115.269531,20.4561,,True,g,AB,0
59115.304687,20.5432,,True,r,AB,0
59115.316406,20.5072,,True,r,AB,0
59115.536333,20.7919,,True,cyan,AB,0
59116.363281,20.4676,,True,r,AB,0
59117.269531,20.2917,,True,g,AB,0
59117.401208,19.5927,,True,orange,AB,0
59118.261718,20.4913,,True,r,AB,0
59118.328125,20.7916,0.1782,False,r,AB,1
59118.344714,19.5701,,True,orange,AB,0
59118.375,20.6953,,True,g,AB,0
59119.304687,19.6839,,True,i,AB,0
59119.304687,19.8734,,True,i,AB,0
59119.484668,19.4649,,True,orange,AB,0
59120.28125,19.5176,,True,g,AB,0
59120.382027,19.4147,,True,orange,AB,0
59121.328125,19.7201,,True,g,AB,0
59122.28125,19.3685,,True,g,AB,0
59125.292968,19.5803,,True,r,AB,0
59125.382812,19.3152,,True,g,AB,0
59126.367187,19.7546,,True,r,AB,0
59126.455873,19.1399,,True,orange,AB,0
59128.487826,19.4708,,True,orange,AB,0
59129.234375,20.4831,0.2265,False,r,AB,1
59129.328125,20.1624,,True,g,AB,0
59129.46248,19.4772,,True,orange,AB,0
59130.44322,19.3204,,True,orange,AB,0
59131.234375,20.3468,0.12,False,r,AB,1
59131.253906,20.1261,0.0899,False,g,AB,1
59131.462449,19.3419,,True,orange,AB,0
59132.416774,19.5048,,True,orange,AB,0
59133.414696,19.3557,,True,orange,AB,0
59134.269531,20.2614,0.098,False,g,AB,1
59134.300781,20.3666,0.2285,False,r,AB,1
59135.443025,19.7085,,True,cyan,AB,0
59136.238281,19.8327,0.43,False,g,AB,1
59136.300781,19.9902,0.1591,False,r,AB,1
59136.422701,18.9824,,True,orange,AB,0
59137.434452,19.3337,,True,orange,AB,0
59138.230468,19.8705,0.0671,False,g,AB,1
59138.277343,19.8645,0.0905,False,r,AB,1
59138.408921,19.956,0.2221,False,cyan,AB,1
59140.25,19.8511,0.1005,False,r,AB,1
59140.277343,20.0029,0.1572,False,g,AB,1
59140.418,19.6321,0.2854,False,orange,AB,1
59142.432022,19.9071,0.1894,False,cyan,AB,1
59143.214843,19.8341,0.2015,False,r,AB,1
59143.292968,19.6197,0.1321,False,i,AB,1
59143.359375,19.7585,0.0765,False,g,AB,1
59144.285156,19.7775,0.1156,False,i,AB,1
59145.179687,19.6519,0.2822,False,r,AB,1
59145.273437,19.6021,0.0893,False,g,AB,1
59145.38567,19.7634,0.3219,False,orange,AB,1
59146.396233,19.0813,,True,orange,AB,0
59148.390395,19.3562,0.2625,False,orange,AB,1
59152.222656,19.5943,0.1728,False,r,AB,1
59154.171875,19.2394,0.0934,False,r,AB,1
59154.304687,19.5119,,True,g,AB,0
59156.366895,19.4905,0.278,False,orange,AB,1
59157.208999,19.4906,0.04,False,w,AB,1
59157.21875,19.4099,0.0612,False,r,AB,1
59157.304687,19.1309,0.1552,False,g,AB,1
59157.369569,19.6104,0.3342,False,orange,AB,1
59158.346703,19.7505,0.2965,False,orange,AB,1
59160.372145,19.28,0.2234,False,orange,AB,1
59163.426364,19.4021,0.1281,False,cyan,AB,1
