mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59179.601262,20.1102,,True,orange,AB,0,orange,6629.82
59181.548099,19.7603,,True,orange,AB,0,orange,6629.82
59182.56708,19.3823,,True,orange,AB,0,orange,6629.82
59183.558959,19.7429,,True,orange,AB,0,orange,6629.82
59185.622432,19.9844,,True,orange,AB,0,orange,6629.82
59187.605734,19.5669,,True,orange,AB,0,orange,6629.82
59190.947,21.4516,,True,G,AB,0,G,5850.88
59191.587636,19.4993,,True,orange,AB,0,orange,6629.82
59193.631828,19.9924,,True,orange,AB,0,orange,6629.82
59195.618467,20.4824,,True,cyan,AB,0,cyan,5182.42
59197.569465,20.5341,,True,cyan,AB,0,cyan,5182.42
59205.572108,20.4624,,True,cyan,AB,0,cyan,5182.42
59206.565192,20.7134,,True,cyan,AB,0,cyan,5182.42
59207.566933,20.6588,,True,cyan,AB,0,cyan,5182.42
59208.573727,20.4929,,True,cyan,AB,0,cyan,5182.42
59209.588365,19.8716,,True,orange,AB,0,orange,6629.82
59219.440543,19.6242,,True,g,AB,0,g,4671.78
59219.477407,19.7776,,True,r,AB,0,r,6141.12
59219.638316,19.4465,,True,orange,AB,0,orange,6629.82
59221.445717,20.0288,,True,r,AB,0,r,6141.12
59221.461469,19.0448,,True,g,AB,0,g,4671.78
59221.625267,19.6674,,True,orange,AB,0,orange,6629.82
59223.379189,20.3146,,True,g,AB,0,g,4671.78
59223.462361,20.0207,,True,r,AB,0,r,6141.12
59224.537336,20.5238,,True,cyan,AB,0,cyan,5182.42
59225.413993,20.0488,,True,r,AB,0,r,6141.12
59225.441,19.9358,,True,g,AB,0,g,4671.78
59225.441331,19.9359,,True,g,AB,0,g,4671.78
59227.440636,21.0086,0.4082,False,g,AB,1,g,4671.78
59227.638218,20.0311,0.3445,False,cyan,AB,1,cyan,5182.42
59229.437164,19.8393,,True,r,AB,0,r,6141.12
59231.419965,20.4283,0.2662,False,g,AB,1,g,4671.78
59231.466296,20.6429,,True,r,AB,0,r,6141.12
59231.501028,20.3969,0.2276,False,cyan,AB,1,cyan,5182.42
59235.540758,19.0797,0.2305,False,cyan,AB,1,cyan,5182.42
59248.41412,17.9091,0.0635,False,g,AB,1,g,4671.78
59249.656717,17.988,0.1049,False,orange,AB,1,orange,6629.82
59250.370023,17.7936,0.0636,False,g,AB,1,g,4671.78
59250.377361,18.0711,0.0669,False,r,AB,1,r,6141.12
59251.568256,17.9817,0.0528,False,orange,AB,1,orange,6629.82
59252.318773,17.8895,0.0579,False,r,AB,1,r,6141.12
59252.379004,17.6497,0.0555,False,g,AB,1,g,4671.78
59253.450668,17.6828,0.0294,False,cyan,AB,1,cyan,5182.42
59254.15625,17.4448,0.0551,False,g,AB,1,g,4671.78
59254.160156,17.4437,0.0436,False,g,AB,1,g,4671.78
59254.164062,17.8076,0.0392,False,r,AB,1,r,6141.12
59254.167968,17.8021,0.0389,False,r,AB,1,r,6141.12
59254.171875,17.9466,0.0565,False,i,AB,1,i,7457.89
59254.171875,17.96,0.0726,False,i,AB,1,i,7457.89
59254.300023,17.5568,0.058,False,g,AB,1,g,4671.78
59255.463645,17.5533,0.0256,False,cyan,AB,1,cyan,5182.42
59256.369351,17.4565,0.0511,False,g,AB,1,g,4671.78
59256.39912,17.6956,0.045,False,r,AB,1,r,6141.12
59256.56,17.5228,0.02,False,w,AB,1,w,5980.7
59257.511366,17.5388,0.0204,False,cyan,AB,1,cyan,5182.42
59258.152343,17.2934,0.0506,False,g,AB,1,g,4671.78
59258.15625,17.6156,0.0557,False,r,AB,1,r,6141.12
59258.160156,17.6315,0.0509,False,r,AB,1,r,6141.12
59258.164062,17.8023,0.0519,False,i,AB,1,i,7457.89
59258.341076,17.6273,0.0463,False,r,AB,1,r,6141.12
59258.366446,17.3901,0.051,False,g,AB,1,g,4671.78
59261.443414,17.423,0.0164,False,cyan,AB,1,cyan,5182.42
59262.246093,17.3187,0.0277,False,g,AB,1,g,4671.78
59262.25,17.3278,0.0358,False,g,AB,1,g,4671.78
59262.25,17.5551,0.0305,False,r,AB,1,r,6141.12
59262.253906,17.5652,0.0548,False,r,AB,1,r,6141.12
59262.257812,17.7029,0.045,False,i,AB,1,i,7457.89
59262.257812,17.7143,0.0496,False,i,AB,1,i,7457.89
59262.349212,17.5207,0.0463,False,r,AB,1,r,6141.12
59262.410694,17.3301,0.0574,False,g,AB,1,g,4671.78
59264.360023,17.5084,0.0425,False,r,AB,1,r,6141.12
59265.320312,17.2262,0.0555,False,g,AB,1,g,4671.78
59265.324218,17.227,0.0493,False,g,AB,1,g,4671.78
59265.328125,17.5082,0.038,False,r,AB,1,r,6141.12
59265.328125,17.5269,0.0484,False,r,AB,1,r,6141.12
59265.332031,17.63,0.0643,False,i,AB,1,i,7457.89
59265.335937,17.654,0.0492,False,i,AB,1,i,7457.89
59266.332534,17.5591,0.0562,False,r,AB,1,r,6141.12
59266.417013,17.3881,0.0617,False,g,AB,1,g,4671.78
59267.464212,17.527,0.0364,False,orange,AB,1,orange,6629.82
59268.354398,17.5325,0.0378,False,r,AB,1,r,6141.12
59268.401509,17.6386,0.0416,False,orange,AB,1,orange,6629.82
59268.431817,17.371,0.0504,False,g,AB,1,g,4671.78
59269.351025,17.5797,0.0515,False,orange,AB,1,orange,6629.82
59270.309594,17.5187,0.0502,False,r,AB,1,r,6141.12
59270.382465,17.4136,0.061,False,g,AB,1,g,4671.78
59270.941406,17.3971,0.1714,False,g,AB,1,g,4671.78
59270.941406,17.4962,0.1678,False,g,AB,1,g,4671.78
59274.239606,17.4363,0.1043,False,g,AB,1,g,4671.78
59274.359918,17.5672,0.0662,False,r,AB,1,r,6141.12
59274.699218,17.3787,0.0388,False,g,AB,1,g,4671.78
59274.703125,17.4341,0.0459,False,g,AB,1,g,4671.78
59274.707031,17.6246,0.061,False,r,AB,1,r,6141.12
59274.707031,17.5301,0.0473,False,r,AB,1,r,6141.12
59274.710937,17.7121,0.0844,False,i,AB,1,i,7457.89
59274.710937,17.7158,0.0765,False,i,AB,1,i,7457.89
59276.256076,17.4972,0.0558,False,g,AB,1,g,4671.78
59276.337083,17.5723,0.0542,False,r,AB,1,r,6141.12
59276.476624,17.6072,0.0394,False,orange,AB,1,orange,6629.82
59277.466918,17.64,0.0391,False,orange,AB,1,orange,6629.82
59278.835937,17.4698,0.0374,False,g,AB,1,g,4671.78
59278.839843,17.4614,0.0482,False,g,AB,1,g,4671.78
59278.84375,17.6697,0.0444,False,r,AB,1,r,6141.12
59278.84375,17.762,0.0653,False,i,AB,1,i,7457.89
59278.84375,17.6795,0.0449,False,r,AB,1,r,6141.12
59278.847656,17.7006,0.069,False,i,AB,1,i,7457.89
59280.286493,17.6294,0.0541,False,r,AB,1,r,6141.12
59280.286493,17.6294,0.0541,False,r,AB,1,r,6141.12
59280.359826,17.5805,0.0697,False,g,AB,1,g,4671.78
59286.015625,19.259,,True,g,AB,0,g,4671.78
59286.285156,17.6422,0.0427,False,g,AB,1,g,4671.78
59286.285156,17.6438,0.0561,False,g,AB,1,g,4671.78
59286.289062,17.7299,0.0449,False,r,AB,1,r,6141.12
59286.289062,17.7329,0.0324,False,r,AB,1,r,6141.12
59286.292968,17.8256,0.045,False,i,AB,1,i,7457.89
59286.292968,17.8006,0.0496,False,i,AB,1,i,7457.89
59287.377653,17.5386,0.1373,False,cyan,AB,1,cyan,5182.42
59288.361054,17.715,0.0391,False,orange,AB,1,orange,6629.82
59290.21875,17.6407,0.0549,False,g,AB,1,g,4671.78
59290.222656,17.6401,0.0596,False,g,AB,1,g,4671.78
