mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59251.647842,20.2944,,True,orange,AB,0,orange,6629.82
59253.58211,20.6417,,True,cyan,AB,0,cyan,5182.42
59255.551013,20.5406,,True,cyan,AB,0,cyan,5182.42
59257.531811,20.3477,,True,cyan,AB,0,cyan,5182.42
59261.539281,20.6171,,True,cyan,AB,0,cyan,5182.42
59267.596706,20.3691,,True,cyan,AB,0,cyan,5182.42
59277.629872,20.1136,,True,orange,AB,0,orange,6629.82
59278.553579,19.5533,,True,orange,AB,0,orange,6629.82
59287.622924,20.5558,,True,cyan,AB,0,cyan,5182.42
59291.299699,20.3757,,True,g,AB,0,g,4671.78
59291.37728,20.2869,,True,r,AB,0,r,6141.12
59291.494128,20.6136,,True,cyan,AB,0,cyan,5182.42
59293.492982,20.1995,,True,orange,AB,0,orange,6629.82
59295.319097,19.653,,True,g,AB,0,g,4671.78
59295.400358,20.2395,,True,r,AB,0,r,6141.12
59297.319178,19.6204,,True,g,AB,0,g,4671.78
59297.398784,19.9126,,True,r,AB,0,r,6141.12
59297.476258,19.9027,,True,orange,AB,0,orange,6629.82
59300.37331,19.0068,,True,g,AB,0,g,4671.78
59300.414432,18.9989,,True,r,AB,0,r,6141.12
59302.355925,19.0257,,True,g,AB,0,g,4671.78
59302.416944,19.0839,,True,r,AB,0,r,6141.12
59304.378449,18.353,,True,r,AB,0,r,6141.12
59304.412106,18.5742,,True,g,AB,0,g,4671.78
59305.44821,20.0238,,True,orange,AB,0,orange,6629.82
59307.378877,20.4186,,True,g,AB,0,g,4671.78
59307.449745,20.2379,,True,r,AB,0,r,6141.12
59309.337442,20.8897,0.3032,False,g,AB,1,g,4671.78
59309.394976,20.2292,,True,r,AB,0,r,6141.12
59309.449845,20.1428,,True,cyan,AB,0,cyan,5182.42
59311.318449,20.4332,,True,r,AB,0,r,6141.12
59311.36008,20.717,,True,g,AB,0,g,4671.78
59313.289386,20.1625,,True,g,AB,0,g,4671.78
59313.49099,20.1551,,True,cyan,AB,0,cyan,5182.42
59315.333275,20.4748,0.3196,False,g,AB,1,g,4671.78
59315.351909,18.9327,,True,r,AB,0,r,6141.12
59317.277534,20.4043,0.1886,False,g,AB,1,g,4671.78
59317.277534,20.4043,0.1886,False,g,AB,1,g,4671.78
59317.40375,20.6836,,True,r,AB,0,r,6141.12
59317.409575,20.0443,,True,cyan,AB,0,cyan,5182.42
59319.439702,19.74,,True,orange,AB,0,orange,6629.82
59321.30912,20.3925,,True,r,AB,0,r,6141.12
59321.358483,20.3602,0.2474,False,g,AB,1,g,4671.78
59321.371999,20.8061,0.17,False,w,AB,1,w,5980.7
59321.405784,20.0262,,True,cyan,AB,0,cyan,5182.42
59323.295011,20.2772,0.2585,False,g,AB,1,g,4671.78
59323.359375,20.4746,0.2705,False,r,AB,1,r,6141.12
59323.404088,19.824,,True,orange,AB,0,orange,6629.82
59324.42561,20.0732,,True,orange,AB,0,orange,6629.82
59325.299641,20.4384,0.2389,False,r,AB,1,r,6141.12
59325.361481,20.1305,0.2156,False,g,AB,1,g,4671.78
59326.396415,19.4513,,True,orange,AB,0,orange,6629.82
59327.38306,19.3049,,True,orange,AB,0,orange,6629.82
59328.387708,19.8756,,True,orange,AB,0,orange,6629.82
59329.291956,19.2926,,True,r,AB,0,r,6141.12
59329.353136,19.2776,,True,g,AB,0,g,4671.78
59332.497722,19.3164,0.2142,False,orange,AB,1,orange,6629.82
59333.521683,19.2964,0.2301,False,orange,AB,1,orange,6629.82
59335.315902,19.1656,0.2007,False,r,AB,1,r,6141.12
59335.392057,19.2309,0.1583,False,orange,AB,1,orange,6629.82
59337.448087,19.2319,0.1698,False,orange,AB,1,orange,6629.82
59338.27559,18.9978,0.1126,False,r,AB,1,r,6141.12
59338.316169,18.7361,0.0861,False,g,AB,1,g,4671.78
59339.469118,18.8439,0.1036,False,cyan,AB,1,cyan,5182.42
59340.316238,19.1165,0.1046,False,r,AB,1,r,6141.12
59340.352731,18.8158,0.0932,False,g,AB,1,g,4671.78
59341.435443,19.4301,0.2381,False,orange,AB,1,orange,6629.82
