mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59233.466156,20.0542,,True,cyan,AB,0,cyan,5182.42
59235.512971,20.4644,,True,cyan,AB,0,cyan,5182.42
59245.513312,19.9673,,True,orange,AB,0,orange,6629.82
59246.518179,20.1457,,True,orange,AB,0,orange,6629.82
59250.528197,20.1057,,True,orange,AB,0,orange,6629.82
59251.508084,20.8481,,True,cyan,AB,0,cyan,5182.42
59253.498906,21.1794,,True,cyan,AB,0,cyan,5182.42
59254.470387,21.1872,,True,cyan,AB,0,cyan,5182.42
59255.413623,20.7794,,True,cyan,AB,0,cyan,5182.42
59257.478427,21.1794,,True,cyan,AB,0,cyan,5182.42
59261.419863,21.1372,,True,cyan,AB,0,cyan,5182.42
59267.39031,20.1102,,True,orange,AB,0,orange,6629.82
59276.556358,19.9762,,True,orange,AB,0,orange,6629.82
59277.417617,20.0908,,True,orange,AB,0,orange,6629.82
59288.379627,21.0735,,True,cyan,AB,0,cyan,5182.42
59291.456222,20.8325,,True,cyan,AB,0,cyan,5182.42
59303.354404,19.6505,,True,orange,AB,0,orange,6629.82
59305.422481,20.1152,,True,orange,AB,0,orange,6629.82
59309.312996,20.9319,,True,cyan,AB,0,cyan,5182.42
59313.391751,21.3284,,True,cyan,AB,0,cyan,5182.42
59314.236874,20.6711,,True,g,AB,0,g,4671.78
59314.32985,20.6167,,True,cyan,AB,0,cyan,5182.42
59316.288321,20.5705,,True,r,AB,0,r,6141.12
59316.328449,20.6242,,True,g,AB,0,g,4671.78
59318.324059,21.1181,,True,cyan,AB,0,cyan,5182.42
59319.213645,20.3163,,True,r,AB,0,r,6141.12
59319.240254,20.5391,,True,g,AB,0,g,4671.78
59320.31624,20.1639,,True,orange,AB,0,orange,6629.82
59321.217141,20.5755,,True,r,AB,0,r,6141.12
59321.257789,20.5971,,True,g,AB,0,g,4671.78
59321.335486,19.9977,,True,orange,AB,0,orange,6629.82
59323.179293,20.1017,,True,g,AB,0,g,4671.78
59323.215752,20.1954,,True,r,AB,0,r,6141.12
59323.281052,19.3084,,True,orange,AB,0,orange,6629.82
59327.299025,19.7252,,True,orange,AB,0,orange,6629.82
59328.194571,19.4445,,True,g,AB,0,g,4671.78
59328.234594,19.6198,,True,r,AB,0,r,6141.12
59329.346343,19.6142,,True,orange,AB,0,orange,6629.82
59332.320257,19.9236,,True,orange,AB,0,orange,6629.82
59334.176863,20.5769,,True,g,AB,0,g,4671.78
59334.259664,19.9156,,True,r,AB,0,r,6141.12
59336.194502,20.484,,True,r,AB,0,r,6141.12
59336.227476,20.5658,,True,g,AB,0,g,4671.78
59337.340931,19.9708,,True,orange,AB,0,orange,6629.82
59338.19699,20.5152,,True,g,AB,0,g,4671.78
59338.245324,20.2231,,True,r,AB,0,r,6141.12
59340.196458,20.5976,,True,g,AB,0,g,4671.78
59340.242847,20.2878,,True,r,AB,0,r,6141.12
59342.22265,20.5274,,True,g,AB,0,g,4671.78
59342.22265,20.5279,,True,g,AB,0,g,4671.78
59342.267361,20.1123,,True,r,AB,0,r,6141.12
59342.267361,20.1112,,True,r,AB,0,r,6141.12
