mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59509.539062,20.7835,0.3226,False,r,AB,1,r,6141.12
59510.629769,19.4942,,True,orange,AB,0,orange,6629.82
59512.53125,20.4373,0.1982,False,r,AB,1,r,6141.12
59524.621544,19.0061,,True,orange,AB,0,orange,6629.82
59525.5,20.0252,,True,g,AB,0,g,4671.78
59526.610983,20.4146,,True,cyan,AB,0,cyan,5182.42
59527.5,20.1395,,True,g,AB,0,g,4671.78
59531.480468,20.1734,,True,g,AB,0,g,4671.78
59534.603678,19.1424,,True,orange,AB,0,orange,6629.82
59536.503906,19.7545,,True,r,AB,0,r,6141.12
59538.484375,20.07,,True,r,AB,0,r,6141.12
59540.590047,19.034,,True,orange,AB,0,orange,6629.82
59542.607508,19.765,,True,orange,AB,0,orange,6629.82
59544.623473,19.3303,,True,orange,AB,0,orange,6629.82
59546.631904,19.644,,True,orange,AB,0,orange,6629.82
59550.503906,20.5311,0.1492,False,r,AB,1,r,6141.12
59560.59931,19.5453,,True,orange,AB,0,orange,6629.82
59580.523453,19.4606,,True,orange,AB,0,orange,6629.82
59582.048889,19.341,,True,orange,AB,0,orange,6629.82
59584.533506,19.391,,True,orange,AB,0,orange,6629.82
59586.544135,19.892,,True,cyan,AB,0,cyan,5182.42
59588.507212,19.5023,,True,orange,AB,0,orange,6629.82
59590.570749,20.4991,0.3463,False,cyan,AB,1,cyan,5182.42
59592.282181,19.6981,,True,orange,AB,0,orange,6629.82
59604.510581,19.3592,,True,orange,AB,0,orange,6629.82
59605.387389,19.6651,,True,orange,AB,0,orange,6629.82
59606.555354,19.5853,,True,orange,AB,0,orange,6629.82
59607.500422,19.2888,,True,orange,AB,0,orange,6629.82
59608.513924,19.4508,,True,orange,AB,0,orange,6629.82
59609.066411,19.7711,,True,cyan,AB,0,cyan,5182.42
59610.503526,19.3476,,True,orange,AB,0,orange,6629.82
59612.542135,20.3276,0.2996,False,cyan,AB,1,cyan,5182.42
59614.548087,19.5404,,True,orange,AB,0,orange,6629.82
59616.73651,20.3029,0.2344,False,cyan,AB,1,cyan,5182.42
59617.002488,19.0094,,True,cyan,AB,0,cyan,5182.42
59618.476269,19.3155,,True,orange,AB,0,orange,6629.82
59620.574507,19.7467,,True,cyan,AB,0,cyan,5182.42
59622.402343,19.3385,,True,r,AB,0,r,6141.12
59622.465224,19.2156,,True,orange,AB,0,orange,6629.82
59624.367187,19.9225,0.1527,False,r,AB,1,r,6141.12
59624.507231,19.3212,,True,orange,AB,0,orange,6629.82
59629.339843,19.8473,0.1841,False,r,AB,1,r,6141.12
59630.520797,19.129,,True,orange,AB,0,orange,6629.82
59632.516443,19.2093,,True,orange,AB,0,orange,6629.82
59634.439357,19.3245,,True,orange,AB,0,orange,6629.82
59635.257241,19.7836,0.3116,False,orange,AB,1,orange,6629.82
59636.25,20.051,0.1018,False,g,AB,1,g,4671.78
59636.335937,19.9362,0.1299,False,r,AB,1,r,6141.12
59636.420579,20.1934,0.2718,False,cyan,AB,1,cyan,5182.42
59638.438358,19.2384,,True,orange,AB,0,orange,6629.82
59640.335937,19.864,0.0781,False,g,AB,1,g,4671.78
59640.363281,19.9414,0.1283,False,r,AB,1,r,6141.12
59640.41983,19.9634,0.2089,False,cyan,AB,1,cyan,5182.42
59642.410525,19.888,0.3411,False,orange,AB,1,orange,6629.82
59644.464076,19.8515,0.3168,False,cyan,AB,1,cyan,5182.42
59648.398874,19.8565,0.3131,False,orange,AB,1,orange,6629.82
59650.403997,19.5347,,True,orange,AB,0,orange,6629.82
59651.121076,19.8846,0.3611,False,orange,AB,1,orange,6629.82
59658.491575,19.0197,,True,orange,AB,0,orange,6629.82
59660.45854,19.2689,,True,orange,AB,0,orange,6629.82
59662.488706,19.4409,,True,orange,AB,0,orange,6629.82
59663.116558,19.8662,0.3382,False,orange,AB,1,orange,6629.82
59664.34375,19.7963,0.0587,False,g,AB,1,g,4671.78
59664.351562,19.7759,0.0574,False,r,AB,1,r,6141.12
59664.355468,20.0082,0.2707,False,i,AB,1,i,7645.77
59664.495555,19.7595,0.3127,False,cyan,AB,1,cyan,5182.42
59666.425808,19.3,,True,orange,AB,0,orange,6629.82
59667.105595,19.2979,,True,orange,AB,0,orange,6629.82
59668.422776,19.6644,0.244,False,cyan,AB,1,cyan,5182.42
59670.331802,19.3623,,True,orange,AB,0,orange,6629.82
59671.304687,19.8076,0.0613,False,g,AB,1,g,4671.78
59671.3125,19.7762,0.0558,False,r,AB,1,r,6141.12
59671.316406,20.1378,0.0949,False,i,AB,1,i,7645.77
59671.328125,19.9385,0.0983,False,r,AB,1,r,6141.12
59671.339843,19.7852,0.0795,False,g,AB,1,g,4671.78
59672.378906,19.7662,0.0556,False,g,AB,1,g,4671.78
59672.386718,19.7771,0.0606,False,r,AB,1,r,6141.12
59672.394531,20.2022,0.1296,False,i,AB,1,i,7645.77
59672.837805,19.5971,0.1493,False,cyan,AB,1,cyan,5182.42
59674.300781,19.8466,0.1023,False,r,AB,1,r,6141.12
59674.359375,19.8875,0.1005,False,g,AB,1,g,4671.78
59675.078151,19.8224,0.312,False,orange,AB,1,orange,6629.82
59676.505698,19.7897,0.1671,False,cyan,AB,1,cyan,5182.42
59678.234375,20.0104,0.121,False,r,AB,1,r,6141.12
59678.359375,19.7463,0.0497,False,g,AB,1,g,4671.78
59678.367187,19.8962,0.0613,False,r,AB,1,r,6141.12
59678.375,20.2051,0.1168,False,i,AB,1,i,7645.77
59679.121928,19.2403,,True,orange,AB,0,orange,6629.82
59680.25,19.6142,0.1693,False,r,AB,1,r,6141.12
59680.292968,19.7992,0.0879,False,g,AB,1,g,4671.78
59680.300781,19.9176,0.0994,False,r,AB,1,r,6141.12
59680.308593,20.1557,0.1604,False,i,AB,1,i,7645.77
59680.381306,19.0755,,True,cyan,AB,0,cyan,5182.42
59683.234375,19.7775,,True,r,AB,0,r,6141.12
59683.273437,19.2262,,True,g,AB,0,g,4671.78
59684.316406,19.4267,,True,r,AB,0,r,6141.12
59685.210937,19.5196,,True,r,AB,0,r,6141.12
59687.598576,19.7248,0.2694,False,orange,AB,1,orange,6629.82
59688.344337,19.124,,True,orange,AB,0,orange,6629.82
59689.253906,20.0926,0.1499,False,r,AB,1,r,6141.12
59690.234375,19.8519,0.1442,False,r,AB,1,r,6141.12
59690.382189,19.209,,True,orange,AB,0,orange,6629.82
59691.118127,19.2594,,True,orange,AB,0,orange,6629.82
59692.352952,19.6569,0.1954,False,cyan,AB,1,cyan,5182.42
59693.214843,19.8814,0.1291,False,g,AB,1,g,4671.78
59694.167968,20.2691,0.2006,False,r,AB,1,r,6141.12
59694.234375,19.864,0.0634,False,g,AB,1,g,4671.78
59694.238281,19.9094,0.0496,False,g,AB,1,g,4671.78
59694.242187,19.8805,0.0522,False,g,AB,1,g,4671.78
59694.242187,19.9189,0.0629,False,r,AB,1,r,6141.12
59694.246093,19.8548,0.049,False,r,AB,1,r,6141.12
59694.25,19.9015,0.0551,False,r,AB,1,r,6141.12
59694.25,20.1898,0.1371,False,i,AB,1,i,7645.77
59694.253906,20.1428,0.1225,False,i,AB,1,i,7645.77
59694.253906,20.1341,0.1632,False,g,AB,1,g,4671.78
59694.257812,20.1898,0.1217,False,i,AB,1,i,7645.77
59694.35769,19.5326,,True,orange,AB,0,orange,6629.82
59695.106524,19.3565,,True,orange,AB,0,orange,6629.82
59695.210937,20.0434,0.3327,False,r,AB,1,r,6141.12
59696.191406,20.0376,0.0871,False,g,AB,1,g,4671.78
59696.322955,19.7115,,True,cyan,AB,0,cyan,5182.42
59697.1875,19.8784,0.0901,False,r,AB,1,r,6141.12
59698.346675,19.0439,,True,orange,AB,0,orange,6629.82
59699.080961,19.5768,,True,orange,AB,0,orange,6629.82
59699.167968,20.1262,0.1301,False,r,AB,1,r,6141.12
59699.191406,20.0541,0.14,False,g,AB,1,g,4671.78
59700.246093,19.9024,0.0792,False,g,AB,1,g,4671.78
59700.253906,19.8893,0.0734,False,r,AB,1,r,6141.12
59700.261718,20.1094,0.2693,False,i,AB,1,i,7645.77
59700.838075,19.3276,,True,orange,AB,0,orange,6629.82
59701.1875,19.9656,0.0618,False,g,AB,1,g,4671.78
59701.253906,19.8589,0.0635,False,g,AB,1,g,4671.78
59701.261718,19.9825,0.0598,False,r,AB,1,r,6141.12
59701.269531,20.5816,0.1612,False,i,AB,1,i,7645.77
59702.226562,19.9415,0.0614,False,g,AB,1,g,4671.78
59702.234375,19.9624,0.0494,False,r,AB,1,r,6141.12
59702.242187,20.2516,0.1118,False,i,AB,1,i,7645.77
59703.123444,19.8112,0.3003,False,orange,AB,1,orange,6629.82
59703.171875,20.0503,0.1642,False,g,AB,1,g,4671.78
59703.273437,19.9202,0.1373,False,r,AB,1,r,6141.12
