mjd,mag,mag_err,UL,filter,System,detected
56920.43994,20.0628,0.1806,False,C,Vega,1
56920.47998,19.7156,0.1545,False,C,Vega,1
56920.52002,19.3206,0.1293,False,C,Vega,1
56925.43994,19.3252,0.1296,False,C,Vega,1
56925.47998,19.8086,0.1611,False,C,Vega,1
56925.52002,19.1454,0.1195,False,C,Vega,1
56925.55981,19.7094,0.1541,False,C,Vega,1
56931.43994,18.9873,0.1112,False,C,Vega,1
56931.47998,19.2507,0.1253,False,C,Vega,1
56931.52002,19.3117,0.1288,False,C,Vega,1
56931.55981,19.5165,0.1412,False,C,Vega,1
56938.492187,19.6325,0.1624,False,r,AB,1
56938.492187,19.9396,0.2431,False,r,AB,1
56938.496093,19.1294,,True,i,AB,0
56938.5,19.218,,True,i,AB,0
56941.144531,20.2714,0.2168,False,g,AB,1
56941.148437,20.2935,0.1513,False,g,AB,1
56941.152343,20.3756,0.1712,False,r,AB,1
56941.160156,20.1333,0.1821,False,r,AB,1
56941.164062,20.3334,0.2628,False,i,AB,1
56941.167968,20.857,0.3148,False,i,AB,1
56942.47998,19.8577,0.1647,False,C,Vega,1
56942.52002,20.5944,0.2289,False,C,Vega,1
56942.55981,20.4737,0.217,False,C,Vega,1
56945.113281,19.9776,0.2151,False,g,AB,1
56945.117187,19.1682,,True,g,AB,0
56945.121093,19.4809,,True,r,AB,0
56945.125,20.377,0.2222,False,r,AB,1
56945.128906,19.2083,,True,i,AB,0
