mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57535.47998,20.7534,0.2447,False,C,Vega,1,C,5627.8
57542.43994,19.9705,0.1708,False,C,Vega,1,C,5627.8
57542.47998,19.8338,0.1678,False,C,Vega,1,C,5627.8
57542.52002,19.9651,0.1718,False,C,Vega,1,C,5627.8
57542.56005,19.7724,0.1575,False,C,Vega,1,C,5627.8
57547.43994,18.8222,0.0985,False,C,Vega,1,C,5627.8
57547.47998,18.782,0.0967,False,C,Vega,1,C,5627.8
57547.52002,18.9124,0.1026,False,C,Vega,1,C,5627.8
57547.56005,18.6982,0.0935,False,C,Vega,1,C,5627.8
57553.43994,18.2065,0.0742,False,C,Vega,1,C,5627.8
57553.47998,18.1275,0.0715,False,C,Vega,1,C,5627.8
57553.52002,18.2919,0.0772,False,C,Vega,1,C,5627.8
57553.56005,18.2248,0.0749,False,C,Vega,1,C,5627.8
57555.5,17.9024,0.0646,False,C,Vega,1,C,5627.8
57555.5,17.9346,0.065,False,C,Vega,1,C,5627.8
57555.5,17.9516,0.065,False,C,Vega,1,C,5627.8
57555.5,17.9683,0.0651,False,C,Vega,1,C,5627.8
57573.43994,17.5374,0.055,False,C,Vega,1,C,5627.8
57573.47998,17.5475,0.0551,False,C,Vega,1,C,5627.8
57573.52002,17.5617,0.0555,False,C,Vega,1,C,5627.8
57573.56005,17.4594,0.0529,False,C,Vega,1,C,5627.8
57579.43994,17.2332,0.0476,False,C,Vega,1,C,5627.8
57579.47998,17.5139,0.0542,False,C,Vega,1,C,5627.8
57579.52002,17.4613,0.0528,False,C,Vega,1,C,5627.8
57579.56005,17.4582,0.0528,False,C,Vega,1,C,5627.8
57584.43994,17.4784,0.0533,False,C,Vega,1,C,5627.8
57584.47998,17.4416,0.0525,False,C,Vega,1,C,5627.8
57584.52002,17.5088,0.0542,False,C,Vega,1,C,5627.8
57584.56005,17.6644,0.0582,False,C,Vega,1,C,5627.8
