mjd,mag,mag_err,UL,filter,System,detected
56887.4,23.1963,0.19,False,z,AB,1
56891.39,22.9658,0.06,False,g,AB,1
56891.39,22.9756,0.08,False,r,AB,1
56891.4,22.8716,0.11,False,i,AB,1
56891.4,22.9863,0.17,False,z,AB,1
56904.3,22.4816,0.07,False,i,AB,1
56904.3,22.5063,0.09,False,z,AB,1
56904.3,22.6656,0.06,False,r,AB,1
56904.3,22.7058,0.06,False,g,AB,1
56912.34,22.6258,0.1,False,g,AB,1
56912.35,22.3463,0.07,False,z,AB,1
56912.35,22.4356,0.07,False,r,AB,1
56912.35,22.2816,0.06,False,i,AB,1
56920.3,22.5858,0.04,False,g,AB,1
56920.31,22.2616,0.04,False,i,AB,1
56920.31,22.2663,0.04,False,z,AB,1
56920.31,22.2956,0.04,False,r,AB,1
56927.24,22.2356,0.04,False,r,AB,1
56927.24,22.5858,0.04,False,g,AB,1
56927.24,22.0716,0.04,False,i,AB,1
56927.24,22.1763,0.06,False,z,AB,1
56943.23,22.1516,0.04,False,i,AB,1
56943.23,22.2756,0.05,False,r,AB,1
56943.23,23.0258,0.12,False,g,AB,1
56943.24,22.0963,0.04,False,z,AB,1
56949.32,22.8658,0.04,False,g,AB,1
56949.33,22.0963,0.04,False,z,AB,1
56949.33,22.1116,0.04,False,i,AB,1
56949.33,22.3756,0.04,False,r,AB,1
56956.34,22.1716,0.06,False,i,AB,1
56956.34,22.4656,0.07,False,r,AB,1
56956.34,22.9458,0.1,False,g,AB,1
56956.35,22.0863,0.07,False,z,AB,1
56960.27,22.5356,0.07,False,r,AB,1
56960.27,23.2058,0.1,False,g,AB,1
56960.28,22.1716,0.07,False,i,AB,1
56960.28,22.2963,0.1,False,z,AB,1
56966.36,21.9816,0.11,False,i,AB,1
56966.36,22.1363,0.12,False,z,AB,1
56973.31,23.4358,0.19,False,g,AB,1
56973.32,22.2163,0.06,False,z,AB,1
56973.32,22.4016,0.06,False,i,AB,1
56973.32,22.7456,0.08,False,r,AB,1
56980.32,22.3116,0.05,False,i,AB,1
56980.32,22.7756,0.06,False,r,AB,1
56980.32,23.5358,0.08,False,g,AB,1
56980.33,22.2963,0.06,False,z,AB,1
56988.03,22.3916,0.06,False,i,AB,1
56988.03,22.8856,0.07,False,r,AB,1
56988.03,23.8458,0.18,False,g,AB,1
56988.04,22.4063,0.09,False,z,AB,1
56991.15,22.9856,0.2,False,r,AB,1
56991.15,23.5658,0.36,False,g,AB,1
56991.16,22.2463,0.14,False,z,AB,1
56991.16,23.0016,0.24,False,i,AB,1
56992.14,22.5516,0.07,False,i,AB,1
56992.14,22.2563,0.06,False,z,AB,1
56992.14,23.7158,0.3,False,g,AB,1
56992.14,22.9656,0.12,False,r,AB,1
57001.31,22.2416,0.15,False,i,AB,1
57001.31,22.4563,0.2,False,z,AB,1
57008.11,24.3158,0.17,False,g,AB,1
57008.12,22.4063,0.06,False,z,AB,1
57008.12,22.8016,0.08,False,i,AB,1
57012.08,23.4256,0.1,False,r,AB,1
57012.08,24.3658,0.17,False,g,AB,1
57012.09,22.5163,0.07,False,z,AB,1
57012.09,22.9616,0.08,False,i,AB,1
57018.07,23.7156,0.24,False,r,AB,1
57018.08,22.8263,0.16,False,z,AB,1
57018.08,23.0716,0.18,False,i,AB,1
57019.07,23.0416,0.12,False,i,AB,1
57019.07,23.6256,0.19,False,r,AB,1
57019.08,22.5263,0.09,False,z,AB,1
57026.17,22.8863,0.14,False,z,AB,1
57026.17,23.2816,0.23,False,i,AB,1
57026.17,23.5156,0.32,False,r,AB,1
57033.16,23.5956,0.16,False,r,AB,1
57033.17,22.8263,0.14,False,z,AB,1
57033.17,23.0516,0.13,False,i,AB,1
57040.17,25.0158,0.31,False,g,AB,1
57040.18,23.3016,0.12,False,i,AB,1
57040.18,23.8856,0.14,False,r,AB,1
57040.18,22.9163,0.11,False,z,AB,1
57047.09,22.8163,0.11,False,z,AB,1
57047.09,23.5616,0.17,False,i,AB,1
57047.09,24.4956,0.28,False,r,AB,1
57054.04,23.1863,0.15,False,z,AB,1
57054.04,23.8016,0.26,False,i,AB,1
57061.15,23.1063,0.21,False,z,AB,1
57061.15,23.2616,0.26,False,i,AB,1
57066.03,23.8016,0.35,False,i,AB,1
57066.03,23.9856,0.35,False,r,AB,1
57066.04,23.3463,0.31,False,z,AB,1
