mjd,mag,mag_err,UL,filter,System,detected
56923.3,23.6835,0.21,False,g,AB,1
56923.3,23.731,0.28,False,r,AB,1
56923.31,23.4483,0.26,False,i,AB,1
56924.18,23.1935,0.08,False,g,AB,1
56924.18,23.6183,0.16,False,i,AB,1
56924.19,23.7113,0.22,False,z,AB,1
56931.16,22.1035,0.05,False,g,AB,1
56931.16,22.511,0.09,False,r,AB,1
56931.17,22.6183,0.1,False,i,AB,1
56931.17,22.9113,0.15,False,z,AB,1
56934.37,21.991,0.1,False,r,AB,1
56934.37,22.1783,0.14,False,i,AB,1
56936.36,21.6535,0.04,False,g,AB,1
56936.36,21.831,0.05,False,r,AB,1
56936.37,22.1683,0.07,False,i,AB,1
56936.37,22.2413,0.08,False,z,AB,1
56943.24,21.4235,0.03,False,g,AB,1
56943.25,21.7383,0.03,False,i,AB,1
56943.25,21.7813,0.04,False,z,AB,1
56943.25,21.591,0.03,False,r,AB,1
56949.11,21.411,0.06,False,r,AB,1
56949.11,21.5835,0.04,False,g,AB,1
56949.12,21.6213,0.09,False,z,AB,1
56949.12,21.9283,0.26,False,i,AB,1
56956.2,21.5335,0.02,False,g,AB,1
56956.21,21.271,0.02,False,r,AB,1
56956.21,21.3713,0.03,False,z,AB,1
56956.21,21.5283,0.03,False,i,AB,1
56960.23,21.231,0.03,False,r,AB,1
56960.23,21.3713,0.05,False,z,AB,1
56960.23,21.3983,0.03,False,i,AB,1
56960.23,21.6335,0.03,False,g,AB,1
56973.07,21.331,0.02,False,r,AB,1
56973.07,22.0335,0.03,False,g,AB,1
56973.08,21.3483,0.02,False,i,AB,1
56973.08,21.4613,0.03,False,z,AB,1
56980.07,21.4683,0.03,False,i,AB,1
56980.07,21.5113,0.04,False,z,AB,1
56987.07,23.0135,0.07,False,g,AB,1
56987.08,21.6413,0.04,False,z,AB,1
56987.08,21.6483,0.03,False,i,AB,1
56990.07,22.581,0.36,False,r,AB,1
56990.08,21.6813,0.14,False,z,AB,1
56991.13,21.7283,0.1,False,i,AB,1
56991.13,21.7313,0.12,False,z,AB,1
56991.13,22.091,0.12,False,r,AB,1
56992.06,22.121,0.07,False,r,AB,1
56992.06,23.3435,0.24,False,g,AB,1
56992.07,21.7283,0.04,False,i,AB,1
56992.07,21.7813,0.07,False,z,AB,1
57001.23,22.741,0.14,False,r,AB,1
57001.23,21.9713,0.08,False,z,AB,1
57001.23,22.1283,0.07,False,i,AB,1
57005.07,22.861,0.09,False,r,AB,1
57005.08,22.0213,0.08,False,z,AB,1
57005.08,22.3983,0.1,False,i,AB,1
57012.06,22.1613,0.1,False,z,AB,1
57012.06,22.5583,0.13,False,i,AB,1
57014.06,22.6683,0.08,False,i,AB,1
57014.06,23.471,0.13,False,r,AB,1
57014.06,22.4813,0.08,False,z,AB,1
57019.09,22.7613,0.12,False,z,AB,1
57019.09,23.0883,0.14,False,i,AB,1
57026.1,22.8713,0.21,False,z,AB,1
57033.04,23.9483,0.3,False,i,AB,1
57033.05,23.2813,0.2,False,z,AB,1
57040.06,23.5413,0.25,False,z,AB,1
57045.05,23.3783,0.27,False,i,AB,1
57052.04,23.9313,0.35,False,z,AB,1
