mjd,mag,mag_err,UL,filter,System,detected
57228.43,25.2111,0.34,False,g,AB,1
57249.41,25.1093,0.22,False,r,AB,1
57253.3,24.9484,0.35,False,z,AB,1
57255.37,25.0993,0.35,False,r,AB,1
57257.29,25.1045,0.3,False,i,AB,1
57265.32,24.8384,0.25,False,z,AB,1
57265.35,24.7793,0.36,False,r,AB,1
57266.26,24.5545,0.27,False,i,AB,1
57276.33,24.9693,0.21,False,r,AB,1
57277.34,24.5484,0.13,False,z,AB,1
57277.38,24.3745,0.12,False,i,AB,1
57283.28,24.7793,0.15,False,r,AB,1
57284.36,24.4945,0.14,False,i,AB,1
57287.21,23.9484,0.17,False,z,AB,1
57287.36,24.9793,0.28,False,r,AB,1
57288.3,24.8793,0.26,False,r,AB,1
57288.33,24.3445,0.18,False,i,AB,1
57292.2,24.0384,0.27,False,z,AB,1
57292.24,24.3645,0.3,False,i,AB,1
57297.37,24.4045,0.24,False,i,AB,1
57299.18,23.7684,0.29,False,z,AB,1
57302.26,25.3993,0.26,False,r,AB,1
57302.28,24.2345,0.12,False,i,AB,1
57304.33,24.1384,0.32,False,z,AB,1
57311.21,23.8411,0.06,False,g,AB,1
57311.22,23.3193,0.03,False,r,AB,1
57311.24,23.3645,0.03,False,i,AB,1
57311.33,23.3184,0.06,False,z,AB,1
57317.16,22.5311,0.04,False,g,AB,1
57317.19,22.6793,0.03,False,r,AB,1
57318.12,22.7145,0.05,False,i,AB,1
57318.15,22.9084,0.06,False,z,AB,1
57325.19,22.3493,0.03,False,r,AB,1
57327.09,22.2711,0.02,False,g,AB,1
57327.1,22.3645,0.02,False,i,AB,1
57327.16,22.5084,0.03,False,z,AB,1
57329.2,22.1793,0.02,False,r,AB,1
57331.19,22.0811,0.01,False,g,AB,1
57331.23,22.2245,0.02,False,i,AB,1
57331.26,22.2884,0.02,False,z,AB,1
57339.14,21.8393,0.01,False,r,AB,1
57339.2,21.8211,0.01,False,g,AB,1
57339.22,21.9445,0.02,False,i,AB,1
57339.26,22.0584,0.03,False,z,AB,1
57345.26,22.0311,0.02,False,g,AB,1
57345.27,21.8793,0.01,False,r,AB,1
57345.3,21.9445,0.02,False,i,AB,1
57346.07,22.0084,0.02,False,z,AB,1
57349.25,22.0245,0.03,False,i,AB,1
57355.27,22.1084,0.02,False,z,AB,1
57356.08,22.2293,0.01,False,r,AB,1
57356.14,22.9511,0.04,False,g,AB,1
57356.15,22.1245,0.01,False,i,AB,1
57359.24,22.2884,0.15,False,z,AB,1
57365.15,22.4584,0.02,False,z,AB,1
57365.2,23.7911,0.05,False,g,AB,1
57365.21,22.8193,0.02,False,r,AB,1
57365.23,22.5645,0.01,False,i,AB,1
57372.13,24.1411,0.09,False,g,AB,1
57372.14,23.1693,0.03,False,r,AB,1
57372.16,22.9045,0.03,False,i,AB,1
57372.2,22.7284,0.04,False,z,AB,1
57378.05,23.5193,0.08,False,r,AB,1
57378.16,22.9584,0.05,False,z,AB,1
57385.16,25.0011,0.35,False,g,AB,1
57385.18,23.7793,0.07,False,r,AB,1
57387.12,23.6745,0.04,False,i,AB,1
57387.15,23.4384,0.06,False,z,AB,1
57389.14,24.8311,0.22,False,g,AB,1
57389.17,23.9493,0.07,False,r,AB,1
57394.12,23.5784,0.1,False,z,AB,1
57395.16,24.2993,0.16,False,r,AB,1
57397.1,24.0345,0.09,False,i,AB,1
57401.1,23.6784,0.05,False,z,AB,1
57402.11,24.5093,0.09,False,r,AB,1
57404.05,24.3445,0.11,False,i,AB,1
57406.14,23.8084,0.11,False,z,AB,1
57408.1,24.6093,0.27,False,r,AB,1
57425.1,24.5945,0.2,False,i,AB,1
57426.09,24.3584,0.21,False,z,AB,1
57426.12,24.4693,0.16,False,r,AB,1
