mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57211.36,21.8023,0.07,False,i,AB,1,i,7774.3
57211.37,21.7764,0.08,False,r,AB,1,r,6370.44
57211.38,21.491,0.09,False,g,AB,1,g,4769.9
57211.43,21.8343,0.1,False,z,AB,1,z,9154.88
57228.33,21.2943,0.03,False,z,AB,1,z,9154.88
57228.34,21.2723,0.02,False,i,AB,1,i,7774.3
57228.35,21.1964,0.01,False,r,AB,1,r,6370.44
57228.36,21.201,0.01,False,g,AB,1,g,4769.9
57249.3,21.501,0.01,False,g,AB,1,g,4769.9
57249.31,21.1564,0.01,False,r,AB,1,r,6370.44
57249.33,21.1923,0.01,False,i,AB,1,i,7774.3
57249.36,21.1643,0.01,False,z,AB,1,z,9154.88
57253.35,21.611,0.01,False,g,AB,1,g,4769.9
57253.36,21.2164,0.01,False,r,AB,1,r,6370.44
57253.38,21.2223,0.01,False,i,AB,1,i,7774.3
57255.3,21.2643,0.02,False,z,AB,1,z,9154.88
57257.33,21.821,0.02,False,g,AB,1,g,4769.9
57257.34,21.3064,0.01,False,r,AB,1,r,6370.44
57257.36,21.3023,0.01,False,i,AB,1,i,7774.3
57265.26,21.4543,0.02,False,z,AB,1,z,9154.88
57265.4,21.4723,0.02,False,i,AB,1,i,7774.3
57268.24,21.6764,0.04,False,r,AB,1,r,6370.44
57269.23,22.461,0.08,False,g,AB,1,g,4769.9
57273.35,21.6523,0.01,False,i,AB,1,i,7774.3
57273.39,21.6343,0.01,False,z,AB,1,z,9154.88
57278.22,22.0464,0.01,False,r,AB,1,r,6370.44
57278.26,23.081,0.04,False,g,AB,1,g,4769.9
57283.2,22.0123,0.02,False,i,AB,1,i,7774.3
57283.23,21.9043,0.01,False,z,AB,1,z,9154.88
57287.18,23.601,0.32,False,g,AB,1,g,4769.9
57287.24,22.5264,0.03,False,r,AB,1,r,6370.44
57287.27,22.1723,0.03,False,i,AB,1,i,7774.3
57287.31,22.0543,0.03,False,z,AB,1,z,9154.88
57291.18,22.2623,0.05,False,i,AB,1,i,7774.3
57291.24,22.6364,0.06,False,r,AB,1,r,6370.44
57291.27,22.1643,0.02,False,z,AB,1,z,9154.88
57297.26,23.0164,0.09,False,r,AB,1,r,6370.44
57297.28,22.4423,0.04,False,i,AB,1,i,7774.3
57297.32,22.3343,0.04,False,z,AB,1,z,9154.88
57301.3,23.3164,0.27,False,r,AB,1,r,6370.44
57302.16,22.4843,0.03,False,z,AB,1,z,9154.88
57303.23,24.521,0.23,False,g,AB,1,g,4769.9
57305.3,23.2864,0.12,False,r,AB,1,r,6370.44
57305.32,22.8423,0.06,False,i,AB,1,i,7774.3
57311.12,23.6164,0.08,False,r,AB,1,r,6370.44
57311.15,22.9923,0.03,False,i,AB,1,i,7774.3
57311.18,22.6843,0.03,False,z,AB,1,z,9154.88
57316.11,23.1123,0.17,False,i,AB,1,i,7774.3
57317.12,22.8443,0.05,False,z,AB,1,z,9154.88
57319.12,24.2264,0.36,False,r,AB,1,r,6370.44
57325.09,23.3423,0.11,False,i,AB,1,i,7774.3
57325.15,23.2343,0.07,False,z,AB,1,z,9154.88
57327.19,24.3664,0.12,False,r,AB,1,r,6370.44
57329.08,23.7323,0.22,False,i,AB,1,i,7774.3
57329.13,23.5843,0.11,False,z,AB,1,z,9154.88
57331.15,24.5864,0.15,False,r,AB,1,r,6370.44
57339.06,24.3623,0.2,False,i,AB,1,i,7774.3
57339.09,23.9643,0.18,False,z,AB,1,z,9154.88
57339.19,25.2864,0.25,False,r,AB,1,r,6370.44
57345.14,24.7023,0.22,False,i,AB,1,i,7774.3
57345.18,24.4643,0.18,False,z,AB,1,z,9154.88
57355.18,24.9364,0.28,False,r,AB,1,r,6370.44
57355.2,24.9623,0.23,False,i,AB,1,i,7774.3
57356.05,24.7943,0.21,False,z,AB,1,z,9154.88
57365.07,25.9164,0.32,False,r,AB,1,r,6370.44
57365.09,25.3023,0.2,False,i,AB,1,i,7774.3
57366.1,25.0043,0.29,False,z,AB,1,z,9154.88
57373.09,25.0943,0.33,False,z,AB,1,z,9154.88
57385.05,25.3523,0.34,False,i,AB,1,i,7774.3
57387.06,25.0043,0.28,False,z,AB,1,z,9154.88
57387.1,25.8664,0.33,False,r,AB,1,r,6370.44
