mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56659.28,18.4093,0.08,False,r,AB,1,r,6141.12
56660.31,18.7814,0.1,False,V,Vega,1,V,5467.57
56661.28,18.4293,0.08,False,r,AB,1,r,6141.12
56663.3,18.4493,0.08,False,r,AB,1,r,6141.12
56665.81,18.8814,0.13,False,V,Vega,1,V,5467.57
56672.19,18.6632,0.13,False,g,AB,1,g,4671.78
56672.19,18.7293,0.19,False,r,AB,1,r,6141.12
56672.19,18.7469,0.17,False,i,AB,1,i,7457.89
56686.23,18.8469,0.12,False,i,AB,1,i,7457.89
56686.23,18.8832,0.11,False,g,AB,1,g,4671.78
56686.23,18.9293,0.11,False,r,AB,1,r,6141.12
56687.28,19.2714,0.09,False,V,Vega,1,V,5467.57
56689.24,18.8469,0.12,False,i,AB,1,i,7457.89
56689.24,18.8532,0.13,False,g,AB,1,g,4671.78
56689.24,18.9393,0.14,False,r,AB,1,r,6141.12
56696.24,18.8432,0.17,False,g,AB,1,g,4671.78
56696.24,18.9469,0.12,False,i,AB,1,i,7457.89
56696.24,18.9493,0.11,False,r,AB,1,r,6141.12
56702.11,18.9232,0.16,False,g,AB,1,g,4671.78
56702.11,18.9393,0.14,False,r,AB,1,r,6141.12
56702.11,19.0969,0.15,False,i,AB,1,i,7457.89
56710.7,19.4114,0.12,False,V,Vega,1,V,5467.57
56725.16,19.4614,0.18,False,V,Vega,1,V,5467.57
56729.03,19.1693,0.14,False,r,AB,1,r,6141.12
56729.03,19.2569,0.16,False,i,AB,1,i,7457.89
56729.03,19.0832,0.18,False,g,AB,1,g,4671.78
56764.734375,19.5442,0.0949,False,g,AB,1,g,4671.78
56764.742187,19.7812,0.148,False,r,AB,1,r,6141.12
56764.746093,19.7123,0.1688,False,r,AB,1,r,6141.12
56764.75,19.6582,0.2833,False,i,AB,1,i,7457.89
56764.75,19.9139,0.3502,False,i,AB,1,i,7457.89
56767.742187,19.4736,0.0838,False,g,AB,1,g,4671.78
56767.746093,19.5727,0.088,False,g,AB,1,g,4671.78
56767.75,19.7093,0.1021,False,r,AB,1,r,6141.12
56767.753906,19.6496,0.1081,False,r,AB,1,r,6141.12
56767.757812,19.938,0.1758,False,i,AB,1,i,7457.89
56767.761718,19.6919,0.1472,False,i,AB,1,i,7457.89
56769.17,19.4132,0.12,False,g,AB,1,g,4671.78
56769.17,19.6869,0.12,False,i,AB,1,i,7457.89
56769.17,19.8293,0.14,False,r,AB,1,r,6141.12
56770.02,19.9114,0.14,False,V,Vega,1,V,5467.57
56771.04,19.8696,0.12,False,J,Vega,1,J,12399.85
56771.04,20.0028,0.12,False,H,Vega,1,H,16152.77
56771.04,20.0567,0.2,False,K,Vega,1,K,21298.53
56771.671875,19.4533,0.0665,False,g,AB,1,g,4671.78
56771.675781,19.5043,0.0973,False,g,AB,1,g,4671.78
56771.683593,19.7671,0.1163,False,r,AB,1,r,6141.12
56771.6875,19.7784,0.1163,False,r,AB,1,r,6141.12
56771.691406,19.816,0.2237,False,i,AB,1,i,7457.89
56771.691406,19.8221,0.2223,False,i,AB,1,i,7457.89
56771.699218,19.4381,0.0701,False,g,AB,1,g,4671.78
56771.703125,19.4467,0.0722,False,g,AB,1,g,4671.78
56771.707031,19.8398,0.0841,False,r,AB,1,r,6141.12
56771.710937,19.8208,0.0908,False,r,AB,1,r,6141.12
56771.714843,19.7167,0.1474,False,i,AB,1,i,7457.89
56771.71875,20.1055,0.2111,False,i,AB,1,i,7457.89
56793.93,19.7932,0.14,False,g,AB,1,g,4671.78
56793.93,19.9393,0.14,False,r,AB,1,r,6141.12
56793.93,19.9869,0.14,False,i,AB,1,i,7457.89
56796.89,19.7632,0.12,False,g,AB,1,g,4671.78
56796.89,19.9993,0.12,False,r,AB,1,r,6141.12
56796.89,20.0369,0.13,False,i,AB,1,i,7457.89
56800.88,19.8432,0.12,False,g,AB,1,g,4671.78
56800.88,20.1293,0.12,False,r,AB,1,r,6141.12
56800.88,20.3069,0.14,False,i,AB,1,i,7457.89
56804.91,19.8032,0.11,False,g,AB,1,g,4671.78
56804.91,20.2193,0.12,False,r,AB,1,r,6141.12
56804.91,20.3469,0.14,False,i,AB,1,i,7457.89
56811.96,19.8032,0.12,False,g,AB,1,g,4671.78
56811.96,20.2693,0.13,False,r,AB,1,r,6141.12
56811.96,20.4069,0.15,False,i,AB,1,i,7457.89
56894.99,21.2814,0.03,False,V,Vega,1,V,5467.57
56894.99,21.2693,0.14,False,r,AB,1,r,6141.12
56894.99,21.1412,0.09,False,R,Vega,1,R,6695.83
56894.99,21.5617,0.1,False,B,AB,1,B,4369.53
56894.99,21.4569,0.23,False,i,AB,1,i,7457.89
56894.99,21.2832,0.11,False,g,AB,1,g,4671.78
57021.3,22.2212,0.1,False,R,Vega,1,R,6695.83
57021.3,22.2332,0.13,False,g,AB,1,g,4671.78
57021.3,22.2514,0.06,False,V,Vega,1,V,5467.57
57021.3,22.2993,0.15,False,r,AB,1,r,6141.12
57021.3,22.4317,0.15,False,B,AB,1,B,4369.53
57021.3,22.6769,0.19,False,i,AB,1,i,7457.89
57049.3,22.7714,0.1,False,V,Vega,1,V,5467.57
57049.3,22.7132,0.15,False,g,AB,1,g,4671.78
57049.3,22.7612,0.15,False,R,Vega,1,R,6695.83
57049.3,22.9217,0.13,False,B,AB,1,B,4369.53
57049.3,23.0369,0.25,False,i,AB,1,i,7457.89
57049.3,22.8393,0.19,False,r,AB,1,r,6141.12
57071.2,23.6617,0.2,False,B,AB,1,B,4369.53
57071.2,23.6712,0.19,False,R,Vega,1,R,6695.83
57071.2,23.2414,0.16,False,V,Vega,1,V,5467.57
57071.2,23.3732,0.19,False,g,AB,1,g,4671.78
57071.2,23.6393,0.22,False,r,AB,1,r,6141.12
57071.2,23.9169,0.32,False,i,AB,1,i,7457.89
