mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57249.37546,21.9558,,True,I,Vega,0,I,7931.81
57253.38198,21.9558,,True,I,Vega,0,I,7931.81
57263.37335,21.8118,0.436,False,I,Vega,1,I,7931.81
57266.39481,21.9518,0.55,False,I,Vega,1,I,7931.81
57269.38629,21.3158,0.28,False,I,Vega,1,I,7931.81
57274.35437,20.9798,0.169,False,I,Vega,1,I,7931.81
57283.26466,21.0458,0.182,False,I,Vega,1,I,7931.81
57292.27288,20.6728,0.248,False,I,Vega,1,I,7931.81
57297.2395,20.5318,0.161,False,I,Vega,1,I,7931.81
57303.27741,20.3188,0.115,False,I,Vega,1,I,7931.81
57311.18914,20.1638,0.063,False,I,Vega,1,I,7931.81
57318.2042,20.2128,0.136,False,I,Vega,1,I,7931.81
57325.19133,19.9348,0.088,False,I,Vega,1,I,7931.81
57339.17226,19.7418,0.05,False,I,Vega,1,I,7931.81
57342.17638,20.22,0.02,False,r,AB,1,r,6096.67
57342.17638,18.1,,True,K,AB,0,K,21550.23
57342.17638,20.49,0.04,False,i,AB,1,i,7604.39
57342.17638,19.9,,True,H,AB,0,H,16329.48
57342.17638,20.69,0.07,False,z,AB,1,z,8927.54
57342.17638,20.92,0.46,False,J,AB,1,J,12245.68
57342.17638,20.27,0.02,False,g,AB,1,g,4502.97
57342.20533,19.9498,0.071,False,I,Vega,1,I,7931.81
57345.17883,20.2498,0.132,False,I,Vega,1,I,7931.81
57345.2006,20.0328,0.078,False,I,Vega,1,I,7931.81
57346.15753,20.0288,0.09,False,I,Vega,1,I,7931.81
57352.19746,20.1138,0.196,False,I,Vega,1,I,7931.81
57353.23551,20.1628,0.158,False,I,Vega,1,I,7931.81
57355.17564,19.8668,0.071,False,I,Vega,1,I,7931.81
57356.18778,19.9058,0.076,False,I,Vega,1,I,7931.81
57357.19775,19.9888,0.082,False,I,Vega,1,I,7931.81
57358.14145,19.9218,0.081,False,I,Vega,1,I,7931.81
57360.11559,19.8788,0.065,False,I,Vega,1,I,7931.81
57361.15279,19.9978,0.078,False,I,Vega,1,I,7931.81
57362.28369,19.8318,0.054,False,I,Vega,1,I,7931.81
57363.23258,19.8558,0.051,False,I,Vega,1,I,7931.81
57364.19446,19.8638,0.06,False,I,Vega,1,I,7931.81
57365.14299,19.8888,0.048,False,I,Vega,1,I,7931.81
57366.13242,19.8098,0.066,False,I,Vega,1,I,7931.81
57367.11859,19.8668,0.06,False,I,Vega,1,I,7931.81
57371.15593,19.8308,0.062,False,I,Vega,1,I,7931.81
57372.12268,19.7798,0.057,False,I,Vega,1,I,7931.81
57373.10641,19.8998,0.081,False,I,Vega,1,I,7931.81
57374.14856,19.7968,0.055,False,I,Vega,1,I,7931.81
57375.14161,19.7318,0.07,False,I,Vega,1,I,7931.81
57376.11857,19.8168,0.089,False,I,Vega,1,I,7931.81
57377.14419,19.8378,0.061,False,I,Vega,1,I,7931.81
57378.13773,19.9398,0.078,False,I,Vega,1,I,7931.81
57380.13068,19.7268,0.08,False,I,Vega,1,I,7931.81
57381.10192,19.9028,0.081,False,I,Vega,1,I,7931.81
57381.17807,19.7528,0.09,False,I,Vega,1,I,7931.81
57382.16103,19.8648,0.092,False,I,Vega,1,I,7931.81
57383.13795,19.9768,0.089,False,I,Vega,1,I,7931.81
57384.06488,19.9098,0.068,False,I,Vega,1,I,7931.81
57385.10827,19.8998,0.057,False,I,Vega,1,I,7931.81
57386.10817,20.1468,0.077,False,I,Vega,1,I,7931.81
57387.07617,19.9508,0.067,False,I,Vega,1,I,7931.81
57389.12347,19.9418,0.061,False,I,Vega,1,I,7931.81
57390.09257,19.9288,0.074,False,I,Vega,1,I,7931.81
57394.08306,19.9618,0.079,False,I,Vega,1,I,7931.81
57396.10805,19.9658,0.084,False,I,Vega,1,I,7931.81
57398.07525,20.0728,0.079,False,I,Vega,1,I,7931.81
57399.13215,20.0178,0.084,False,I,Vega,1,I,7931.81
57401.09731,20.2428,0.072,False,I,Vega,1,I,7931.81
57405.10442,20.0958,0.09,False,I,Vega,1,I,7931.81
57408.1001,20.2368,0.111,False,I,Vega,1,I,7931.81
57409.08076,20.0328,0.088,False,I,Vega,1,I,7931.81
57412.09771,19.9848,0.124,False,I,Vega,1,I,7931.81
57417.07387,20.2138,0.077,False,I,Vega,1,I,7931.81
57425.06981,20.6448,0.136,False,I,Vega,1,I,7931.81
57427.07113,20.2408,0.081,False,I,Vega,1,I,7931.81
57432.1008,20.1778,0.091,False,I,Vega,1,I,7931.81
57434.08186,20.4468,0.102,False,I,Vega,1,I,7931.81
57436.04153,20.4478,0.117,False,I,Vega,1,I,7931.81
57437.06733,20.5568,0.123,False,I,Vega,1,I,7931.81
57440.03303,20.2348,0.11,False,I,Vega,1,I,7931.81
