mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55388.6,21.49,0.07,False,z,AB,1,z,8668.36
55389.5,21.23,0.04,False,r,AB,1,r,6155.47
55389.5,21.39,0.04,False,g,AB,1,g,4810.16
55398.5,21.2,0.08,False,r,AB,1,r,6155.47
55398.5,21.46,0.13,False,g,AB,1,g,4810.16
55400.6,21.76,0.29,False,z,AB,1,z,8668.36
55408.5,21.34,0.07,False,i,AB,1,i,7503.03
55409.5,21.45,0.06,False,z,AB,1,z,8668.36
55410.5,21.32,0.07,False,r,AB,1,r,6155.47
55410.5,22.1,0.12,False,g,AB,1,g,4810.16
55412.5,21.61,0.08,False,z,AB,1,z,8668.36
55413.4,21.36,0.04,False,r,AB,1,r,6155.47
55413.5,21.89,0.08,False,g,AB,1,g,4810.16
55414.5,21.45,0.04,False,i,AB,1,i,7503.03
55415.6,21.49,0.09,False,z,AB,1,z,8668.36
55416.5,21.44,0.03,False,r,AB,1,r,6155.47
55416.5,22.35,0.08,False,g,AB,1,g,4810.16
55417.5,21.47,0.04,False,i,AB,1,i,7503.03
55422.5,21.64,0.06,False,r,AB,1,r,6155.47
55422.5,22.43,0.14,False,g,AB,1,g,4810.16
55423.5,21.68,0.05,False,i,AB,1,i,7503.03
55424.5,21.79,0.11,False,z,AB,1,z,8668.36
55425.4,21.79,0.06,False,r,AB,1,r,6155.47
55425.4,22.53,0.14,False,g,AB,1,g,4810.16
55426.5,21.65,0.05,False,i,AB,1,i,7503.03
55427.5,21.78,0.06,False,z,AB,1,z,8668.36
55428.5,22.0,0.07,False,r,AB,1,r,6155.47
55428.5,22.99,0.2,False,g,AB,1,g,4810.16
55429.5,21.85,0.06,False,i,AB,1,i,7503.03
55436.4,22.07,0.15,False,z,AB,1,z,8668.36
55437.5,22.34,0.24,False,r,AB,1,r,6155.47
55437.5,22.75,,True,g,AB,0,g,4810.16
55438.5,22.16,0.1,False,i,AB,1,i,7503.03
55439.3,21.93,0.06,False,z,AB,1,z,8668.36
55440.5,22.49,0.12,False,r,AB,1,r,6155.47
55440.5,23.86,,True,g,AB,0,g,4810.16
55441.5,22.17,0.06,False,i,AB,1,i,7503.03
55442.5,22.04,0.09,False,z,AB,1,z,8668.36
55443.5,22.77,0.12,False,r,AB,1,r,6155.47
55443.5,23.9,,True,g,AB,0,g,4810.16
55444.4,22.38,0.1,False,i,AB,1,i,7503.03
55445.4,22.19,0.1,False,z,AB,1,z,8668.36
55446.5,22.88,0.21,False,r,AB,1,r,6155.47
55446.5,23.79,,True,g,AB,0,g,4810.16
55447.4,22.43,0.08,False,i,AB,1,i,7503.03
55448.4,22.34,0.12,False,z,AB,1,z,8668.36
55449.4,23.17,0.17,False,r,AB,1,r,6155.47
55449.4,23.77,,True,g,AB,0,g,4810.16
55450.4,22.49,0.14,False,i,AB,1,i,7503.03
55451.5,22.64,0.27,False,z,AB,1,z,8668.36
55452.4,23.19,0.14,False,r,AB,1,r,6155.47
55452.4,23.7,,True,g,AB,0,g,4810.16
55453.4,22.64,0.09,False,i,AB,1,i,7503.03
55454.4,22.56,0.15,False,z,AB,1,z,8668.36
55455.4,23.64,,True,g,AB,0,g,4810.16
55456.4,22.68,0.15,False,i,AB,1,i,7503.03
55457.3,22.59,0.2,False,z,AB,1,z,8668.36
55458.3,22.03,,True,g,AB,0,g,4810.16
55458.3,22.81,,True,r,AB,0,r,6155.47
55465.5,23.04,0.23,False,i,AB,1,i,7503.03
55466.4,22.9,0.25,False,z,AB,1,z,8668.36
55467.3,23.62,,True,g,AB,0,g,4810.16
55467.4,23.59,,True,r,AB,0,r,6155.47
55473.3,23.55,,True,g,AB,0,g,4810.16
55473.3,23.61,,True,r,AB,0,r,6155.47
55475.2,22.97,0.3,False,z,AB,1,z,8668.36
55479.2,23.57,,True,g,AB,0,g,4810.16
55479.2,23.77,,True,r,AB,0,r,6155.47
55480.2,23.39,,True,i,AB,0,i,7503.03
55481.2,23.21,,True,z,AB,0,z,8668.36
55482.2,23.73,,True,g,AB,0,g,4810.16
55482.3,23.76,,True,r,AB,0,r,6155.47
55486.2,22.92,,True,i,AB,0,i,7503.03
55496.3,22.59,,True,z,AB,0,z,8668.36
55498.2,24.16,,True,i,AB,0,i,7503.03
55499.2,23.24,,True,z,AB,0,z,8668.36
55500.2,23.8,,True,g,AB,0,g,4810.16
55500.2,23.97,,True,r,AB,0,r,6155.47
55501.4,23.78,,True,i,AB,0,i,7503.03
55502.3,23.38,,True,z,AB,0,z,8668.36
55503.3,23.94,,True,r,AB,0,r,6155.47
55503.3,24.01,,True,g,AB,0,g,4810.16
55507.3,23.99,,True,i,AB,0,i,7503.03
55508.2,22.88,,True,z,AB,0,z,8668.36
55510.2,23.81,0.34,False,i,AB,1,i,7503.03
55512.3,22.78,,True,g,AB,0,g,4810.16
55530.2,22.94,,True,g,AB,0,g,4810.16
55530.2,23.24,,True,r,AB,0,r,6155.47
55534.3,23.88,,True,i,AB,0,i,7503.03
55535.2,23.15,,True,z,AB,0,z,8668.36
55536.2,23.87,,True,r,AB,0,r,6155.47
55536.3,23.05,,True,g,AB,0,g,4810.16
55547.2,23.76,,True,z,AB,0,z,8668.36
