mjd,mag,mag_err,UL,filter,System,detected
55561.6,21.53,0.08,False,i,AB,1
55563.6,21.43,0.08,False,r,AB,1
55563.6,21.49,0.07,False,g,AB,1
55570.6,21.09,0.06,False,i,AB,1
55572.6,20.89,0.05,False,r,AB,1
55572.6,21.03,0.04,False,g,AB,1
55576.6,20.75,0.05,False,i,AB,1
55582.4,20.89,0.25,False,y,AB,1
55583.5,20.76,0.05,False,z,AB,1
55583.5,20.78,0.05,False,z,AB,1
55584.6,20.53,0.04,False,r,AB,1
55584.6,20.57,0.06,False,g,AB,1
55585.4,20.53,0.04,False,i,AB,1
55586.6,20.69,0.05,False,z,AB,1
55586.6,20.71,0.05,False,z,AB,1
55587.6,20.47,0.03,False,r,AB,1
55587.6,20.61,0.02,False,g,AB,1
55588.6,20.48,0.03,False,i,AB,1
55588.6,20.49,0.03,False,i,AB,1
55589.6,20.71,0.05,False,z,AB,1
55590.6,20.44,0.03,False,r,AB,1
55590.6,20.45,0.03,False,r,AB,1
55590.6,20.52,0.02,False,g,AB,1
55590.6,20.52,0.03,False,g,AB,1
55592.6,20.6,0.04,False,z,AB,1
55593.6,20.34,0.02,False,r,AB,1
55593.6,20.34,0.02,False,r,AB,1
55593.6,20.56,0.02,False,g,AB,1
55594.5,20.38,0.03,False,i,AB,1
55595.5,20.54,0.04,False,z,AB,1
55595.5,20.54,0.04,False,z,AB,1
55596.5,20.25,0.03,False,r,AB,1
55596.5,20.44,0.02,False,g,AB,1
55597.5,20.43,0.03,False,i,AB,1
55602.4,20.23,0.02,False,r,AB,1
55602.4,20.43,0.03,False,g,AB,1
55608.4,20.38,0.1,False,y,AB,1
55608.4,20.41,0.08,False,y,AB,1
55610.5,20.42,0.06,False,y,AB,1
55610.5,20.5,0.06,False,y,AB,1
55613.4,20.38,0.04,False,z,AB,1
55613.4,20.41,0.04,False,z,AB,1
55615.5,20.18,0.03,False,i,AB,1
55615.5,20.2,0.04,False,i,AB,1
55629.4,20.19,0.02,False,r,AB,1
55629.4,20.52,0.02,False,g,AB,1
55631.4,20.43,0.04,False,z,AB,1
55632.5,20.27,0.02,False,r,AB,1
55632.5,20.57,0.02,False,g,AB,1
55633.4,20.27,0.04,False,i,AB,1
55633.4,20.31,0.03,False,i,AB,1
55634.3,20.41,0.04,False,z,AB,1
55634.3,20.43,0.04,False,z,AB,1
55635.3,20.67,0.03,False,g,AB,1
55635.3,20.67,0.03,False,g,AB,1
55635.4,20.23,0.02,False,r,AB,1
55636.4,20.27,0.04,False,i,AB,1
55637.4,20.23,0.15,False,y,AB,1
55641.5,20.5,0.09,False,y,AB,1
55645.4,20.35,0.03,False,i,AB,1
55646.4,20.5,0.04,False,z,AB,1
55649.5,20.58,0.06,False,z,AB,1
55650.5,20.5,0.03,False,r,AB,1
55650.5,20.98,0.03,False,g,AB,1
55651.5,20.41,0.04,False,i,AB,1
55651.5,20.42,0.03,False,i,AB,1
55652.5,20.59,0.08,False,z,AB,1
55653.5,20.5,0.03,False,r,AB,1
55653.5,21.1,0.03,False,g,AB,1
55662.3,20.7,0.04,False,r,AB,1
55662.3,21.36,0.05,False,g,AB,1
55662.3,21.37,0.05,False,g,AB,1
55663.3,20.61,0.03,False,i,AB,1
55663.3,20.61,0.04,False,i,AB,1
55665.3,20.8,0.05,False,r,AB,1
55665.3,20.82,0.04,False,r,AB,1
55665.3,21.57,0.09,False,g,AB,1
55665.3,21.61,0.09,False,g,AB,1
55666.3,20.58,0.04,False,i,AB,1
55667.4,20.75,0.2,False,y,AB,1
55668.4,20.5,0.12,False,y,AB,1
55669.4,20.69,0.1,False,y,AB,1
55671.4,20.64,0.1,False,y,AB,1
55671.4,20.69,0.12,False,y,AB,1
55672.3,20.68,0.04,False,i,AB,1
55672.3,20.71,0.04,False,i,AB,1
55673.3,20.76,0.05,False,z,AB,1
55673.3,20.77,0.05,False,z,AB,1
55674.3,20.98,0.04,False,r,AB,1
55674.3,20.99,0.06,False,r,AB,1
55674.3,21.75,0.05,False,g,AB,1
55674.3,21.85,0.06,False,g,AB,1
55675.3,20.78,0.04,False,i,AB,1
55675.3,20.8,0.04,False,i,AB,1
55676.3,20.79,0.08,False,z,AB,1
55677.4,21.06,0.04,False,r,AB,1
55677.4,21.07,0.05,False,r,AB,1
55677.4,21.87,0.05,False,g,AB,1
55680.3,21.11,0.05,False,r,AB,1
55680.3,22.09,0.08,False,g,AB,1
55681.3,20.85,0.05,False,i,AB,1
55682.2,20.86,0.06,False,z,AB,1
55692.3,21.27,0.06,False,r,AB,1
55692.3,21.29,0.06,False,r,AB,1
55692.3,22.23,0.13,False,g,AB,1
55692.3,22.31,0.14,False,g,AB,1
55694.3,20.91,0.08,False,z,AB,1
55697.3,20.81,0.08,False,y,AB,1
55697.3,20.84,0.08,False,y,AB,1
55698.3,20.7,,True,y,AB,0
55703.3,20.88,0.07,False,z,AB,1
55705.3,20.94,0.06,False,i,AB,1
55705.3,20.99,0.07,False,i,AB,1
55706.3,20.94,0.09,False,z,AB,1
55710.3,21.4,0.06,False,r,AB,1
55710.3,22.43,0.08,False,g,AB,1
55710.3,22.44,0.08,False,g,AB,1
55711.3,21.07,0.06,False,i,AB,1
55711.3,21.08,0.06,False,i,AB,1
55712.3,21.06,0.06,False,z,AB,1
55712.3,21.07,0.08,False,z,AB,1
55718.3,21.07,0.07,False,z,AB,1
55718.3,21.09,0.08,False,z,AB,1
55719.3,21.73,0.09,False,r,AB,1
55719.3,21.78,0.09,False,r,AB,1
55719.3,22.77,0.16,False,g,AB,1
55719.3,22.78,0.17,False,g,AB,1
55720.3,21.22,0.11,False,i,AB,1
55720.3,21.28,0.11,False,i,AB,1
55722.3,21.75,0.14,False,r,AB,1
55722.3,22.89,,True,g,AB,0
55723.3,21.22,0.07,False,i,AB,1
55725.3,20.77,,True,y,AB,0
55726.3,21.23,0.18,False,y,AB,1
55727.3,21.56,0.25,False,y,AB,1
55737.9,22.6278,0.1,False,g,AB,1
55737.92,21.8541,0.09,False,r,AB,1
55741.89,22.7178,0.14,False,g,AB,1
55741.91,21.7741,0.08,False,r,AB,1
55741.92,21.3381,0.06,False,i,AB,1
55920.1,23.6642,0.17,False,r,AB,1
55925.9,22.5906,0.14,False,z,AB,1
55955.1,23.4382,0.07,False,i,AB,1
55958.6,23.1606,0.13,False,z,AB,1
55958.6,24.6084,,True,g,AB,0
55978.5,23.5982,0.18,False,i,AB,1
56003.5,24.4242,,True,r,AB,0
56017.3,23.6082,0.19,False,i,AB,1
