mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55878.6,22.26,0.09,False,z,AB,1,z,8668.36
55879.6,22.05,0.06,False,i,AB,1,i,7503.03
55883.6,21.89,0.22,False,z,AB,1,z,8668.36
55885.6,21.95,0.08,False,i,AB,1,i,7503.03
55888.5,21.9,0.06,False,i,AB,1,i,7503.03
55888.5,22.13,0.09,False,r,AB,1,r,6155.47
55889.6,22.21,0.1,False,z,AB,1,z,8668.36
55889.6,22.8,0.17,False,g,AB,1,g,4810.16
55890.6,22.02,0.05,False,i,AB,1,i,7503.03
55891.5,22.07,0.09,False,z,AB,1,z,8668.36
55892.5,22.14,0.07,False,r,AB,1,r,6155.47
55892.5,23.98,,True,g,AB,0,g,4810.16
55893.6,21.97,0.05,False,i,AB,1,i,7503.03
55894.5,21.91,0.03,False,z,AB,1,z,8668.36
55895.6,22.27,0.07,False,r,AB,1,r,6155.47
55895.6,22.97,0.15,False,g,AB,1,g,4810.16
55897.6,22.26,0.11,False,z,AB,1,z,8668.36
55899.6,22.07,0.13,False,z,AB,1,z,8668.36
55900.6,22.15,0.06,False,i,AB,1,i,7503.03
55901.6,22.08,0.09,False,z,AB,1,z,8668.36
55910.6,22.23,0.13,False,z,AB,1,z,8668.36
55911.6,22.76,0.15,False,r,AB,1,r,6155.47
55911.6,23.19,,True,g,AB,0,g,4810.16
55913.5,22.17,0.18,False,z,AB,1,z,8668.36
55915.4,21.89,0.24,False,i,AB,1,i,7503.03
55929.4,22.61,0.16,False,z,AB,1,z,8668.36
55931.6,22.52,0.21,False,z,AB,1,z,8668.36
55939.5,23.15,,True,i,AB,0,i,7503.03
55940.5,22.63,0.14,False,z,AB,1,z,8668.36
55942.4,22.66,0.27,False,i,AB,1,i,7503.03
55945.6,22.65,0.08,False,i,AB,1,i,7503.03
55946.6,22.77,,True,z,AB,0,z,8668.36
55947.4,23.96,0.36,False,r,AB,1,r,6155.47
55947.4,23.97,,True,g,AB,0,g,4810.16
55948.4,23.25,0.32,False,i,AB,1,i,7503.03
55948.4,23.56,,True,r,AB,0,r,6155.47
55950.6,23.11,0.12,False,i,AB,1,i,7503.03
55951.6,22.89,0.32,False,z,AB,1,z,8668.36
55952.6,23.77,0.21,False,r,AB,1,r,6155.47
55952.6,23.88,,True,g,AB,0,g,4810.16
55953.5,22.36,0.23,False,i,AB,1,i,7503.03
55954.4,22.93,,True,z,AB,0,z,8668.36
55955.3,23.72,,True,g,AB,0,g,4810.16
55955.3,24.32,,True,r,AB,0,r,6155.47
55956.3,23.02,0.2,False,i,AB,1,i,7503.03
55957.4,23.01,0.16,False,z,AB,1,z,8668.36
55959.5,22.34,0.28,False,z,AB,1,z,8668.36
55960.4,23.2,0.15,False,i,AB,1,i,7503.03
55961.3,23.56,,True,z,AB,0,z,8668.36
55967.5,23.41,0.29,False,z,AB,1,z,8668.36
55968.3,23.11,0.14,False,i,AB,1,i,7503.03
55969.5,23.27,0.29,False,z,AB,1,z,8668.36
55970.4,23.77,,True,g,AB,0,g,4810.16
55970.4,24.0,,True,r,AB,0,r,6155.47
55972.3,23.46,0.25,False,z,AB,1,z,8668.36
55978.3,22.73,,True,z,AB,0,z,8668.36
55978.3,23.52,,True,g,AB,0,g,4810.16
55979.3,23.39,,True,i,AB,0,i,7503.03
55983.3,23.59,,True,z,AB,0,z,8668.36
55984.3,23.87,,True,g,AB,0,g,4810.16
55984.3,24.39,,True,r,AB,0,r,6155.47
55985.3,23.97,,True,i,AB,0,i,7503.03
55997.3,23.46,,True,z,AB,0,z,8668.36
55998.2,23.22,,True,i,AB,0,i,7503.03
55999.3,22.87,,True,z,AB,0,z,8668.36
56000.4,24.07,,True,r,AB,0,r,6155.47
56000.4,24.27,,True,g,AB,0,g,4810.16
56002.3,23.11,,True,z,AB,0,z,8668.36
56005.3,23.83,,True,z,AB,0,z,8668.36
56006.3,23.62,,True,g,AB,0,g,4810.16
56006.4,24.28,,True,r,AB,0,r,6155.47
56015.3,24.64,,True,i,AB,0,i,7503.03
56016.3,22.89,,True,z,AB,0,z,8668.36
56047.3,22.97,,True,z,AB,0,z,8668.36
56049.3,23.39,,True,z,AB,0,z,8668.36
56055.3,22.53,,True,z,AB,0,z,8668.36
56056.3,22.51,,True,z,AB,0,z,8668.36
