mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55595.7,23.49,,True,z,AB,0,z,8922.78
55602.6,23.82,0.34,False,r,AB,1,r,6141.12
55602.6,23.93,,True,g,AB,0,g,4671.78
55615.6,22.51,,True,i,AB,0,i,7457.89
55672.5,22.36,0.12,False,i,AB,1,i,7457.89
55673.6,22.07,0.12,False,z,AB,1,z,8922.78
55674.5,22.93,0.18,False,r,AB,1,r,6141.12
55674.5,23.73,,True,g,AB,0,g,4671.78
55675.6,22.18,0.09,False,i,AB,1,i,7457.89
55676.6,21.89,0.3,False,z,AB,1,z,8922.78
55677.6,22.59,0.15,False,r,AB,1,r,6141.12
55677.6,23.95,,True,g,AB,0,g,4671.78
55678.6,22.16,0.12,False,i,AB,1,i,7457.89
55693.4,21.85,,True,i,AB,0,i,7457.89
55694.5,21.12,,True,z,AB,0,z,8922.78
55701.6,22.93,,True,g,AB,0,g,4671.78
55701.6,23.12,0.31,False,r,AB,1,r,6141.12
55702.5,22.09,0.09,False,i,AB,1,i,7457.89
55708.4,22.1,0.13,False,i,AB,1,i,7457.89
55710.5,22.82,0.14,False,r,AB,1,r,6141.12
55710.5,23.89,0.32,False,g,AB,1,g,4671.78
55711.5,22.32,0.07,False,i,AB,1,i,7457.89
55714.4,22.19,0.06,False,i,AB,1,i,7457.89
55720.0,22.28,0.12,False,i,AB,1,i,7457.89
55720.0,22.8,0.11,False,r,AB,1,r,6141.12
55720.0,24.07,0.26,False,g,AB,1,g,4671.78
55722.4,22.64,,True,r,AB,0,r,6141.12
55722.4,22.71,,True,g,AB,0,g,4671.78
55723.4,22.33,0.08,False,i,AB,1,i,7457.89
55724.4,21.82,0.16,False,z,AB,1,z,8922.78
55735.5,22.08,0.25,False,i,AB,1,i,7457.89
55736.5,22.25,0.12,False,z,AB,1,z,8922.78
55737.4,23.31,,True,r,AB,0,r,6141.12
55737.4,23.97,,True,g,AB,0,g,4671.78
55738.4,23.37,,True,i,AB,0,i,7457.89
55739.5,22.21,0.23,False,z,AB,1,z,8922.78
55740.4,22.43,,True,r,AB,0,r,6141.12
55740.4,22.85,,True,g,AB,0,g,4671.78
55741.5,22.78,0.15,False,i,AB,1,i,7457.89
55742.3,22.18,0.1,False,z,AB,1,z,8922.78
55743.3,23.17,0.22,False,r,AB,1,r,6141.12
55743.3,23.73,,True,g,AB,0,g,4671.78
55744.3,22.69,0.12,False,i,AB,1,i,7457.89
55745.3,22.22,0.1,False,z,AB,1,z,8922.78
55746.3,23.55,0.25,False,r,AB,1,r,6141.12
55746.3,24.17,,True,g,AB,0,g,4671.78
55747.3,22.63,0.09,False,i,AB,1,i,7457.89
55748.3,22.34,0.1,False,z,AB,1,z,8922.78
55748.9,22.15,0.15,False,z,AB,1,z,8922.78
55748.9,22.54,0.11,False,i,AB,1,i,7457.89
55748.9,23.83,0.11,False,r,AB,1,r,6141.12
55748.9,24.67,,True,g,AB,0,g,4671.78
55751.3,22.29,0.16,False,z,AB,1,z,8922.78
55752.3,23.05,,True,g,AB,0,g,4671.78
55752.3,23.49,,True,r,AB,0,r,6141.12
55753.3,22.81,0.1,False,i,AB,1,i,7457.89
55754.3,22.27,0.11,False,z,AB,1,z,8922.78
55760.3,22.32,0.16,False,z,AB,1,z,8922.78
55761.3,23.76,,True,r,AB,0,r,6141.12
55761.3,23.93,,True,g,AB,0,g,4671.78
55762.3,22.97,0.15,False,i,AB,1,i,7457.89
55763.3,22.43,0.19,False,z,AB,1,z,8922.78
55764.3,22.78,,True,r,AB,0,r,6141.12
55764.3,23.38,,True,g,AB,0,g,4671.78
55765.3,22.53,0.26,False,i,AB,1,i,7457.89
55766.3,22.49,0.26,False,z,AB,1,z,8922.78
55767.3,23.85,,True,r,AB,0,r,6141.12
55767.3,23.99,,True,g,AB,0,g,4671.78
55768.3,22.87,0.11,False,i,AB,1,i,7457.89
55769.3,22.45,0.13,False,z,AB,1,z,8922.78
55770.3,23.74,,True,r,AB,0,r,6141.12
55770.3,23.91,,True,g,AB,0,g,4671.78
55771.3,22.95,0.31,False,i,AB,1,i,7457.89
55773.3,23.67,,True,r,AB,0,r,6141.12
55773.3,23.69,,True,g,AB,0,g,4671.78
55774.3,23.02,0.11,False,i,AB,1,i,7457.89
55775.3,22.5,0.12,False,z,AB,1,z,8922.78
55776.3,23.97,,True,r,AB,0,r,6141.12
55776.3,24.02,,True,g,AB,0,g,4671.78
55777.3,23.07,0.14,False,i,AB,1,i,7457.89
55778.3,22.47,0.19,False,z,AB,1,z,8922.78
55779.3,22.99,,True,g,AB,0,g,4671.78
55779.3,23.64,,True,r,AB,0,r,6141.12
55789.3,23.06,0.17,False,i,AB,1,i,7457.89
55790.3,22.69,0.13,False,z,AB,1,z,8922.78
55791.3,23.87,,True,r,AB,0,r,6141.12
55791.3,23.97,,True,g,AB,0,g,4671.78
55792.3,23.12,0.18,False,i,AB,1,i,7457.89
55793.3,22.77,0.2,False,z,AB,1,z,8922.78
55794.3,23.92,,True,g,AB,0,g,4671.78
55794.3,23.95,,True,r,AB,0,r,6141.12
55795.3,23.53,0.26,False,i,AB,1,i,7457.89
55796.3,22.82,0.2,False,z,AB,1,z,8922.78
55797.3,23.95,,True,r,AB,0,r,6141.12
55797.3,24.02,,True,g,AB,0,g,4671.78
55799.2,22.71,0.31,False,z,AB,1,z,8922.78
55800.2,22.87,,True,g,AB,0,g,4671.78
55800.3,22.26,,True,r,AB,0,r,6141.12
55801.3,23.11,0.28,False,i,AB,1,i,7457.89
55802.2,23.05,0.28,False,z,AB,1,z,8922.78
55803.3,23.71,,True,r,AB,0,r,6141.12
