mjd,mag,mag_err,UL,filter,System,detected
56323.6,22.21,0.13,False,i,AB,1
56324.6,21.9,0.11,False,z,AB,1
56325.6,22.83,0.21,False,r,AB,1
56325.6,23.42,,True,g,AB,0
56326.6,22.23,0.08,False,i,AB,1
56328.6,22.68,0.12,False,r,AB,1
56328.6,23.97,,True,g,AB,0
56331.6,22.7,0.11,False,r,AB,1
56331.6,23.5,0.2,False,g,AB,1
56332.6,22.24,0.06,False,i,AB,1
56332.6,22.76,0.09,False,r,AB,1
56334.5,22.13,0.08,False,i,AB,1
56336.6,23.07,0.11,False,r,AB,1
56336.6,24.45,0.31,False,g,AB,1
56337.6,22.35,0.08,False,i,AB,1
56338.6,21.98,0.07,False,z,AB,1
56348.6,22.37,0.26,False,z,AB,1
56351.5,22.17,0.11,False,z,AB,1
56352.5,22.65,0.22,False,i,AB,1
56353.5,22.07,0.13,False,z,AB,1
56354.6,23.27,0.35,False,r,AB,1
56354.6,23.52,0.35,False,g,AB,1
56355.5,22.46,0.09,False,i,AB,1
56356.5,22.08,0.06,False,z,AB,1
56357.6,23.17,0.2,False,r,AB,1
56357.6,23.83,,True,g,AB,0
56358.6,22.42,0.09,False,i,AB,1
56359.6,22.11,0.09,False,z,AB,1
56364.6,22.17,0.12,False,z,AB,1
56369.4,22.81,0.17,False,i,AB,1
56370.4,22.36,0.06,False,z,AB,1
56371.5,23.65,0.25,False,r,AB,1
56371.5,23.86,,True,g,AB,0
56383.5,22.48,0.1,False,z,AB,1
56384.5,23.64,,True,r,AB,0
56384.5,23.79,,True,g,AB,0
56385.5,23.1,0.16,False,i,AB,1
56386.3,22.92,0.17,False,z,AB,1
56387.5,23.27,0.28,False,r,AB,1
56387.5,23.7,,True,g,AB,0
56388.5,23.27,0.26,False,i,AB,1
56389.5,22.64,0.17,False,z,AB,1
56390.4,22.96,0.27,False,r,AB,1
56390.4,23.42,,True,g,AB,0
56391.4,23.16,0.18,False,i,AB,1
56392.3,22.6,0.16,False,z,AB,1
56393.3,23.14,0.15,False,i,AB,1
56394.4,22.73,0.22,False,z,AB,1
56396.5,23.24,0.34,False,i,AB,1
56397.4,22.96,0.29,False,z,AB,1
56398.5,23.49,,True,g,AB,0
56398.5,23.53,0.28,False,r,AB,1
56399.4,23.24,0.19,False,i,AB,1
56400.4,22.48,0.26,False,z,AB,1
56401.3,23.57,,True,g,AB,0
56401.3,23.69,,True,r,AB,0
56402.3,22.94,0.26,False,z,AB,1
56403.4,23.24,0.35,False,i,AB,1
56404.3,22.46,0.27,False,z,AB,1
56410.4,22.66,0.16,False,z,AB,1
56411.4,22.39,,True,i,AB,0
56412.4,23.04,0.28,False,z,AB,1
56414.4,23.44,0.31,False,i,AB,1
56415.4,22.86,0.15,False,z,AB,1
56416.4,23.54,,True,g,AB,0
56416.4,24.07,,True,r,AB,0
56417.4,23.27,0.22,False,i,AB,1
56420.4,23.46,0.18,False,i,AB,1
56420.4,24.09,,True,r,AB,0
56421.3,24.0,,True,g,AB,0
56421.4,22.96,0.19,False,z,AB,1
56422.3,23.5,0.2,False,i,AB,1
56423.4,23.2,0.24,False,z,AB,1
56427.3,23.64,,True,g,AB,0
56427.3,23.83,,True,r,AB,0
56429.3,23.21,0.22,False,z,AB,1
56430.4,23.45,,True,g,AB,0
56430.4,23.81,,True,r,AB,0
56432.3,23.26,0.24,False,i,AB,1
56443.3,24.22,,True,r,AB,0
56443.3,24.42,,True,g,AB,0
56444.3,23.68,0.24,False,i,AB,1
56447.3,23.96,0.26,False,i,AB,1
56450.3,23.18,,True,r,AB,0
56450.3,23.47,,True,i,AB,0
56451.3,23.65,,True,z,AB,0
56451.3,23.81,,True,g,AB,0
56452.3,23.52,0.25,False,i,AB,1
56453.3,23.27,,True,z,AB,0
56455.3,24.13,,True,i,AB,0
56456.3,23.45,,True,z,AB,0
56458.3,23.9,,True,i,AB,0
56459.3,23.23,0.31,False,z,AB,1
56460.3,23.72,,True,r,AB,0
56460.3,23.9,,True,g,AB,0
56461.3,23.69,0.34,False,z,AB,1
56462.3,23.72,0.28,False,i,AB,1
56463.3,23.61,0.33,False,z,AB,1
56478.3,23.61,,True,r,AB,0
56478.3,23.89,,True,g,AB,0
56479.3,23.77,,True,i,AB,0
56480.3,22.26,,True,z,AB,0
