mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56262.6,22.61,,True,z,AB,0,z,8668.36
56313.6,23.75,,True,z,AB,0,z,8668.36
56324.6,23.22,,True,z,AB,0,z,8668.36
56325.5,23.2,,True,g,AB,0,g,4810.16
56325.6,23.18,0.27,False,r,AB,1,r,6155.47
56326.5,23.49,0.18,False,i,AB,1,i,7503.03
56328.5,22.83,0.19,False,r,AB,1,r,6155.47
56328.5,23.78,,True,g,AB,0,g,4810.16
56331.6,22.84,0.12,False,r,AB,1,r,6155.47
56331.6,23.7,0.35,False,g,AB,1,g,4810.16
56333.4,23.44,0.13,False,g,AB,1,g,4810.16
56333.5,23.03,0.2,False,z,AB,1,z,8668.36
56335.5,23.02,0.21,False,z,AB,1,z,8668.36
56336.5,22.54,0.1,False,r,AB,1,r,6155.47
56336.5,23.72,0.32,False,g,AB,1,g,4810.16
56337.5,22.93,0.14,False,i,AB,1,i,7503.03
56338.5,23.3,,True,z,AB,0,z,8668.36
56344.5,23.09,,True,i,AB,0,i,7503.03
56351.4,22.55,0.16,False,z,AB,1,z,8668.36
56352.5,22.39,0.14,False,i,AB,1,i,7503.03
56353.3,22.47,0.19,False,z,AB,1,z,8668.36
56354.4,23.17,0.26,False,g,AB,1,g,4810.16
56354.5,22.11,0.09,False,r,AB,1,r,6155.47
56355.5,22.29,0.13,False,i,AB,1,i,7503.03
56356.4,22.2,0.11,False,z,AB,1,z,8668.36
56357.4,22.2,0.05,False,r,AB,1,r,6155.47
56357.4,22.72,0.1,False,g,AB,1,g,4810.16
56358.3,22.32,0.11,False,i,AB,1,i,7503.03
56359.4,22.08,0.15,False,z,AB,1,z,8668.36
56360.3,22.18,0.09,False,r,AB,1,r,6155.47
56360.3,22.82,0.12,False,g,AB,1,g,4810.16
56363.3,22.27,0.1,False,i,AB,1,i,7503.03
56369.3,22.22,0.26,False,i,AB,1,i,7503.03
56370.3,22.07,0.08,False,z,AB,1,z,8668.36
56381.4,21.67,,True,z,AB,0,z,8668.36
56383.3,22.02,0.11,False,z,AB,1,z,8668.36
56384.3,21.89,0.06,False,r,AB,1,r,6155.47
56384.3,22.82,0.15,False,g,AB,1,g,4810.16
56385.4,21.81,0.05,False,i,AB,1,i,7503.03
56387.4,21.91,0.08,False,r,AB,1,r,6155.47
56387.4,22.87,0.15,False,g,AB,1,g,4810.16
56388.3,21.75,0.07,False,i,AB,1,i,7503.03
56389.4,21.9,0.1,False,z,AB,1,z,8668.36
56391.3,21.79,0.04,False,r,AB,1,r,6155.47
56391.3,21.84,0.07,False,i,AB,1,i,7503.03
56392.3,21.81,0.08,False,z,AB,1,z,8668.36
56393.4,21.65,0.04,False,i,AB,1,i,7503.03
56395.3,21.96,0.06,False,r,AB,1,r,6155.47
56395.3,22.61,0.1,False,g,AB,1,g,4810.16
56396.4,21.77,0.07,False,i,AB,1,i,7503.03
56397.3,21.72,0.13,False,z,AB,1,z,8668.36
56399.3,21.72,0.06,False,i,AB,1,i,7503.03
56400.3,21.76,0.11,False,z,AB,1,z,8668.36
56410.3,21.73,0.08,False,z,AB,1,z,8668.36
56411.4,21.66,0.16,False,i,AB,1,i,7503.03
56414.3,21.82,0.05,False,i,AB,1,i,7503.03
56415.3,21.75,0.08,False,z,AB,1,z,8668.36
56416.3,22.2,0.09,False,r,AB,1,r,6155.47
56416.3,22.87,0.16,False,g,AB,1,g,4810.16
56417.3,21.75,0.04,False,i,AB,1,i,7503.03
56422.3,21.78,0.04,False,i,AB,1,i,7503.03
56423.3,21.74,0.09,False,z,AB,1,z,8668.36
56618.6,23.47,,True,z,AB,0,z,8668.36
56624.6,23.4,,True,z,AB,0,z,8668.36
56625.6,23.48,,True,g,AB,0,g,4810.16
56625.6,24.13,,True,r,AB,0,r,6155.47
56629.6,24.2,,True,z,AB,0,z,8668.36
56630.6,23.94,,True,g,AB,0,g,4810.16
56630.6,24.5,,True,r,AB,0,r,6155.47
56631.6,24.46,,True,i,AB,0,i,7503.03
56632.6,23.65,,True,z,AB,0,z,8668.36
56636.6,23.79,,True,g,AB,0,g,4810.16
56636.6,24.14,,True,r,AB,0,r,6155.47
56637.6,23.67,,True,z,AB,0,z,8668.36
56638.6,24.38,,True,i,AB,0,i,7503.03
56643.6,23.45,,True,z,AB,0,z,8668.36
56656.6,23.98,,True,i,AB,0,i,7503.03
56657.6,23.5,,True,z,AB,0,z,8668.36
56657.6,23.65,,True,g,AB,0,g,4810.16
56658.5,24.15,,True,i,AB,0,i,7503.03
56659.6,23.08,,True,z,AB,0,z,8668.36
56661.6,24.06,,True,i,AB,0,i,7503.03
56662.6,23.46,,True,z,AB,0,z,8668.36
56666.6,23.54,,True,r,AB,0,r,6155.47
56666.6,23.72,,True,g,AB,0,g,4810.16
56667.7,23.14,,True,z,AB,0,z,8668.36
56668.5,24.03,,True,i,AB,0,i,7503.03
56681.5,23.6,,True,z,AB,0,z,8668.36
56682.5,24.18,,True,g,AB,0,g,4810.16
56682.6,23.94,,True,r,AB,0,r,6155.47
56683.6,24.23,,True,i,AB,0,i,7503.03
56709.3,23.34,,True,g,AB,0,g,4810.16
56709.4,23.24,,True,r,AB,0,r,6155.47
56754.3,21.96,,True,z,AB,0,z,8668.36
