mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
53621.827269,20.588,0.093,False,u,AB,1,u,3608.04
53621.827269,20.728,0.065,False,g,AB,1,g,4671.78
53621.827269,20.745,0.055,False,r,AB,1,r,6141.12
53621.827269,20.904,0.086,False,i,AB,1,i,7457.89
53621.827269,22.295,1.424,False,z,AB,1,z,8922.78
53633.776889,19.625,0.047,False,g,AB,1,g,4671.78
53633.776889,19.705,0.122,False,u,AB,1,u,3608.04
53633.776889,19.854,0.043,False,r,AB,1,r,6141.12
53633.776889,20.033,0.053,False,i,AB,1,i,7457.89
53633.776889,20.465,0.27,False,z,AB,1,z,8922.78
53635.78243,19.766,0.036,False,r,AB,1,r,6141.12
53635.78243,19.575,0.028,False,g,AB,1,g,4671.78
53635.78243,20.632,0.372,False,z,AB,1,z,8922.78
53635.78243,19.96,0.042,False,i,AB,1,i,7457.89
53635.78243,19.527,0.073,False,u,AB,1,u,3608.04
53637.818219,19.513,0.044,False,u,AB,1,u,3608.04
53637.818219,19.557,0.029,False,g,AB,1,g,4671.78
53637.818219,19.746,0.022,False,r,AB,1,r,6141.12
53637.818219,19.956,0.106,False,z,AB,1,z,8922.78
53637.818219,19.987,0.033,False,i,AB,1,i,7457.89
53654.75412,19.634,0.095,False,u,AB,1,u,3608.04
53654.75412,19.523,0.032,False,r,AB,1,r,6141.12
53654.75412,19.774,0.154,False,z,AB,1,z,8922.78
53654.75412,19.709,0.051,False,i,AB,1,i,7457.89
53654.75412,19.32,0.028,False,g,AB,1,g,4671.78
53665.742229,19.38,0.032,False,g,AB,1,g,4671.78
53665.742229,19.497,0.02,False,r,AB,1,r,6141.12
53665.742229,19.673,0.091,False,z,AB,1,z,8922.78
53665.742229,19.714,0.027,False,i,AB,1,i,7457.89
53665.742229,19.72,0.047,False,u,AB,1,u,3608.04
53668.73771,19.549,0.021,False,r,AB,1,r,6141.12
53668.73771,19.433,0.024,False,g,AB,1,g,4671.78
53668.73771,19.737,0.026,False,i,AB,1,i,7457.89
53668.73771,19.93,0.104,False,z,AB,1,z,8922.78
53668.73771,19.835,0.047,False,u,AB,1,u,3608.04
53670.82237,19.442,0.024,False,g,AB,1,g,4671.78
53670.82237,19.529,0.025,False,r,AB,1,r,6141.12
53670.82237,19.808,0.035,False,i,AB,1,i,7457.89
53670.82237,19.887,0.162,False,z,AB,1,z,8922.78
53670.82237,19.999,0.074,False,u,AB,1,u,3608.04
53673.721659,19.55,0.02,False,g,AB,1,g,4671.78
53673.721659,19.561,0.024,False,r,AB,1,r,6141.12
53673.721659,19.764,0.102,False,z,AB,1,z,8922.78
53673.721659,19.795,0.031,False,i,AB,1,i,7457.89
53673.721659,20.009,0.058,False,u,AB,1,u,3608.04
53675.811009,19.559,0.021,False,r,AB,1,r,6141.12
53675.811009,19.575,0.026,False,g,AB,1,g,4671.78
53675.811009,19.738,0.04,False,i,AB,1,i,7457.89
53675.811009,19.881,0.108,False,z,AB,1,z,8922.78
53675.811009,20.157,0.081,False,u,AB,1,u,3608.04
53678.782699,19.545,0.025,False,g,AB,1,g,4671.78
53678.782699,19.551,0.027,False,r,AB,1,r,6141.12
53678.782699,19.858,0.037,False,i,AB,1,i,7457.89
53678.782699,20.081,0.074,False,u,AB,1,u,3608.04
53678.782699,20.172,0.196,False,z,AB,1,z,8922.78
53680.774069,19.617,0.022,False,g,AB,1,g,4671.78
53680.774069,19.625,0.019,False,r,AB,1,r,6141.12
53680.774069,19.863,0.028,False,i,AB,1,i,7457.89
53680.774069,19.924,0.116,False,z,AB,1,z,8922.78
53680.774069,20.181,0.064,False,u,AB,1,u,3608.04
53684.73284,19.786,0.067,False,g,AB,1,g,4671.78
53684.73284,20.266,0.265,False,z,AB,1,z,8922.78
53684.73284,19.632,0.063,False,r,AB,1,r,6141.12
53684.73284,20.338,0.2,False,u,AB,1,u,3608.04
53684.73284,19.929,0.066,False,i,AB,1,i,7457.89
53693.74599,19.661,0.047,False,r,AB,1,r,6141.12
53693.74599,19.786,0.067,False,g,AB,1,g,4671.78
53693.74599,19.81,0.072,False,i,AB,1,i,7457.89
53693.74599,19.996,0.233,False,u,AB,1,u,3608.04
53693.74599,20.087,0.332,False,z,AB,1,z,8922.78
53696.72983,19.844,0.027,False,r,AB,1,r,6141.12
53696.72983,20.011,0.027,False,g,AB,1,g,4671.78
53696.72983,20.948,0.146,False,u,AB,1,u,3608.04
53696.72983,20.022,0.03,False,i,AB,1,i,7457.89
53696.72983,19.981,0.131,False,z,AB,1,z,8922.78
53699.728519,20.241,0.032,False,g,AB,1,g,4671.78
53699.728519,21.316,0.205,False,u,AB,1,u,3608.04
53699.728519,19.836,0.025,False,r,AB,1,r,6141.12
53699.728519,19.867,0.136,False,z,AB,1,z,8922.78
53699.728519,20.036,0.034,False,i,AB,1,i,7457.89
53704.71473,19.99,0.03,False,r,AB,1,r,6141.12
53704.71473,20.007,0.127,False,z,AB,1,z,8922.78
53704.71473,20.052,0.034,False,i,AB,1,i,7457.89
53704.71473,20.389,0.03,False,g,AB,1,g,4671.78
53704.71473,22.056,0.333,False,u,AB,1,u,3608.04
