mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55205.547,21.37,0.35,False,r,AB,1,r,6141.12
55207.341,21.32,0.3,False,r,AB,1,r,6141.12
55207.386,21.65,0.28,False,r,AB,1,r,6141.12
55209.503,21.37,0.34,False,r,AB,1,r,6141.12
55209.548,21.08,0.28,False,r,AB,1,r,6141.12
55221.515,20.77,0.2,False,r,AB,1,r,6141.12
55221.56,21.15,0.32,False,r,AB,1,r,6141.12
55227.346,20.69,0.34,False,r,AB,1,r,6141.12
55227.391,20.46,0.27,False,r,AB,1,r,6141.12
55243.366,20.3,0.16,False,r,AB,1,r,6141.12
55243.412,20.39,0.17,False,r,AB,1,r,6141.12
55246.213,20.59,0.23,False,r,AB,1,r,6141.12
55246.309,20.46,0.15,False,r,AB,1,r,6141.12
55246.353,20.42,0.2,False,r,AB,1,r,6141.12
55250.405,20.51,0.27,False,r,AB,1,r,6141.12
55250.449,20.52,0.24,False,r,AB,1,r,6141.12
55271.409,20.49,0.25,False,r,AB,1,r,6141.12
55275.363,21.34,0.32,False,r,AB,1,r,6141.12
55275.407,20.88,0.25,False,r,AB,1,r,6141.12
55284.156,20.34,0.35,False,r,AB,1,r,6141.12
55296.199,21.2,0.28,False,r,AB,1,r,6141.12
55297.395,21.22,0.33,False,r,AB,1,r,6141.12
