mjd,mag,mag_err,UL,filter,System,detected
55455.517,20.02,0.12,False,r,AB,1
55456.498,20.02,0.1,False,r,AB,1
55457.502,20.06,0.1,False,r,AB,1
55458.295,20.23,0.18,False,r,AB,1
55458.296,19.68,0.14,False,g,AB,1
55459.293,20.21,0.2,False,r,AB,1
55459.518,19.91,0.15,False,r,AB,1
55460.291,19.97,0.14,False,r,AB,1
55460.364,19.81,0.16,False,r,AB,1
55460.407,20.0,0.17,False,r,AB,1
55463.401,19.93,0.17,False,r,AB,1
55463.444,20.09,0.26,False,r,AB,1
55473.486,19.86,0.12,False,r,AB,1
55473.529,19.87,0.15,False,r,AB,1
55478.496,19.91,0.14,False,r,AB,1
55479.334,19.86,0.17,False,r,AB,1
55479.377,19.98,0.14,False,r,AB,1
55482.429,20.06,0.12,False,r,AB,1
55544.087,21.57,0.28,False,r,AB,1
55544.095,21.46,0.27,False,r,AB,1
55562.114,21.72,0.31,False,r,AB,1
55566.151,22.14,0.33,False,r,AB,1
55567.133,22.03,0.28,False,r,AB,1
55571.203,21.57,0.33,False,g,AB,1
55590.136,22.41,0.24,False,g,AB,1
55591.128,22.14,0.29,False,r,AB,1
55599.126,22.19,0.34,False,r,AB,1
55599.13,22.67,0.31,False,g,AB,1
