mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56146.255,18.45,0.09,False,r,AB,1,r,6141.12
56146.319,18.52,0.08,False,r,AB,1,r,6141.12
56147.229,18.49,0.08,False,r,AB,1,r,6141.12
56147.294,18.53,0.08,False,r,AB,1,r,6141.12
56148.232,18.52,0.08,False,r,AB,1,r,6141.12
56148.296,18.74,0.07,False,r,AB,1,r,6141.12
56151.485,18.67,0.07,False,r,AB,1,r,6141.12
56166.233,18.55,0.07,False,r,AB,1,r,6141.12
56167.276,18.59,0.08,False,r,AB,1,r,6141.12
56167.347,18.62,0.07,False,r,AB,1,r,6141.12
56176.256,18.59,0.08,False,i,AB,1,i,7457.89
56176.257,18.79,0.08,False,r,AB,1,r,6141.12
56176.259,19.86,0.16,False,B,AB,1,B,4369.53
56176.261,19.43,0.1,False,g,AB,1,g,4671.78
56179.143,18.99,0.25,False,i,AB,1,i,7457.89
56179.144,18.87,0.19,False,i,AB,1,i,7457.89
56179.145,19.03,0.16,False,r,AB,1,r,6141.12
56179.168,19.52,0.11,False,g,AB,1,g,4671.78
56179.169,18.89,0.09,False,r,AB,1,r,6141.12
56179.171,19.83,0.16,False,B,AB,1,B,4369.53
56179.172,19.53,0.1,False,g,AB,1,g,4671.78
56185.18,19.28,0.09,False,i,AB,1,i,7457.89
56185.182,19.24,0.09,False,i,AB,1,i,7457.89
56185.183,19.35,0.09,False,r,AB,1,r,6141.12
56185.185,20.34,0.17,False,B,AB,1,B,4369.53
56185.187,19.89,0.1,False,g,AB,1,g,4671.78
56200.134,20.17,0.25,False,i,AB,1,i,7457.89
56200.136,20.43,0.25,False,r,AB,1,r,6141.12
56201.131,20.75,0.34,False,g,AB,1,g,4671.78
56214.127,19.94,0.12,False,i,AB,1,i,7457.89
56214.128,20.56,0.13,False,r,AB,1,r,6141.12
56214.132,21.87,0.26,False,g,AB,1,g,4671.78
56217.112,20.23,0.15,False,i,AB,1,i,7457.89
56217.113,20.5,0.16,False,r,AB,1,r,6141.12
56217.117,21.36,0.25,False,g,AB,1,g,4671.78
56217.118,20.28,0.16,False,i,AB,1,i,7457.89
56217.12,20.52,0.15,False,r,AB,1,r,6141.12
56217.123,21.68,0.27,False,g,AB,1,g,4671.78
56220.103,20.3,0.14,False,i,AB,1,i,7457.89
56220.104,20.58,0.13,False,r,AB,1,r,6141.12
56220.108,21.16,0.18,False,g,AB,1,g,4671.78
56220.11,20.15,0.13,False,i,AB,1,i,7457.89
56220.112,20.67,0.13,False,r,AB,1,r,6141.12
56220.113,21.64,0.29,False,B,AB,1,B,4369.53
56220.115,21.17,0.17,False,g,AB,1,g,4671.78
56228.106,20.34,0.2,False,i,AB,1,i,7457.89
56228.108,21.01,0.25,False,r,AB,1,r,6141.12
56228.177,21.16,0.25,False,r,AB,1,r,6141.12
56229.188,20.89,0.27,False,r,AB,1,r,6141.12
56231.104,20.47,0.16,False,r,AB,1,r,6141.12
56231.168,20.88,0.25,False,r,AB,1,r,6141.12
56232.155,20.43,0.17,False,r,AB,1,r,6141.12
56234.128,20.58,0.17,False,i,AB,1,i,7457.89
56234.13,20.78,0.15,False,r,AB,1,r,6141.12
56234.132,21.72,0.32,False,B,AB,1,B,4369.53
56234.133,21.74,0.23,False,g,AB,1,g,4671.78
56235.094,20.62,0.17,False,i,AB,1,i,7457.89
56235.151,20.91,0.16,False,r,AB,1,r,6141.12
56235.154,21.98,0.27,False,g,AB,1,g,4671.78
56238.088,20.67,0.19,False,i,AB,1,i,7457.89
56238.09,20.87,0.18,False,r,AB,1,r,6141.12
56238.091,21.72,0.34,False,B,AB,1,B,4369.53
56238.093,22.0,0.29,False,g,AB,1,g,4671.78
56245.126,20.79,0.19,False,i,AB,1,i,7457.89
56245.127,21.11,0.19,False,r,AB,1,r,6141.12
56245.129,21.65,0.31,False,B,AB,1,B,4369.53
56245.13,21.9,0.27,False,g,AB,1,g,4671.78
56255.073,20.78,0.27,False,i,AB,1,i,7457.89
56255.076,21.28,0.29,False,r,AB,1,r,6141.12
56268.13,21.7,0.27,False,g,AB,1,g,4671.78
56270.094,20.42,0.17,False,i,AB,1,i,7457.89
56270.096,20.56,0.16,False,r,AB,1,r,6141.12
56270.098,20.38,0.16,False,i,AB,1,i,7457.89
56270.099,20.55,0.16,False,r,AB,1,r,6141.12
56271.108,21.18,0.28,False,g,AB,1,g,4671.78
56273.113,20.07,0.14,False,i,AB,1,i,7457.89
56273.115,20.63,0.17,False,r,AB,1,r,6141.12
56282.074,20.15,0.19,False,i,AB,1,i,7457.89
56282.077,20.46,0.18,False,r,AB,1,r,6141.12
56282.08,21.26,0.27,False,g,AB,1,g,4671.78
