mjd,mag,mag_err,UL,filter,System,detected
53529.0,26.7451,0.91,False,r,AB,1
53530.0,26.0151,0.33,False,r,AB,1
53535.0,26.0613,0.59,False,i,AB,1
53535.0,29.3551,2.15,False,r,AB,1
53550.0,25.6213,0.23,False,i,AB,1
53551.0,26.7092,0.68,False,g,AB,1
53554.0,27.0792,0.55,False,g,AB,1
53554.0,25.7813,0.39,False,i,AB,1
53554.0,26.0551,0.41,False,r,AB,1
53558.0,25.0951,0.32,False,r,AB,1
53558.0,25.7613,0.37,False,i,AB,1
53565.0,25.1413,0.25,False,i,AB,1
53565.0,25.2951,0.21,False,r,AB,1
53577.0,24.3213,0.09,False,i,AB,1
53578.0,24.7451,0.23,False,r,AB,1
53582.0,24.6513,0.25,False,i,AB,1
53582.0,24.8451,0.16,False,r,AB,1
53583.0,24.4292,0.06,False,g,AB,1
53586.0,24.1813,0.09,False,i,AB,1
53586.0,24.3992,0.06,False,g,AB,1
53586.0,24.5051,0.09,False,r,AB,1
53587.0,24.2992,0.04,False,g,AB,1
53591.0,24.2613,0.23,False,i,AB,1
53592.0,24.2051,0.07,False,r,AB,1
53592.0,24.3292,0.05,False,g,AB,1
53594.0,24.1413,0.14,False,i,AB,1
53594.0,24.3492,0.07,False,g,AB,1
53594.0,24.4151,0.11,False,r,AB,1
53609.0,23.9413,0.07,False,i,AB,1
53609.0,24.1151,0.08,False,r,AB,1
53609.0,24.2092,0.06,False,g,AB,1
53613.0,23.9251,0.07,False,r,AB,1
53613.0,24.0713,0.13,False,i,AB,1
53613.0,24.2492,0.07,False,g,AB,1
53617.0,23.9413,0.04,False,i,AB,1
53617.0,24.3692,0.05,False,g,AB,1
53617.0,23.9351,0.04,False,r,AB,1
53622.0,24.0351,0.09,False,r,AB,1
53622.0,24.0592,0.06,False,g,AB,1
53622.0,24.1213,0.12,False,i,AB,1
53624.0,23.8351,0.06,False,r,AB,1
53624.0,24.0413,0.11,False,i,AB,1
53624.0,24.0892,0.05,False,g,AB,1
53639.0,23.9651,0.09,False,r,AB,1
53639.0,24.1213,0.14,False,i,AB,1
53639.0,24.2392,0.06,False,g,AB,1
53642.0,23.5713,0.08,False,i,AB,1
53642.0,23.8651,0.07,False,r,AB,1
53642.0,24.1692,0.05,False,g,AB,1
53647.0,23.7313,0.07,False,i,AB,1
53648.0,23.7551,0.06,False,r,AB,1
53648.0,24.2292,0.04,False,g,AB,1
53651.0,23.6951,0.05,False,r,AB,1
53651.0,24.0792,0.05,False,g,AB,1
53651.0,23.5213,0.07,False,i,AB,1
53654.0,23.8351,0.09,False,r,AB,1
53654.0,23.8613,0.12,False,i,AB,1
53654.0,24.2292,0.11,False,g,AB,1
53666.0,23.7151,0.07,False,r,AB,1
53666.0,24.0192,0.06,False,g,AB,1
53666.0,24.2313,0.2,False,i,AB,1
53667.0,23.7013,0.11,False,i,AB,1
53670.0,23.7451,0.04,False,r,AB,1
53670.0,24.2592,0.06,False,g,AB,1
53670.0,23.6113,0.08,False,i,AB,1
53674.0,24.1992,0.05,False,g,AB,1
53674.0,23.6313,0.06,False,i,AB,1
53674.0,23.8351,0.07,False,r,AB,1
53678.0,24.3913,0.22,False,i,AB,1
53678.0,23.9351,0.09,False,r,AB,1
53678.0,24.2692,0.07,False,g,AB,1
53681.0,23.5013,0.05,False,i,AB,1
53681.0,23.6951,0.08,False,r,AB,1
53699.0,23.5913,0.04,False,i,AB,1
53699.0,23.8451,0.03,False,r,AB,1
53700.0,24.1792,0.01,False,g,AB,1
53705.0,24.2292,0.03,False,g,AB,1
53705.0,23.6413,0.05,False,i,AB,1
53705.0,23.8051,0.03,False,r,AB,1
53709.0,23.7951,0.09,False,r,AB,1
53709.0,23.8713,0.17,False,i,AB,1
53889.0,24.9151,0.19,False,r,AB,1
53909.0,25.0113,0.29,False,i,AB,1
53909.0,25.1051,0.23,False,r,AB,1
53915.0,24.3713,0.27,False,i,AB,1
53915.0,25.0292,0.22,False,g,AB,1
53915.0,27.3351,1.07,False,r,AB,1
53916.0,25.0092,0.27,False,g,AB,1
53920.0,25.3613,0.36,False,i,AB,1
53920.0,25.9551,0.53,False,r,AB,1
53921.0,25.0892,0.17,False,g,AB,1
53935.0,25.1992,0.17,False,g,AB,1
53935.0,25.3051,0.3,False,r,AB,1
53935.0,25.7313,0.49,False,i,AB,1
53939.0,25.3751,0.24,False,r,AB,1
53939.0,24.4813,0.23,False,i,AB,1
53939.0,25.2292,0.16,False,g,AB,1
53943.0,25.0292,0.11,False,g,AB,1
53943.0,25.1613,0.19,False,i,AB,1
53943.0,25.2351,0.2,False,r,AB,1
53946.0,24.9692,0.17,False,g,AB,1
53946.0,25.3851,0.23,False,r,AB,1
53963.0,25.0092,0.17,False,g,AB,1
53963.0,25.2351,0.24,False,r,AB,1
53963.0,25.5113,0.35,False,i,AB,1
53967.0,25.2351,0.17,False,r,AB,1
53967.0,25.2492,0.15,False,g,AB,1
53967.0,24.8413,0.16,False,i,AB,1
53970.0,25.0292,0.18,False,g,AB,1
53970.0,25.3313,0.28,False,i,AB,1
53970.0,25.5251,0.22,False,r,AB,1
53975.0,24.8713,0.2,False,i,AB,1
53975.0,24.8992,0.1,False,g,AB,1
53975.0,25.4251,0.18,False,r,AB,1
53979.0,24.8013,0.08,False,i,AB,1
53979.0,25.1592,0.12,False,g,AB,1
53992.0,25.0692,0.12,False,g,AB,1
53992.0,25.0713,0.22,False,i,AB,1
53992.0,25.1051,0.15,False,r,AB,1
53996.0,25.3992,0.15,False,g,AB,1
53996.0,25.7651,0.25,False,r,AB,1
53996.0,25.3813,0.32,False,i,AB,1
54000.0,25.3592,0.16,False,g,AB,1
54000.0,25.8851,0.31,False,r,AB,1
54000.0,24.8313,0.12,False,i,AB,1
54019.0,24.9851,0.16,False,r,AB,1
54019.0,26.0913,0.57,False,i,AB,1
54019.0,26.1292,0.38,False,g,AB,1
54023.0,24.6113,0.14,False,i,AB,1
54023.0,25.1292,0.12,False,g,AB,1
54023.0,25.4951,0.24,False,r,AB,1
54031.0,26.0551,0.54,False,r,AB,1
54031.0,26.2792,0.39,False,g,AB,1
54035.0,25.6051,0.26,False,r,AB,1
54035.0,25.7092,0.2,False,g,AB,1
54035.0,25.8613,0.51,False,i,AB,1
54053.0,24.6313,0.22,False,i,AB,1
