mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
53888.8,24.4611,,True,i,Vega,0,i,7457.89
53908.7,21.5111,,True,i,Vega,0,i,7457.89
53909.7,22.6834,,True,z,Vega,0,z,8922.78
53909.7,23.7911,,True,i,Vega,0,i,7457.89
53911.6,22.2334,,True,z,Vega,0,z,8922.78
53913.3,23.4511,,True,i,Vega,0,i,7457.89
53915.6,23.6811,,True,i,Vega,0,i,7457.89
53915.8,24.3848,,True,r,Vega,0,r,6141.12
53920.6,24.3811,,True,i,Vega,0,i,7457.89
53921.6,23.9188,,True,g,Vega,0,g,4671.78
53921.8,22.5534,,True,z,Vega,0,z,8922.78
53935.8,24.4188,,True,g,Vega,0,g,4671.78
53939.6,23.5611,,True,i,Vega,0,i,7457.89
53939.6,24.4748,,True,r,Vega,0,r,6141.12
53943.6,23.6211,0.11,False,i,Vega,1,i,7457.89
53943.8,23.5734,0.23,False,z,Vega,1,z,8922.78
53946.7,23.8834,,True,z,Vega,0,z,8922.78
53946.7,24.0048,0.17,False,r,Vega,1,r,6141.12
53946.7,24.2988,,True,g,Vega,0,g,4671.78
53963.4,23.1034,0.17,False,z,Vega,1,z,8922.78
53963.4,23.3411,0.19,False,i,Vega,1,i,7457.89
53963.4,23.7548,0.19,False,r,Vega,1,r,6141.12
53963.4,24.3188,0.23,False,g,Vega,1,g,4671.78
53967.4,23.0711,0.08,False,i,Vega,1,i,7457.89
53967.4,23.2848,0.04,False,r,Vega,1,r,6141.12
53967.4,24.1288,0.06,False,g,Vega,1,g,4671.78
53970.4,22.8011,0.06,False,i,Vega,1,i,7457.89
53970.6,23.9588,0.11,False,g,Vega,1,g,4671.78
53973.5,22.7834,0.13,False,z,Vega,1,z,8922.78
53975.4,22.6311,0.06,False,i,Vega,1,i,7457.89
53975.4,23.7088,0.04,False,g,Vega,1,g,4671.78
53975.6,22.8648,0.04,False,r,Vega,1,r,6141.12
53979.5,23.5388,0.02,False,g,Vega,1,g,4671.78
53979.7,22.4234,0.08,False,z,Vega,1,z,8922.78
53979.8,22.5611,0.15,False,i,Vega,1,i,7457.89
53979.8,22.6948,0.06,False,r,Vega,1,r,6141.12
53992.3,22.1011,0.08,False,i,Vega,1,i,7457.89
53992.3,23.4488,0.04,False,g,Vega,1,g,4671.78
53992.5,22.4648,0.04,False,r,Vega,1,r,6141.12
53993.3,22.0934,0.08,False,z,Vega,1,z,8922.78
53996.5,22.5248,0.04,False,r,Vega,1,r,6141.12
53996.7,22.0811,0.04,False,i,Vega,1,i,7457.89
53996.7,23.5788,0.04,False,g,Vega,1,g,4671.78
54000.4,22.0034,0.04,False,z,Vega,1,z,8922.78
54000.4,22.0811,0.06,False,i,Vega,1,i,7457.89
54000.5,22.5648,0.04,False,r,Vega,1,r,6141.12
54000.5,23.4888,0.06,False,g,Vega,1,g,4671.78
54019.3,21.9911,0.04,False,i,Vega,1,i,7457.89
54019.3,21.9434,0.08,False,z,Vega,1,z,8922.78
54019.3,24.0888,0.06,False,g,Vega,1,g,4671.78
54019.3,22.7348,0.02,False,r,Vega,1,r,6141.12
54023.2,21.9711,0.06,False,i,Vega,1,i,7457.89
54023.4,22.8848,0.04,False,r,Vega,1,r,6141.12
54023.4,24.2988,0.06,False,g,Vega,1,g,4671.78
54031.4,22.2711,0.11,False,i,Vega,1,i,7457.89
54031.4,24.4188,,True,g,Vega,0,g,4671.78
54031.6,21.8534,0.25,False,z,Vega,1,z,8922.78
54035.2,22.2011,0.04,False,i,Vega,1,i,7457.89
54035.2,24.7188,0.08,False,g,Vega,1,g,4671.78
54035.4,23.3548,0.06,False,r,Vega,1,r,6141.12
54053.5,22.8411,0.11,False,i,Vega,1,i,7457.89
54053.5,24.2848,,True,r,Vega,0,r,6141.12
54053.5,24.7388,,True,g,Vega,0,g,4671.78
54058.4,23.1111,0.06,False,i,Vega,1,i,7457.89
54058.4,24.4448,0.25,False,r,Vega,1,r,6141.12
54058.4,25.2288,0.17,False,g,Vega,1,g,4671.78
