mjd,mag,mag_err,UL,filter,System,detected
54059.8,25.527,,True,i,Vega,0
54061.0,25.856,,True,r,Vega,0
54061.0,26.0184,,True,g,Vega,0
54066.0,25.067,,True,i,Vega,0
54066.0,25.826,,True,r,Vega,0
54066.0,26.1284,,True,g,Vega,0
54081.7,25.277,,True,i,Vega,0
54081.7,25.456,,True,r,Vega,0
54082.0,24.6953,,True,z,Vega,0
54084.7,25.726,,True,r,Vega,0
54085.8,25.127,,True,i,Vega,0
54085.8,26.3384,,True,g,Vega,0
54088.8,25.927,,True,i,Vega,0
54088.8,25.1153,,True,z,Vega,0
54088.8,26.6984,,True,g,Vega,0
54088.8,26.016,,True,r,Vega,0
54091.8,24.446,,True,r,Vega,0
54091.8,25.067,,True,i,Vega,0
54091.8,25.7284,,True,g,Vega,0
54093.0,25.516,,True,r,Vega,0
54094.7,24.4853,,True,z,Vega,0
54094.7,26.6284,,True,g,Vega,0
54095.0,25.567,,True,i,Vega,0
54095.0,26.036,,True,r,Vega,0
54112.5,24.977,,True,i,Vega,0
54112.5,25.386,,True,r,Vega,0
54112.5,26.1484,,True,g,Vega,0
54112.8,24.2553,,True,z,Vega,0
54116.7,25.607,,True,i,Vega,0
54116.7,26.6484,,True,g,Vega,0
54117.2,26.126,,True,r,Vega,0
54119.8,24.506,,True,r,Vega,0
54119.8,25.717,,True,i,Vega,0
54121.0,24.8853,,True,z,Vega,0
54121.0,26.126,,True,r,Vega,0
54121.0,26.6984,,True,g,Vega,0
54122.5,25.2284,,True,g,Vega,0
54122.8,24.917,,True,i,Vega,0
54122.8,25.876,,True,r,Vega,0
54124.0,26.4584,,True,g,Vega,0
54125.5,24.897,,True,i,Vega,0
54125.8,23.8353,,True,z,Vega,0
54139.7,24.5453,,True,z,Vega,0
54139.7,24.926,0.21,False,r,Vega,1
54139.7,25.207,,True,i,Vega,0
54139.7,26.0384,0.31,False,g,Vega,1
54143.8,24.327,0.13,False,i,Vega,1
54143.8,24.576,0.06,False,r,Vega,1
54143.8,25.2484,0.1,False,g,Vega,1
54150.3,23.5653,0.21,False,z,Vega,1
54150.7,24.066,0.04,False,r,Vega,1
54150.7,24.8684,0.17,False,g,Vega,1
54150.7,23.887,0.15,False,i,Vega,1
54152.7,23.677,0.06,False,i,Vega,1
54152.7,23.966,0.06,False,r,Vega,1
54153.0,24.6584,0.06,False,g,Vega,1
54171.7,22.987,0.02,False,i,Vega,1
54171.7,23.456,0.13,False,r,Vega,1
54174.3,22.7853,0.19,False,z,Vega,1
54175.5,22.8253,0.13,False,z,Vega,1
54175.5,23.546,0.06,False,r,Vega,1
54175.5,24.7884,0.1,False,g,Vega,1
54175.8,22.947,0.13,False,i,Vega,1
54178.5,22.8053,0.1,False,z,Vega,1
54178.5,23.027,0.02,False,i,Vega,1
54178.5,23.416,0.04,False,r,Vega,1
54179.0,24.7684,0.06,False,g,Vega,1
54182.0,23.007,0.04,False,i,Vega,1
54182.3,23.456,0.06,False,r,Vega,1
54182.8,22.837,0.04,False,i,Vega,1
54182.8,24.6784,0.08,False,g,Vega,1
54185.5,22.6353,0.1,False,z,Vega,1
54185.5,23.376,0.08,False,r,Vega,1
54185.8,22.927,0.06,False,i,Vega,1
54196.5,24.8684,0.1,False,g,Vega,1
54196.8,22.6353,0.08,False,z,Vega,1
54196.8,22.817,0.04,False,i,Vega,1
54196.8,23.356,0.06,False,r,Vega,1
54200.7,22.797,0.04,False,i,Vega,1
54200.7,23.546,0.06,False,r,Vega,1
54201.5,24.9284,0.08,False,g,Vega,1
54204.5,22.7453,0.08,False,z,Vega,1
54204.5,22.817,0.04,False,i,Vega,1
54204.5,23.506,0.04,False,r,Vega,1
54204.5,25.2684,0.13,False,g,Vega,1
54208.3,23.586,0.06,False,r,Vega,1
54208.7,22.737,0.02,False,i,Vega,1
54208.7,25.0384,0.08,False,g,Vega,1
54212.5,22.8453,0.1,False,z,Vega,1
54212.5,23.626,0.08,False,r,Vega,1
54213.7,25.4384,0.29,False,g,Vega,1
54228.5,23.027,0.04,False,i,Vega,1
54228.5,25.8084,0.23,False,g,Vega,1
54229.0,24.066,0.08,False,r,Vega,1
54229.7,23.1653,0.15,False,z,Vega,1
54232.8,22.777,0.17,False,i,Vega,1
54233.5,23.067,0.06,False,i,Vega,1
54233.5,25.8084,0.17,False,g,Vega,1
54233.8,24.216,0.13,False,r,Vega,1
54236.5,24.236,0.13,False,r,Vega,1
54236.5,26.1084,0.21,False,g,Vega,1
54237.0,23.117,0.06,False,i,Vega,1
