mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56733.13,22.8092,0.143,False,Ks,AB,1,Ks,21454.68
56733.14,21.8461,0.125,False,g,AB,1,g,4671.78
56734.12,22.4573,0.061,False,J,AB,1,J,12399.85
56734.12,22.6082,0.099,False,Ks,AB,1,Ks,21454.68
56734.12,22.9489,0.143,False,H,AB,1,H,16152.77
56735.11,22.1433,0.051,False,J,AB,1,J,12399.85
56735.11,22.6462,0.159,False,Ks,AB,1,Ks,21454.68
56738.13,22.5482,0.132,False,Ks,AB,1,Ks,21454.68
56740.08,22.2869,0.084,False,H,AB,1,H,16152.77
56740.08,22.3072,0.124,False,Ks,AB,1,Ks,21454.68
56741.1,22.1429,0.075,False,H,AB,1,H,16152.77
56741.47,21.5243,0.015,False,y,AB,1,y,9613.6
56742.04,22.2099,0.09,False,H,AB,1,H,16152.77
56742.98,21.0864,0.039,False,i,AB,1,i,7457.89
56742.98,21.4653,0.013,False,y,AB,1,y,9613.6
56743.06,21.9509,0.072,False,H,AB,1,H,16152.77
56744.07,21.5354,0.043,False,Y,AB,1,Y,9886.45
56744.07,22.0289,0.076,False,H,AB,1,H,16152.77
56744.35,20.8764,0.024,False,r,AB,1,r,6141.12
56744.35,21.0344,0.018,False,z,AB,1,z,8922.78
56744.51,21.1074,0.02,False,i,AB,1,i,7457.89
56745.13,21.4624,0.043,False,Y,AB,1,Y,9886.45
56746.08,21.3654,0.045,False,Y,AB,1,Y,9886.45
56746.08,21.8869,0.103,False,H,AB,1,H,16152.77
56746.08,22.2852,0.113,False,Ks,AB,1,Ks,21454.68
56749.16,21.2964,0.039,False,Y,AB,1,Y,9886.45
56750.04,21.2304,0.036,False,Y,AB,1,Y,9886.45
56750.04,21.9562,0.083,False,Ks,AB,1,Ks,21454.68
56750.29,20.9923,0.02,False,y,AB,1,y,9613.6
56751.08,21.2124,0.039,False,Y,AB,1,Y,9886.45
56754.08,21.1623,0.043,False,J,AB,1,J,12399.85
56754.08,21.7069,0.068,False,H,AB,1,H,16152.77
56754.08,21.1114,0.038,False,Y,AB,1,Y,9886.45
56755.08,21.2043,0.042,False,J,AB,1,J,12399.85
56755.08,21.5259,0.043,False,H,AB,1,H,16152.77
56761.08,21.0343,0.04,False,J,AB,1,J,12399.85
56763.15,20.9893,0.038,False,J,AB,1,J,12399.85
56763.15,21.2889,0.045,False,H,AB,1,H,16152.77
56764.06,20.6442,0.018,False,i,AB,1,i,7457.89
56764.06,20.6326,0.017,False,r,AB,1,r,6141.12
56764.06,21.5902,0.078,False,Ks,AB,1,Ks,21454.68
56764.06,20.6619,0.043,False,z,AB,1,z,8922.78
56764.06,21.3509,0.046,False,H,AB,1,H,16152.77
56764.06,20.9583,0.041,False,J,AB,1,J,12399.85
56764.06,20.7251,0.021,False,g,AB,1,g,4671.78
56765.02,21.3509,0.044,False,H,AB,1,H,16152.77
56766.04,21.3069,0.044,False,H,AB,1,H,16152.77
56766.04,21.6612,0.082,False,Ks,AB,1,Ks,21454.68
56767.05,20.8934,0.044,False,Y,AB,1,Y,9886.45
56767.05,21.2769,0.043,False,H,AB,1,H,16152.77
56767.05,21.4912,0.039,False,Ks,AB,1,Ks,21454.68
56768.03,21.2459,0.044,False,H,AB,1,H,16152.77
56768.03,21.4182,0.051,False,Ks,AB,1,Ks,21454.68
56769.02,21.2129,0.036,False,H,AB,1,H,16152.77
56771.07,20.8693,0.039,False,J,AB,1,J,12399.85
56771.07,21.1949,0.036,False,H,AB,1,H,16152.77
56771.07,20.7484,0.038,False,Y,AB,1,Y,9886.45
56772.07,20.8433,0.04,False,J,AB,1,J,12399.85
56772.96,21.4852,0.041,False,Ks,AB,1,Ks,21454.68
56774.03,21.4182,0.039,False,Ks,AB,1,Ks,21454.68
56774.98,21.1819,0.05,False,H,AB,1,H,16152.77
56778.03,21.0869,0.04,False,H,AB,1,H,16152.77
56778.03,21.3352,0.045,False,Ks,AB,1,Ks,21454.68
56779.04,21.1169,0.044,False,H,AB,1,H,16152.77
56779.04,21.3252,0.047,False,Ks,AB,1,Ks,21454.68
56786.97,20.5522,0.153,False,i,AB,1,i,7457.89
56786.97,20.2609,0.187,False,z,AB,1,z,8922.78
56786.97,20.9331,0.13,False,g,AB,1,g,4671.78
56786.97,20.6976,0.185,False,r,AB,1,r,6141.12
