mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56424.171,20.97,0.13,False,r,AB,1,r,6141.12
56425.163,20.43,0.12,False,r,AB,1,r,6141.12
56426.181,20.5,0.17,False,r,AB,1,r,6141.12
56427.163,20.29,0.16,False,r,AB,1,r,6141.12
56428.206,20.26,0.13,False,r,AB,1,r,6141.12
56433.197,19.73,0.13,False,r,AB,1,r,6141.12
56434.213,19.58,0.1,False,r,AB,1,r,6141.12
56443.178,19.55,0.1,False,r,AB,1,r,6141.12
56443.179,19.9,0.11,False,r,AB,1,r,6141.12
56443.237,19.7,0.13,False,r,AB,1,r,6141.12
56443.25,20.02,0.15,False,r,AB,1,r,6141.12
56444.17,19.98,0.12,False,r,AB,1,r,6141.12
56444.171,19.86,0.09,False,r,AB,1,r,6141.12
56444.27,19.72,0.15,False,r,AB,1,r,6141.12
56444.271,19.74,0.15,False,r,AB,1,r,6141.12
56445.173,19.67,0.09,False,r,AB,1,r,6141.12
56445.174,19.55,0.1,False,r,AB,1,r,6141.12
56445.282,20.13,0.12,False,r,AB,1,r,6141.12
