mjd,mag,mag_err,UL,filter,System,detected
56506.277,20.05,0.12,False,r,AB,1
56506.314,20.02,0.12,False,r,AB,1
56506.435,20.07,0.11,False,r,AB,1
56507.336,20.01,0.12,False,r,AB,1
56507.421,20.11,0.11,False,r,AB,1
56507.458,20.05,0.11,False,r,AB,1
56508.359,20.05,0.11,False,r,AB,1
56508.437,20.19,0.1,False,r,AB,1
56508.476,20.09,0.1,False,r,AB,1
56509.377,20.06,0.1,False,r,AB,1
56509.434,20.04,0.1,False,r,AB,1
56509.473,20.26,0.11,False,r,AB,1
56510.375,20.0,0.1,False,r,AB,1
56510.428,20.19,0.1,False,r,AB,1
56510.467,20.28,0.22,False,r,AB,1
56511.37,20.13,0.1,False,r,AB,1
56511.433,20.1,0.1,False,r,AB,1
56511.471,20.07,0.1,False,r,AB,1
56512.374,20.03,0.11,False,r,AB,1
56512.429,20.05,0.1,False,r,AB,1
56512.467,20.13,0.1,False,r,AB,1
56513.369,20.03,0.1,False,r,AB,1
56513.428,20.2,0.11,False,r,AB,1
56513.466,20.16,0.11,False,r,AB,1
56514.367,20.15,0.1,False,r,AB,1
56514.426,20.26,0.11,False,r,AB,1
56514.462,20.04,0.1,False,r,AB,1
56515.366,20.13,0.11,False,r,AB,1
56515.423,20.2,0.11,False,r,AB,1
56515.46,20.2,0.11,False,r,AB,1
56516.362,20.02,0.1,False,r,AB,1
56516.416,20.1,0.1,False,r,AB,1
56516.454,20.11,0.1,False,r,AB,1
56517.355,20.14,0.1,False,r,AB,1
56517.41,19.99,0.1,False,r,AB,1
56517.447,20.06,0.1,False,r,AB,1
56518.348,20.08,0.11,False,r,AB,1
56518.402,20.26,0.11,False,r,AB,1
56518.439,20.07,0.11,False,r,AB,1
56519.341,20.2,0.11,False,r,AB,1
56519.412,20.18,0.1,False,r,AB,1
56519.449,20.05,0.11,False,r,AB,1
56520.351,20.37,0.12,False,r,AB,1
56520.428,20.19,0.11,False,r,AB,1
56520.465,20.16,0.1,False,r,AB,1
56521.368,20.1,0.12,False,r,AB,1
56521.427,20.04,0.1,False,r,AB,1
56521.463,20.39,0.12,False,r,AB,1
56533.196,20.89,0.24,False,i,AB,1
56533.198,20.63,0.17,False,r,AB,1
56533.201,20.91,0.16,False,g,AB,1
56537.297,20.77,0.14,False,i,AB,1
56537.299,21.71,0.22,False,B,AB,1
56539.238,20.71,0.11,False,r,AB,1
56539.24,22.23,0.33,False,B,AB,1
56539.242,21.6,0.15,False,g,AB,1
56545.388,21.21,0.21,False,i,AB,1
56545.391,21.62,0.2,False,r,AB,1
56546.226,21.22,0.28,False,i,AB,1
56546.232,22.16,0.26,False,g,AB,1
56547.216,20.98,0.17,False,i,AB,1
56547.251,22.07,0.23,False,g,AB,1
56548.176,21.34,0.3,False,i,AB,1
56549.15,21.19,0.28,False,i,AB,1
56550.144,21.38,0.28,False,i,AB,1
56552.186,21.06,0.36,False,i,AB,1
56559.149,21.56,0.26,False,r,AB,1
56564.132,22.09,0.33,False,r,AB,1
56567.13,21.36,0.23,False,i,AB,1
56567.132,22.33,0.36,False,r,AB,1
56569.253,21.85,0.29,False,i,AB,1
56569.256,21.92,0.21,False,r,AB,1
56572.17,21.84,0.3,False,i,AB,1
56578.134,21.73,0.31,False,r,AB,1
56591.393,22.0,0.32,False,r,AB,1
56592.252,22.34,0.32,False,r,AB,1
56658.136,22.45,0.35,False,i,AB,1
56685.141,22.28,0.32,False,r,AB,1
