mjd,mag,mag_err,UL,filter,System,detected
57539.921,18.9401,0.06,False,g,AB,1
57539.964,19.3457,0.08,False,r,AB,1
57546.978,19.0401,0.02,False,g,AB,1
57547.021,19.3457,0.04,False,r,AB,1
57547.058,19.7843,0.08,False,i,AB,1
57547.06,19.7243,0.07,False,i,AB,1
57547.903,19.2957,0.02,False,r,AB,1
57547.905,19.7143,0.05,False,i,AB,1
57547.908,19.2501,0.02,False,g,AB,1
57550.961,19.4457,0.07,False,r,AB,1
57551.974,19.4457,0.03,False,r,AB,1
57551.977,19.7943,0.08,False,i,AB,1
57551.98,19.2701,0.05,False,g,AB,1
57555.085,19.4701,0.23,False,g,AB,1
57555.089,19.4101,0.05,False,g,AB,1
57556.042,19.6601,0.21,False,g,AB,1
57556.046,19.6101,0.1,False,g,AB,1
57556.05,19.6457,0.12,False,r,AB,1
57556.052,19.6657,0.09,False,r,AB,1
57563.045,19.8501,0.16,False,g,AB,1
57563.049,19.7257,0.14,False,r,AB,1
57563.051,19.5957,0.09,False,r,AB,1
57573.779,20.1957,0.04,False,r,AB,1
57574.002,20.6801,0.12,False,g,AB,1
57574.007,20.1357,0.15,False,r,AB,1
57574.011,20.2157,0.06,False,r,AB,1
57574.014,20.3343,0.15,False,i,AB,1
57574.018,20.4443,0.16,False,i,AB,1
57575.954,20.6501,0.08,False,g,AB,1
57575.957,20.6243,0.13,False,i,AB,1
57575.958,20.6201,0.07,False,g,AB,1
57575.959,20.2557,0.06,False,r,AB,1
57575.96,20.6043,0.12,False,i,AB,1
57578.008,20.8801,0.11,False,g,AB,1
57578.013,20.8201,0.17,False,g,AB,1
57579.781,20.5357,0.06,False,r,AB,1
57579.783,20.4843,0.07,False,i,AB,1
57579.785,21.0701,0.06,False,g,AB,1
57580.988,21.0701,0.12,False,g,AB,1
57580.993,20.9401,0.1,False,g,AB,1
57580.998,20.4957,0.08,False,r,AB,1
57581.001,20.5457,0.11,False,r,AB,1
57581.009,20.4943,0.21,False,i,AB,1
57586.977,20.7357,0.18,False,r,AB,1
57589.74,20.9043,0.18,False,i,AB,1
57592.777,20.9157,0.05,False,r,AB,1
57592.783,20.8743,0.07,False,i,AB,1
57592.789,21.7801,0.1,False,g,AB,1
57596.846,21.7501,0.19,False,g,AB,1
57596.851,21.2057,0.1,False,r,AB,1
57596.855,20.9657,0.1,False,r,AB,1
57596.859,21.1443,0.19,False,i,AB,1
57598.775,21.2657,0.12,False,r,AB,1
57598.781,20.9243,0.09,False,i,AB,1
57598.787,21.9401,0.15,False,g,AB,1
57600.92,21.2157,0.23,False,r,AB,1
57601.855,22.2401,0.22,False,g,AB,1
57601.865,21.2957,0.1,False,r,AB,1
57601.869,21.2157,0.13,False,r,AB,1
57601.872,21.1143,0.12,False,i,AB,1
57618.741,21.7357,0.21,False,r,AB,1
57630.659,22.0557,0.22,False,r,AB,1
57630.662,21.7843,0.17,False,i,AB,1
