# z, f_OH, f_Fe_mixed (Z_cutoff_OH=0.6; Z_cutoff_Fe=0.2)
0.000000000000000000e+00,1.016084002840105943e-01,4.937461893021678760e-02
5.999999999999999778e-02,1.011646203199567107e-01,5.187023563010444149e-02
1.199999999999999956e-01,1.007128361299981373e-01,5.439601090864596561e-02
1.799999999999999933e-01,1.002856148693373334e-01,5.696502978090845631e-02
2.399999999999999911e-01,9.991693199491472055e-02,5.959352111282954778e-02
2.999999999999999889e-01,9.964140028023968365e-02,6.230077226109554528e-02
3.599999999999999867e-01,9.949346265420502822e-02,6.510888910397187590e-02
4.199999999999999845e-01,9.950643435299096062e-02,6.804230301116598323e-02
4.799999999999999822e-01,9.971255616585759929e-02,7.112780883395516951e-02
5.400000000000000355e-01,1.001419370080370297e-01,7.439367637931443289e-02
5.999999999999999778e-01,1.008224732287606451e-01,7.786922763869864872e-02
6.599999999999999201e-01,1.017798573986842675e-01,8.158456041089048871e-02
7.199999999999999734e-01,1.030370930880862290e-01,8.556962809990259489e-02
7.800000000000000266e-01,1.046145369116193435e-01,8.985374201081594570e-02
8.399999999999999689e-01,1.065297591835778629e-01,9.446487178474696766e-02
8.999999999999999112e-01,1.087974212146443354e-01,9.942887784291222497e-02
9.599999999999999645e-01,1.114291786052740846e-01,1.047688070819170758e-01
1.020000000000000018e+00,1.144334054877313711e-01,1.105040899290709588e-01
1.080000000000000071e+00,1.178151941599715063e-01,1.166498590486532566e-01
1.139999999999999902e+00,1.215762473670602140e-01,1.232163725103548602e-01
1.199999999999999956e+00,1.257147831572104635e-01,1.302084744351591494e-01
1.260000000000000009e+00,1.302258052673562205e-01,1.376255359519296950e-01
1.319999999999999840e+00,1.351013861746219180e-01,1.454613373853715641e-01
1.379999999999999893e+00,1.403312242337455551e-01,1.537049486165160128e-01
1.439999999999999947e+00,1.459033261216030886e-01,1.623412074984475206e-01
1.500000000000000000e+00,1.518051671381584755e-01,1.713521313528343915e-01
1.560000000000000053e+00,1.580246598002133518e-01,1.807184961963923531e-01
1.619999999999999885e+00,1.645514884248167331e-01,1.904216028357962609e-01
1.679999999999999938e+00,1.713783180261931882e-01,2.004451305049548271e-01
1.739999999999999991e+00,1.785019501414280840e-01,2.107769594961545756e-01
1.799999999999999822e+00,1.859242770285034485e-01,2.214106738808274133e-01
1.859999999999999876e+00,1.936528994315629415e-01,2.323467542153530851e-01
1.919999999999999929e+00,2.017014393467560507e-01,2.435931837908610065e-01
1.979999999999999982e+00,2.100891090692180718e-01,2.551654103816476948e-01
2.040000000000000036e+00,2.188405407581415496e-01,2.670856783717410754e-01
2.100000000000000089e+00,2.279841079585754604e-01,2.793816041356405044e-01
2.160000000000000142e+00,2.375505901769316142e-01,2.920841391880282245e-01
2.219999999999999751e+00,2.475709541829128058e-01,3.052247804716288204e-01
2.279999999999999805e+00,2.580739688519784192e-01,3.188324244331042223e-01
2.339999999999999858e+00,2.690835829475990426e-01,3.329299917519363827e-01
2.399999999999999911e+00,2.806161888387121994e-01,3.475308668650510247e-01
2.459999999999999964e+00,2.926783066492697483e-01,3.626359037881997649e-01
2.520000000000000018e+00,3.052647970774446384e-01,3.782312399843991146e-01
2.580000000000000071e+00,3.183582385960400662e-01,3.942875041648425949e-01
2.639999999999999680e+00,3.319294418492786392e-01,4.107606287115790900e-01
2.699999999999999734e+00,3.459395949899918832e-01,4.275946697298269039e-01
2.759999999999999787e+00,3.603436484533205642e-01,4.447262473142165051e-01
2.819999999999999840e+00,3.750945434678070733e-01,4.620899147844004240e-01
2.879999999999999893e+00,3.901473655199806934e-01,4.796234437238143800e-01
2.939999999999999947e+00,4.054628503798248795e-01,4.972722011161801459e-01
3.000000000000000000e+00,4.210091128996567567e-01,5.149912241139548152e-01
3.060000000000000053e+00,4.367618751837149538e-01,5.327454759149404806e-01
3.120000000000000107e+00,4.527031763358789762e-01,5.505080202033402204e-01
3.179999999999999716e+00,4.688194253348817453e-01,5.682576848906529809e-01
3.239999999999999769e+00,4.850994123876118946e-01,5.859764275133469980e-01
3.299999999999999822e+00,5.015326684149323810e-01,6.036473735348162339e-01
3.359999999999999876e+00,5.181083853325948452e-01,6.212533935132746876e-01
3.419999999999999929e+00,5.348146709899506135e-01,6.387763000681806469e-01
3.479999999999999982e+00,5.516380504212742286e-01,6.561962516307479065e-01
3.540000000000000036e+00,5.685630639003566023e-01,6.734913636759104483e-01
3.599999999999999645e+00,5.855719363038860426e-01,6.906374160324808553e-01
3.659999999999999698e+00,6.026443200922546595e-01,7.076076871488968800e-01
3.719999999999999751e+00,6.197571008434344941e-01,7.243728695556312935e-01
3.779999999999999805e+00,6.368842819285445156e-01,7.409011544192609655e-01
3.839999999999999858e+00,6.539969421922336990e-01,7.571583857128735273e-01
3.899999999999999911e+00,6.710632723705499680e-01,7.731083468050458096e-01
3.959999999999999964e+00,6.880487245010432629e-01,7.887131459072191930e-01
4.019999999999999574e+00,7.049161859675152630e-01,8.039337567429352127e-01
4.080000000000000071e+00,7.216262876927297398e-01,8.187305841909707782e-01
4.139999999999999680e+00,7.381377559902894125e-01,8.330640712507821899e-01
4.200000000000000178e+00,7.544078294361700188e-01,8.468955256299507406e-01
4.259999999999999787e+00,7.703927660133735866e-01,8.601878497606459950e-01
4.320000000000000284e+00,7.860483689998609691e-01,8.729062669659501950e-01
4.379999999999999893e+00,8.013305660948204512e-01,8.850191702616893030e-01
4.439999999999999503e+00,8.161960194144246561e-01,8.964988222567468190e-01
4.500000000000000000e+00,8.306027480264058793e-01,9.073220528560493880e-01
4.559999999999999609e+00,8.445107511820655333e-01,9.174708482498002970e-01
4.620000000000000107e+00,8.578826232794095619e-01,9.269328599762945986e-01
4.679999999999999716e+00,8.706841366240734015e-01,9.357017515019584453e-01
4.740000000000000213e+00,8.828847877753172035e-01,9.437774272431520561e-01
4.799999999999999822e+00,8.944582911023752914e-01,9.511660875090706124e-01
4.859999999999999432e+00,9.053830022563665869e-01,9.578801197425690361e-01
4.919999999999999929e+00,9.156422726582029714e-01,9.639378247828331858e-01
4.979999999999999538e+00,9.252247130493298499e-01,9.693629810317281326e-01
