cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,607,395,0.6507413509060955,0.1,0.2,0.019350110154129473
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,607,386,0.6359143327841845,0.1,0.2,0.019530202780956685
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,607,373,0.6144975288303131,0.1,0.2,0.019755103438049263
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,607,411,0.6771004942339374,0.1,0.2,0.01897867592688051
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,607,0,0.0,0.1,0.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,607,397,0.6540362438220758,0.1,0.2,0.019307314197753767
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,607,384,0.6326194398682042,0.1,0.2,0.019567484888416083
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,607,356,0.586490939044481,0.1,0.2,0.0199884364208143
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,607,409,0.6738056013179572,0.1,0.2,0.019028791718110772
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,607,0,0.0,0.1,0.2,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,1775,1073,0.6045070422535211,0.2,0.3,0.011605687729424443
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,1775,1033,0.5819718309859155,0.2,0.3,0.01170724150342919
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,1775,981,0.5526760563380282,0.2,0.3,0.011801771962650661
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,1775,1130,0.6366197183098592,0.2,0.3,0.01141619932731949
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,1775,0,0.0,0.2,0.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,1775,1080,0.6084507042253521,0.2,0.3,0.011585285586224467
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,1775,1041,0.5864788732394366,0.2,0.3,0.011688959627514114
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,1775,995,0.5605633802816902,0.2,0.3,0.011780434411006718
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,1775,1133,0.6383098591549295,0.2,0.3,0.011404728025248285
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,1775,0,0.0,0.2,0.3,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,4116,2368,0.5753158406219631,0.3,0.4,0.007704571928940217
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,4116,2269,0.5512633624878522,0.3,0.4,0.00775242630545972
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,4116,2168,0.5267249757045676,0.3,0.4,0.007782355508322525
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,4116,2557,0.6212342079689018,0.3,0.4,0.007560932700969449
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,4116,0,0.0,0.3,0.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,4116,2330,0.5660835762876579,0.3,0.4,0.007725127191360671
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,4116,2210,0.5369290573372206,0.3,0.4,0.0077722101685946884
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,4116,2071,0.5031584062196307,0.3,0.4,0.007793340589800227
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,4116,2559,0.6217201166180758,0.3,0.4,0.007559035763513254
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,4116,0,0.0,0.3,0.4,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,7873,4286,0.5443922265972311,0.4,0.5,0.005612823614405187
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,7873,4050,0.5144163597104027,0.4,0.5,0.00563273452967662
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,7873,3839,0.4876159024514162,0.4,0.5,0.005633348586741893
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,7873,4805,0.6103137304712308,0.4,0.5,0.005496218587033153
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,7873,0,0.0,0.4,0.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,7873,4300,0.5461704559888225,0.4,0.5,0.005611001163099446
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,7873,4036,0.5126381303188111,0.4,0.5,0.005633276925949135
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,7873,3758,0.4773275752572082,0.4,0.5,0.005629281030707465
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,7873,4758,0.6043439603708879,0.4,0.5,0.005511005788462966
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,7873,0,0.0,0.4,0.5,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,13299,7006,0.5268065268065268,0.5,0.6,0.00432947716454047
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,13299,6520,0.4902624257462967,0.5,0.6,0.004334890541789719
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,13299,6049,0.4548462290397774,0.5,0.6,0.0043179968035912935
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,13299,8032,0.6039551846003459,0.5,0.6,0.004240968337140401
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,13299,0,0.0,0.5,0.6,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,13299,6827,0.5133468681855778,0.5,0.6,0.004334167853984549
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,13299,6326,0.4756748627716369,0.5,0.6,0.004330578818488029
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,13299,5759,0.4330400782013685,0.5,0.6,0.004296657471095489
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,13299,7923,0.5957590796300474,0.5,0.6,0.004255454770708089
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,13299,0,0.0,0.5,0.6,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,20555,9723,0.4730235952323036,0.6,0.7,0.003482396734238413
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,20555,8869,0.4314765263926052,0.6,0.7,0.003454570394040904
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,20555,8071,0.3926538555096083,0.6,0.7,0.003406154411448691
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,20555,11439,0.5565069326198006,0.6,0.7,0.0034651334632404365
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,20555,0,0.0,0.6,0.7,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,20555,9690,0.4714181464363902,0.6,0.7,0.0034817736335751954
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,20555,8828,0.4294818778885916,0.6,0.7,0.0034526169885694294
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,20555,7851,0.3819508635368523,0.6,0.7,0.003388882487451942
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,20555,11534,0.5611286791534906,0.6,0.7,0.00346131475158399
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,20555,0,0.0,0.6,0.7,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,30694,13514,0.4402814882387437,0.7,0.8,0.0028335005669188683
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,30694,12163,0.3962663712777741,0.7,0.8,0.0027918337189338552
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,30694,10974,0.3575291587932495,0.7,0.8,0.0027356195583120007
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,30694,16441,0.5356421450446341,0.7,0.8,0.0028466693416241175
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,30694,0,0.0,0.7,0.8,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,30694,13336,0.4344823092461067,0.7,0.8,0.002829322167542493
