z_lo,z_hi,n_events,efficiency_Detect,efficiency_Characterize,efficiency_Villar,efficiency_ELAsTiCC,n_success_Detect,n_success_Characterize,n_success_Villar,n_success_ELAsTiCC,sigma_Detect,sigma_Characterize,sigma_Villar,sigma_ELAsTiCC
0.1,0.2,607,0.6540362438220758,0.6326194398682042,0.586490939044481,0.6738056013179572,397,384,356,409,0.0193073141977537,0.019567484888416,0.0199884364208143,0.0190287917181107
0.2,0.3,1775,0.6084507042253521,0.5864788732394366,0.5605633802816902,0.6383098591549295,1080,1041,995,1133,0.0115852855862244,0.0116889596275141,0.0117804344110067,0.0114047280252482
0.3,0.4,4116,0.5660835762876579,0.5369290573372206,0.5031584062196307,0.6217201166180758,2330,2210,2071,2559,0.0077251271913606,0.0077722101685946,0.0077933405898002,0.0075590357635132
0.4,0.5,7873,0.5461704559888225,0.5126381303188111,0.4773275752572082,0.6043439603708879,4300,4036,3758,4758,0.0056110011630994,0.0056332769259491,0.0056292810307074,0.0055110057884629
0.5,0.6,13299,0.5133468681855778,0.4756748627716369,0.4330400782013685,0.5957590796300474,6827,6326,5759,7923,0.0043341678539845,0.004330578818488,0.0042966574710954,0.004255454770708
0.6,0.7,20555,0.4714181464363902,0.4294818778885916,0.3819508635368523,0.5611286791534906,9690,8828,7851,11534,0.0034817736335751,0.0034526169885694,0.0033888824874519,0.0034613147515839
0.7,0.8,30694,0.4344823092461067,0.3918355378901414,0.3439434417149931,0.5368150127060664,13336,12027,10557,16477,0.0028293221675424,0.0027863501140827,0.0027113614228832,0.0028461829938883
0.8,0.9,43470,0.3926616057050839,0.3466758684149988,0.3020013802622498,0.5021164021164021,17069,15070,13128,21827,0.0023422312307905,0.0022826080045339,0.0022020994362995,0.0023981221126966
0.9,1.0,59558,0.350313979650089,0.3028140636018671,0.2583364115651969,0.4723462842943013,20864,18035,15386,28132,0.0019548365141966,0.0018827483553399,0.001793602653209,0.002045665869586
1.0,1.1,78294,0.3082739418090786,0.2629447978133701,0.2210769663064858,0.4342350627123407,24136,20587,17309,33998,0.0016503316752379,0.0015733236053958,0.0014830465426725,0.0017713982763827
1.1,1.2,100941,0.2737143479854568,0.2287970200414103,0.1896454364430707,0.399025173120932,27629,23095,19143,40278,0.0014033587687851,0.0013221347800702,0.0012338857194845,0.0015413259361605
1.2,1.3,125961,0.2371289526123165,0.1969895443827851,0.160311524995832,0.3626598709124253,29869,24813,20193,45681,0.0011983945022842,0.0011206348854802,0.0010337687960647,0.0013546195322204
1.3,1.4,155556,0.2076165496670009,0.1705816554809843,0.1370631798194862,0.3303954845843297,32296,26535,21321,51395,0.0010283839720121,0.0009536952008263,0.0008719799881464,0.0011925671847769
1.4,1.5,186754,0.1770832217783822,0.1420210544352463,0.1122921061931739,0.2965130599612324,33071,26523,20971,55375,0.0008833477550688,0.000807755130957,0.0007305916401814,0.001056853954422
1.5,1.6,219104,0.1512067328757119,0.1183456258215276,0.092891959982474,0.2662525558638819,33130,25930,20353,58337,0.0007653522701703,0.0006900811037958,0.0006201452452496,0.000944267495779
1.6,1.7,251458,0.1267686850289114,0.0960836402102935,0.0737379602160201,0.234921935273485,31877,24161,18542,59073,0.0006634953980492,0.0005877005795478,0.0005211704270197,0.0008454383261393
1.7,1.8,285027,0.1051795093096443,0.0779259508748294,0.0592575440221452,0.2079206531311069,29979,22211,16890,59263,0.0005746329557696,0.0005020892858548,0.0004422462868273,0.0007601340011892
1.8,1.9,314020,0.0851697344118209,0.0612540602509394,0.0460416533978727,0.1800108273358384,26745,19235,14458,56527,0.0004981203147933,0.0004279202335008,0.0003739913064843,0.000685606171565
1.9,2.0,342317,0.0675163664089133,0.0465796323290984,0.0343453582498093,0.1560278922752886,23112,15945,11757,53411,0.000428855422806,0.0003601853189074,0.0003112652998984,0.0006202273798119
2.0,2.1,369515,0.0526744516460766,0.0350946510967078,0.0257580883049402,0.132860641651895,19464,12968,9518,49094,0.0003674799090275,0.0003027239525249,0.0002605998623322,0.0005583757975191
2.1,2.2,391800,0.0398979070954568,0.0259086268504338,0.0190428790199081,0.1102730985196528,15632,10151,7461,43205,0.0003126810414016,0.0002537989557034,0.0002183529684534,0.0005004157084078
2.2,2.3,412624,0.0300636899453255,0.0192184652371166,0.014010333863275,0.0916088254682228,12405,7930,5781,37800,0.0002658370496303,0.0002137313599902,0.0001829713875347,0.0004490842956659
