cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,564,359,0.6365248226950354,0.1,0.2,0.02025375251056019
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,564,351,0.6223404255319149,0.1,0.2,0.02041383988018105
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,564,334,0.5921985815602837,0.1,0.2,0.020692763560138626
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,564,368,0.6524822695035462,0.1,0.2,0.02005087312998882
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,564,0,0.0,0.1,0.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,564,348,0.6170212765957447,0.1,0.2,0.020469057292053255
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,564,343,0.6081560283687943,0.1,0.2,0.02055533413918541
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,564,334,0.5921985815602837,0.1,0.2,0.020692763560138626
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,564,362,0.6418439716312057,0.1,0.2,0.020188837574504542
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,564,135,0.2393617021276596,0.1,0.2,0.017967054053222933
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,1735,1047,0.6034582132564842,0.2,0.3,0.011744062160457482
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,1735,1005,0.579250720461095,0.2,0.3,0.011852098229986747
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,1735,985,0.5677233429394812,0.2,0.3,0.011893222074315781
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,1735,1100,0.6340057636887608,0.2,0.3,0.011564689756462255
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,1735,0,0.0,0.2,0.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,1735,1040,0.5994236311239193,0.2,0.3,0.011764131034856124
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,1735,1003,0.5780979827089338,0.2,0.3,0.01185650771820809
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,1735,966,0.5567723342939481,0.2,0.3,0.01192621170708934
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,1735,1110,0.6397694524495677,0.2,0.3,0.011525301077839153
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,1735,415,0.239193083573487,0.2,0.3,0.010241458164148697
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,3492,2079,0.595360824742268,0.3,0.4,0.008305905259028492
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,3492,1983,0.5678694158075601,0.3,0.4,0.008382906542905326
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,3492,1892,0.5418098510882016,0.3,0.4,0.008431584655506532
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,3492,2221,0.6360252004581901,0.3,0.4,0.008142086313832493
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,3492,0,0.0,0.3,0.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,3492,2020,0.5784650630011455,0.3,0.4,0.00835638108148426
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,3492,1905,0.5455326460481099,0.3,0.4,0.008426061038415152
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,3492,1805,0.5168957617411226,0.3,0.4,0.008456385869879292
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,3492,2203,0.6308705612829324,0.3,0.4,0.008166244048772678
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,3492,779,0.2230813287514318,0.3,0.4,0.007045020694415623
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,6309,3469,0.5498494214614044,0.4,0.5,0.006263549714763775
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,6309,3257,0.5162466317958472,0.4,0.5,0.006291589121089735
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,6309,3033,0.4807417974322396,0.4,0.5,0.006290242094457766
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,6309,3826,0.6064352512284039,0.4,0.5,0.006150636363345493
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,6309,0,0.0,0.4,0.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,6309,3409,0.5403391979711524,0.4,0.5,0.006274392869561542
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,6309,3187,0.5051513710572199,0.4,0.5,0.0062945790213223465
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,6309,2962,0.4694880329687748,0.4,0.5,0.006283181311301905
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,6309,3816,0.6048502139800286,0.4,0.5,0.0061549500267445946
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,6309,1191,0.1887779362815026,0.4,0.5,0.004926803376722708
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,9755,5123,0.5251665812403895,0.5,0.6,0.005055982274442248
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,9755,4778,0.4898001025115325,0.5,0.6,0.00506134547836653
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,9755,4402,0.4512557662737058,0.5,0.6,0.005038284996162511
