z_lo,z_hi,n_events,efficiency_Detect,efficiency_Characterize,efficiency_Villar,efficiency_ELAsTiCC,n_success_Detect,n_success_Characterize,n_success_Villar,n_success_ELAsTiCC,sigma_Detect,sigma_Characterize,sigma_Villar,sigma_ELAsTiCC
0.1,0.2,564,0.6170212765957447,0.6081560283687943,0.5921985815602837,0.6418439716312057,348,343,334,362,0.0204690572920532,0.0205553341391854,0.0206927635601386,0.0201888375745045
0.2,0.3,1735,0.5994236311239193,0.5780979827089338,0.5567723342939481,0.6397694524495677,1040,1003,966,1110,0.0117641310348561,0.011856507718208,0.0119262117070893,0.0115253010778391
0.3,0.4,3492,0.5784650630011455,0.5455326460481099,0.5168957617411226,0.6308705612829324,2020,1905,1805,2203,0.0083563810814842,0.0084260610384151,0.0084563858698792,0.0081662440487726
0.4,0.5,6309,0.5403391979711524,0.5051513710572199,0.4694880329687748,0.6048502139800286,3409,3187,2962,3816,0.0062743928695615,0.0062945790213223,0.0062831813113019,0.0061549500267445
0.5,0.6,9755,0.5122501281394157,0.4751409533572527,0.4343413634033828,0.5963095848282932,4997,4635,4237,5817,0.0050608793384324,0.0050561382358041,0.0050185605627527,0.0049675983848322
0.6,0.7,14472,0.464759535655058,0.4242675511332228,0.3790768380320619,0.5598396904367053,6726,6140,5486,8102,0.0041459527381219,0.0041083362866912,0.0040329076576257,0.0041264159625509
0.7,0.8,19744,0.4251924635332252,0.3826985413290113,0.3394955429497568,0.5277046191247974,8395,7556,6703,10419,0.0035183288921393,0.0034590710601185,0.0033700577540977,0.0035529142488386
0.8,0.9,25776,0.3941651148355058,0.3493947858472998,0.308659217877095,0.5072936064556176,10160,9006,7956,13076,0.0030437464324254,0.002969677017832,0.0028772523434919,0.0031139815265318
0.9,1.0,32268,0.3500991694558076,0.3024358497582745,0.2584913846535267,0.4719226478244701,11297,9759,8341,15228,0.0026554190226797,0.0025569526582619,0.0024372221306619,0.0027790614946128
1.0,1.1,39058,0.3120487480157714,0.265092938706539,0.2219263659173536,0.4379128475600389,12188,10354,8668,17104,0.0023444180389508,0.0022333680008527,0.0021026152004694,0.0025103869710012
1.1,1.2,46121,0.2730860128791657,0.2300253680535981,0.189349753908198,0.3981700310053988,12595,10609,8733,18364,0.0020746358750875,0.001959641905737,0.0018243147704235,0.0022794067606255
1.2,1.3,52667,0.2381757077486851,0.1984164657185714,0.162074923576433,0.3622572009037917,12544,10450,8536,19079,0.0018561234183361,0.0017377766525643,0.0016057991219752,0.0020944114567589
1.3,1.4,59270,0.2061413868736291,0.1692593217479331,0.1347899443225915,0.3277037286991733,12218,10032,7989,19423,0.0016616391409021,0.0015402512605068,0.0014027234665243,0.0019279846822453
1.4,1.5,64270,0.1783724910533686,0.143830714174576,0.1131320989575229,0.2964680255173487,11464,9244,7271,19054,0.001510070677449,0.0013842084320172,0.0012494481566564,0.0018014686165285
1.5,1.6,69241,0.1535073150301122,0.1199722707644314,0.0927051891220519,0.2691324504267702,10629,8307,6419,18635,0.0013699176993534,0.001234829374754,0.0011021598083532,0.001685468758452
1.6,1.7,73624,0.127811583179398,0.0963816146908616,0.073956861892861,0.2345295012495925,9410,7096,5445,17267,0.0012304970023395,0.0010876268583433,0.0009644842544608,0.0015615405422925
1.7,1.8,75591,0.1058723922160045,0.0775886018176767,0.0603378709105581,0.2080803270230583,8003,5865,4561,15729,0.0011190669510827,0.0009730300392648,0.0008660556661567,0.0014764577760681
1.8,1.9,77551,0.0847958117883715,0.0602442263800595,0.0453765908885765,0.1811839950484197,6576,4672,3519,14051,0.0010003512045365,0.0008544202172206,0.000747374491677,0.0013831184547366
1.9,2.0,78214,0.0671618891758508,0.0458741401795075,0.033894187741325,0.1552279643030659,5253,3588,2651,12141,0.0008949985748027,0.0007480739876545,0.0006470423610142,0.0012948292367977
2.0,2.1,77970,0.0527638835449531,0.0357573425676542,0.0259971784019494,0.1334744132358599,4114,2788,2027,10407,0.0008006334555878,0.0006649852628225,0.0005698747932152,0.0012179401252159
2.1,2.2,76681,0.0402316088731237,0.0260299161461118,0.0190007955034493,0.111592180592324,3085,1996,1457,8557,0.0007096154094282,0.0005749966431872,0.0004930333937811,0.0011370490097072
2.2,2.3,75462,0.0315390527682807,0.0208449285733216,0.0152394582703877,0.0938088044313694,2380,1573,1150,7079,0.0006362110730061,0.0005200699837271,0.0004459497534573,0.0010613718476924
2.3,2.4,73284,0.0231564870913159,0.015583210523443,0.0107936248021396,0.0740134272146716,1697,1142,791,5424,0.000555576993799,0.0004575234853641,0.0003817003243721,0.0009670591067547
2.4,2.5,70045,0.0179741594689128,0.0113926761367692,0.0081804554215147,0.0597187522307088,1259,798,573,4183,0.0005019924476027,0.0004009924704307,0.0003403427490298,0.0008953558595611
2.5,2.6,67599,0.0149706356602908,0.0092752851373541,0.0062279027796269,0.0490096007337386,1012,627,421,3313,0.0004670620417204,0.0003686973342332,0.0003025827571016,0.0008303448813157
2.6,2.7,64075,0.0110807647288333,0.0064455715957861,0.0045727662895044,0.0394849785407725,710,413,293,2530,0.0004135432834871,0.0003161420336623,0.0002665323659786,0.000769349589356
2.7,2.8,61272,0.0085193889541715,0.0049778038908473,0.0037537537537537,0.032331244287766,522,305,230,1981,0.0003712917572091,0.0002843179293219,0.0002470502003973,0.0007145679621595
2.8,2.9,57731,0.0071711905215568,0.0042091770452616,0.0028407614626457,0.0271777727737264,414,243,164,1569,0.0003511787880355,0.0002694499555541,0.000221510900378,0.0006767357723302
2.9,3.0,54684,0.0055043522785458,0.0032916392363396,0.0020664179650354,0.021231073074391,301,180,113,1161,0.0003163912152349,0.0002449401776954,0.0001941912985658,0.0006164472533775
3.0,3.1,51551,0.0044422028670636,0.0027351554771003,0.0018816317821186,0.0184865473026711,229,141,97,953,0.0002928963002935,0.0002300264181455,0.0001908709331919,0.0005932769620621
3.1,3.2,48482,0.0033826987335505,0.0018976114846747,0.0013819561899261,0.0142320861350604,164,92,67,690,0.0002636972543705,0.0001976518728638,0.0001687161197352,0.0005379369263177
3.2,3.3,45444,0.0030367045154475,0.0016063726784614,0.0008802042073761,0.0113546342751518,138,73,40,516,0.0002581086603809,0.0001878606319889,0.0001391112414722,0.0004970139369533
3.3,3.4,42633,0.0019233926770342,0.0007036802476954,0.0005394881898998,0.0099688035090188,82,30,23,425,0.0002121988228811,0.0001284286381017,0.0001124607159138,0.0004811417137025
3.4,3.5,40291,0.0010424164205405,0.000421930455933,0.00017373607009,0.007718845399717,42,17,7,311,0.0001607644884072,0.0001023115758339,6.566035764470727e-05,0.0004360030423462
3.5,3.6,37541,0.0009855890892624,0.0002930129724834,0.0001864628006712,0.007058948882555,37,11,7,265,0.0001619499810648,8.833379099415566e-05,7.046974327974268e-05,0.0004320945942099
3.6,3.7,35472,0.0007611637347767,0.0001409562471808,0.0,0.0059483536310329,27,5,0,211,0.0001464302685176,6.303310718510564e-05,0.0,0.0004082818052271
3.7,3.8,33338,0.0002099706041154,0.0,2.9995800587917693e-05,0.0051592777011218,7,0,1,172,7.935309651094027e-05,0.0,2.9995350710517603e-05,0.0003923751170617
3.8,3.9,31132,0.000224849029937,0.0,0.0,0.0042078889888217,7,0,0,131,8.497539017841461e-05,0.0,0.0,0.0003668706479231
3.9,4.0,29233,0.0,0.0,0.0,0.0036260390654397,0,0,0,106,0.0,0.0,0.0,0.0003515529371128
4.0,4.1,27277,0.0,0.0,0.0,0.0020530116948344,0,0,0,56,0.0,0.0,0.0,0.0002740634659414
4.1,4.2,26106,0.0,0.0,0.0,0.0019152685206465,0,0,0,50,0.0,0.0,0.0,0.0002706003627386
4.2,4.3,24195,0.0,0.0,0.0,0.0014052490183922,0,0,0,34,0.0,0.0,0.0,0.0002408288276422
4.3,4.4,22695,0.0,0.0,0.0,0.0008371888081075,0,0,0,19,0.0,0.0,0.0,0.0001919838709314
