cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,630,417,0.6619047619047619,0.1,0.2,0.018847207197958998
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,630,408,0.6476190476190476,0.1,0.2,0.019032495886006796
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,630,400,0.6349206349206349,0.1,0.2,0.01918152311481409
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,630,424,0.6730158730158731,0.1,0.2,0.018689845629593207
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,630,0,0.0,0.1,0.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,630,408,0.6476190476190476,0.1,0.2,0.019032495886006796
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,630,391,0.6206349206349207,0.1,0.2,0.019331987470536043
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,630,384,0.6095238095238096,0.1,0.2,0.019436691498926257
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,630,425,0.6746031746031746,0.1,0.2,0.01866640014344139
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,630,0,0.0,0.1,0.2,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,1728,1058,0.6122685185185185,0.2,0.3,0.011720998975546208
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,1728,1010,0.5844907407407407,0.2,0.3,0.011855156781758308
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,1728,960,0.5555555555555556,0.2,0.3,0.01195365230310931
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,1728,1113,0.6440972222222222,0.2,0.3,0.01151779999618946
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,1728,0,0.0,0.2,0.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,1728,1042,0.6030092592592593,0.2,0.3,0.011770104267167205
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,1728,993,0.5746527777777778,0.2,0.3,0.011893308565747465
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,1728,949,0.5491898148148148,0.2,0.3,0.01196978164054261
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,1728,1114,0.6446759259259259,0.2,0.3,0.011513600966213285
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,1728,0,0.0,0.2,0.3,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,3589,2111,0.5881861242685985,0.3,0.4,0.00821525684968476
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,3589,2002,0.5578155475062692,0.3,0.4,0.008290110368110311
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,3589,1893,0.5274449707439398,0.3,0.4,0.008333511583916542
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,3589,2266,0.63137364168292,0.3,0.4,0.00805285144203229
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,3589,0,0.0,0.3,0.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,3589,2074,0.5778768459180831,0.3,0.4,0.008244237699372757
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,3589,1980,0.5516857063248816,0.3,0.4,0.008301382586369376
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,3589,1888,0.5260518250208972,0.3,0.4,0.008334757418427981
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,3589,2242,0.6246865422123155,0.3,0.4,0.008082419997099348
