z_lo,z_hi,n_events,efficiency_Detect,efficiency_Characterize,efficiency_Villar,efficiency_ELAsTiCC,n_success_Detect,n_success_Characterize,n_success_Villar,n_success_ELAsTiCC,sigma_Detect,sigma_Characterize,sigma_Villar,sigma_ELAsTiCC
0.1,0.2,630,0.6619047619047619,0.6476190476190476,0.6349206349206349,0.6730158730158731,417,408,400,424,0.0188472071979589,0.0190324958860067,0.019181523114814,0.0186898456295932
0.2,0.3,1728,0.6122685185185185,0.5844907407407407,0.5555555555555556,0.6440972222222222,1058,1010,960,1113,0.0117209989755462,0.0118551567817583,0.0119536523031093,0.0115177999961894
0.3,0.4,3589,0.5881861242685985,0.5578155475062692,0.5274449707439398,0.63137364168292,2111,2002,1893,2266,0.0082152568496847,0.0082901103681103,0.0083335115839165,0.0080528514420322
0.4,0.5,6335,0.5595895816890292,0.5193370165745856,0.4858721389108129,0.6173638516179952,3545,3290,3078,3911,0.0062372089379857,0.0062772824240599,0.0062794738786578,0.0061064708304954
0.5,0.6,10040,0.5195219123505976,0.4798804780876494,0.4450199203187251,0.5938247011952191,5216,4818,4468,5962,0.0049862249984209,0.004985988383776,0.0049597703370859,0.0049013873701182
0.6,0.7,14640,0.4777322404371584,0.437363387978142,0.4049863387978142,0.5666666666666667,6994,6403,5929,8296,0.0041282723970061,0.0040998188587402,0.0040570757540173,0.0040954756086985
0.7,0.8,20551,0.4340907985012894,0.3916597732470439,0.3502992555106807,0.5333560410685612,8921,8049,7199,10961,0.003457380579415,0.0034049541804559,0.0033278198639536,0.0034800457516205
0.8,0.9,27682,0.3934325554511957,0.3469763745394119,0.3074199841051947,0.4996387544252583,10891,9605,8510,13831,0.0029361346168142,0.0028609855686315,0.0027733347520479,0.0030051846289948
0.9,1.0,35795,0.3558597569492946,0.3088699539041765,0.2683615030032127,0.4700935884900126,12738,11056,9606,16827,0.0025305706804045,0.0024420611531606,0.0023420555887411,0.0026380350880139
1.0,1.1,45856,0.3097958827634333,0.2642620376831821,0.227407536636427,0.4307178995115143,14206,12118,10428,19751,0.0021593771888114,0.0020591163543038,0.0019573999648101,0.0023123956312234
1.1,1.2,56004,0.2743196914506107,0.2308406542389829,0.1961467038068709,0.3955431754874652,15363,12928,10985,22152,0.0018853484907936,0.0017805525081546,0.0016779127809539,0.0020661891044656
1.2,1.3,68179,0.2443567667463588,0.2032884025873069,0.170815060355828,0.3633816864430396,16660,13860,11646,24775,0.0016456795420347,0.0015412800521813,0.0014413301407777,0.001842026053116
1.3,1.4,81318,0.2084778277872057,0.1692245259352173,0.1395140067389753,0.3271846331685482,16953,13761,11345,26606,0.0014245186345135,0.0013148619027959,0.0012150312952794,0.001645322571559
1.4,1.5,95066,0.1779079797193528,0.1442997496476132,0.1172974565039025,0.2929122925125702,16913,13718,11151,27846,0.0012403530527768,0.001139674963837,0.0010436115477538,0.0014760220049148
1.5,1.6,108818,0.1524196364572037,0.1196401330662206,0.0967946479442739,0.2621441305666342,16586,13019,10533,28526,0.0010895835408295,0.0009838257650287,0.0008963312821959,0.0013332311972622
1.6,1.7,122970,0.12896641457266,0.0990566804911767,0.0790680653818004,0.2347320484671058,15859,12181,9723,28865,0.0009557761232438,0.000851904737182,0.0007695108298687,0.0012086300027759
1.7,1.8,136627,0.1054110827288896,0.077993368807044,0.060888404195364,0.2054132784881465,14402,10656,8319,28065,0.0008307811378294,0.0007254835940295,0.0006469305068049,0.0010929911425494
1.8,1.9,149422,0.0841843905181298,0.0603592509804446,0.0462247861760651,0.177691370748618,12579,9019,6907,26551,0.0007183110282464,0.0006160920000958,0.0005431917921062,0.0009888793777166
1.9,2.0,161399,0.0668529544792718,0.046487276872843,0.0356321910296842,0.1539476700599136,10790,7503,5751,24847,0.000621705809227,0.0005240586332163,0.0004614155184286,0.0008983276212441
2.0,2.1,170549,0.051164181554861,0.0341074998973901,0.0264088326521996,0.1284733419721018,8726,5817,4504,21911,0.0005335240024639,0.0004395059425627,0.0003882740146439,0.0008102560080189
2.1,2.2,181525,0.038843134554469,0.0253188266079052,0.0193031262911444,0.1080567414956617,7051,4596,3504,19615,0.0004535091440536,0.0003687099463346,0.0003229334250369,0.0007286623405749
2.2,2.3,190011,0.0299087947539879,0.0194672939987684,0.0145307376941334,0.0890053733731205,5683,3699,2761,16912,0.0003907656389753,0.0003169527062009,0.0002745212711055,0.0006532458344883
2.3,2.4,197862,0.0229048528772578,0.0146465718531097,0.0110986445098098,0.0717267590542903,4532,2898,2196,14192,0.0003363186755871,0.0002700740218671,0.0002355213376994,0.0005800925958556
2.4,2.5,203972,0.0178651971839272,0.0114623575784911,0.0084031141529229,0.0573461063283195,3644,2338,1714,11697,0.0002932946765107,0.0002356938794592,0.0002021168083352,0.0005148050796978
2.5,2.6,209217,0.0138325279494496,0.0082976048791446,0.0060989307752238,0.0465879923715568,2894,1736,1276,9747,0.000255345159687,0.0001983209394862,0.0001702158295649,0.0004607642986226
2.6,2.7,213871,0.0105110089726984,0.0061532419075049,0.0047458514712139,0.0372280486835522,2248,1316,1015,7962,0.0002205219055977,0.0001690969433652,0.0001486100291326,0.0004093746077759
2.7,2.8,217519,0.0085877555523885,0.0048041780258276,0.0037789802270146,0.0310915368312653,1868,1045,822,6763,0.0001978419468983,0.0001482570038922,0.000131557787554,0.0003721464413418
2.8,2.9,221255,0.0067795078077331,0.0038507604347924,0.0029332670448125,0.0256400985288468,1500,852,649,5673,0.0001744517664648,0.0001316706281562,0.0001149718097931,0.000336026090651
2.9,3.0,222416,0.0053773109848212,0.0031292712754478,0.0022930005035608,0.0205021221494856,1196,696,510,4560,0.0001550703420454,0.0001184289873496,0.0001014192913314,0.0003004817812205
3.0,3.1,223361,0.0044501949758462,0.0022967304050393,0.0015938324058362,0.0168919372674728,994,513,356,3773,0.0001408371871853,0.0001012866098054,8.440560385742973e-05,0.0002726695781444
3.1,3.2,222676,0.0032378882322297,0.0015134096175609,0.0009655283910255,0.0135892507499685,721,337,215,3026,0.0001203898800618,8.237826814373644e-05,6.58166927575013e-05,0.0002453521955475
3.2,3.3,222033,0.0025671859588439,0.001152981763972,0.0007881711277152,0.0110253881179824,570,256,175,2448,0.0001073894768655,7.201980554971709e-05,5.955665268539197e-05,0.000221605610398
3.3,3.4,220200,0.0017574931880108,0.0006130790190735,0.0003633060853769,0.0093097184377838,387,135,80,2050,8.925985917565949e-05,5.274926351186264e-05,4.061147596818401e-05,0.0002046579253192
3.4,3.5,218420,0.0011079571467814,0.0002609651130848,0.0001281933888838,0.0078197967219119,242,57,28,1708,7.118271638856183e-05,3.456116312284583e-05,2.4224720462558228e-05,0.0001884719869603
3.5,3.6,214885,0.0006235893617516,0.0001489168625078,6.515112734718571e-05,0.0063382739604904,134,32,14,1362,5.385311704196936e-05,2.6323070634599862e-05,1.7411803979757392e-05,0.0001711992012293
3.6,3.7,211643,0.0003638202066687,7.087406623417736e-05,2.8349626493670946e-05,0.0055659766682573,77,15,6,1178,4.145361758952048e-05,1.82989567183248e-05,1.157352249532202e-05,0.0001617173900458
3.7,3.8,208282,0.0001344331243218,4.801183011494032e-06,4.801183011494032e-06,0.0041194150238618,28,1,1,858,2.540376476872281e-05,4.801171485801043e-06,4.801171485801043e-06,0.0001403445452092
3.8,3.9,204441,7.337080135589241e-05,4.891386757059494e-06,4.891386757059494e-06,0.0034924501445404,15,1,1,714,1.894356445945422e-05,4.891374794212662e-06,4.891374794212662e-06,0.0001304732276175
3.9,4.0,199537,2.004640743320788e-05,0.0,0.0,0.0024155920957015,4,0,0,482,1.00231032514877e-05,0.0,0.0,0.0001098942342073
4.0,4.1,195057,0.0,0.0,0.0,0.0019584019030334,0,0,0,382,0.0,0.0,0.0,0.000100102393658
4.1,4.2,190554,1.049571250144316e-05,0.0,0.0,0.0013801861939397,2,0,0,263,7.421550535617925e-06,0.0,0.0,8.50471753237681e-05
4.2,4.3,185343,0.0,0.0,0.0,0.0010736850056381,0,0,0,199,0.0,0.0,0.0,7.607064119143187e-05
4.3,4.4,179718,0.0,0.0,0.0,0.0006287628395597,0,0,0,113,0.0,0.0,0.0,5.91304341630614e-05
4.4,4.5,175140,0.0,0.0,0.0,0.0003654219481557,0,0,0,64,0.0,0.0,0.0,4.566939693187796e-05
4.5,4.6,168592,0.0,0.0,0.0,8.897219322387776e-05,0,0,0,15,0.0,0.0,0.0,2.29714995282314e-05
4.6,4.7,163486,0.0,0.0,0.0,0.0001284513658661,0,0,0,21,0.0,0.0,0.0,2.8028585728738847e-05
4.7,4.8,156997,0.0,0.0,0.0,5.095638770167583e-05,0,0,0,8,0.0,0.0,0.0,1.8015344628327733e-05
4.8,4.9,152179,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
4.9,5.0,145865,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
