z_lo,z_hi,N_detects,N_sigma_detects,N_success_ELAsTiCC,N_sigma_ELAsTiCC,N_oracle_detects,N_sigma_oracle_detects,oracle_recall
0.1,0.2,397.0,7.665003736508219,409.0,7.782775812707276,279.8421052631579,5.325057135010242,0.6842105263157895
0.2,0.3,1080.0,12.512108433122352,1133.0,12.92155685260621,846.3373493975903,9.652247287488976,0.7469879518072289
0.3,0.4,2330.0,17.999546355870198,2559.0,19.34357251883028,2008.7713310580205,15.184374332187591,0.7849829351535836
0.4,0.5,4300.0,24.12730500132742,4758.0,26.22136554150648,4063.0112359550562,22.391278439938116,0.8539325842696629
0.5,0.6,6827.0,29.589363939152182,7923.0,33.71596814831948,6759.653786707882,28.765400954980453,0.8531684698608965
0.6,0.7,9690.0,33.73838650934272,11534.0,39.92280434476871,9889.98428731762,34.23234850662546,0.8574635241301908
0.7,0.8,13336.0,37.73184042634545,16477.0,46.896557190297514,14646.22222222222,41.685828613597785,0.8888888888888888
0.8,0.9,17069.0,39.97954487836305,21827.0,52.343811353828684,19464.465266558967,46.67816456754998,0.8917609046849758
0.9,1.0,20864.0,40.785709032197865,28132.0,57.54867224319335,24742.60240963855,50.6150972741339,0.8795180722891566
1.0,1.1,24136.0,39.832405313541955,33998.0,60.22399860045903,29839.354350567464,52.85738086496782,0.8776796973518285
1.1,1.2,27629.0,38.773399422763525,40278.0,62.08152605667262,35888.88621312462,55.31647114020197,0.8910295003010235
1.2,1.3,29869.0,35.79484538872677,45681.0,61.88037485136009,40506.60755148741,54.8710417732312,0.8867276887871853
1.3,1.4,32296.0,33.212688760102786,51395.0,61.291990461608776,44887.473269555434,53.531327628822076,0.8733821046707935
1.4,1.5,33071.0,29.21319360788028,55375.0,58.52328772611825,49441.96428571429,52.25293546974844,0.8928571428571429
1.5,1.6,33130.0,25.35612071074204,58337.0,55.085732901259526,50018.44369645043,47.23079057201016,0.857405140758874
1.6,1.7,31877.0,21.150242803614347,59073.0,49.94257824002687,51039.98139833227,43.15115643958704,0.8640153944836434
1.7,1.8,29979.0,17.22692138101684,59263.0,45.047821312475556,50511.93887362637,38.39584220383391,0.8523351648351648
1.8,1.9,26745.0,13.32222781914681,56527.0,38.75526006005475,48056.46310240964,32.947807686597756,0.8501506024096386
1.9,2.0,23112.0,9.911706531892273,53411.0,33.12696458313339,45458.17268722467,28.194403336834238,0.8511013215859031
2.0,2.1,19464.0,7.15262894931126,49094.0,27.412901403402696,41168.0930674264,22.98726679886475,0.8385565052231719
2.1,2.2,15632.0,4.8878300391898115,43205.0,21.620460681759,37438.030634573304,18.73457862139292,0.8665207877461707
2.2,2.3,12405.0,3.297708600663871,37800.0,16.97538637617102,31742.30769230769,14.25497189281028,0.8397435897435898
2.3,2.4,10335.0,2.407756259607036,32440.0,13.033161197080728,27650.532724505327,11.10893496250412,0.852359208523592
2.4,2.5,8107.0,1.6260797726368965,26706.0,9.512911664979823,23418.41483979764,8.341844967604565,0.8768971332209107
2.5,2.6,6438.0,1.1234756864992141,22024.0,6.984397244251497,18962.572614107885,6.013537046399111,0.8609958506224067
2.6,2.7,5184.0,0.7960402461102336,18410.0,5.250472002211338,15800.335051546392,4.506204063753545,0.8582474226804123
2.7,2.8,4111.0,0.5534228434059785,15194.0,3.885646888050348,13660.660550458717,3.493517385586552,0.8990825688073395
2.8,2.9,3316.0,0.3977799099235672,12686.0,2.9470149401797117,10539.138461538461,2.4482893349185297,0.8307692307692308
2.9,3.0,2655.0,0.2838520775899485,10600.0,2.24550594045614,9280.888888888889,1.966065201199376,0.8755555555555555
3.0,3.1,2176.0,0.21141601724527598,8530.0,1.6298971114148642,7274.314720812183,1.3899630188715593,0.8527918781725888
3.1,3.2,1621.0,0.13649397370383617,6744.0,1.152030918155441,6046.344827586207,1.0328553059324643,0.896551724137931
3.2,3.3,1197.0,0.08789774818218823,5330.0,0.822255424209206,4624.558823529412,0.7134275004168111,0.8676470588235294
3.3,3.4,895.0,0.057525258904037875,4644.0,0.6771753563251465,4018.846153846154,0.5860171352813768,0.8653846153846154
3.4,3.5,570.0,0.029762130365316775,3801.0,0.5106881458210707,3270.6279069767443,0.43942933477627016,0.8604651162790697
3.5,3.6,373.0,0.016061878268985558,3059.0,0.3760939130041247,2598.0547945205476,0.3194222274829552,0.8493150684931506
3.6,3.7,201.0,0.006492902196018695,2522.0,0.2878128682215514,2054.962962962963,0.2345141889212641,0.8148148148148148
3.7,3.8,132.0,0.0035446338057694834,1983.0,0.20594565322906738,1652.5,0.1716213776908895,0.8333333333333334
3.8,3.9,35.0,0.0004992297842643217,1554.0,0.1474273704544944,1371.1764705882354,0.13008297393043622,0.8823529411764706
3.9,4.0,,,,,,,
4.0,4.1,,,,,,,
4.1,4.2,,,,,,,
4.2,4.3,,,,,,,
4.3,4.4,,,,,,,
4.4,4.5,,,,,,,
4.5,4.6,,,,,,,
4.6,4.7,,,,,,,
4.7,4.8,,,,,,,
4.8,4.9,,,,,,,
4.9,5.0,,,,,,,
